label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65
0.03	north1_all	80	35846	14207	9126	5674	3621	5276	3612	2356	2424	1817	1386	782	490	363	264	238	272	328	242	155	105	105	81	50	46	33	40	24	24	23	15	28	29	7	5	3	27	5	1	7	2	7	1	3	3	1	5	2	1	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	18516	7122	4780	2936	1750	3265	2161	1404	1543	1121	823	438	265	172	117	93	147	202	150	94	57	49	49	23	34	14	21	11	9	12	9	22	19	3	1	1	13	2	1	1	1	7	0	1	1	0	5	1	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	35859	14298	9162	5659	3639	5290	3630	2463	2326	1910	1408	784	499	367	267	240	282	344	230	148	101	106	61	41	47	36	39	26	26	26	15	20	25	11	9	2	24	3	1	7	3	7	2	3	2	1	5	0	1	1	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	18471	7106	4807	2928	1775	3376	2178	1498	1477	1214	870	464	271	185	113	98	161	214	145	86	57	46	36	20	30	14	20	12	11	18	9	15	16	4	3	1	13	2	1	0	2	7	0	0	0	0	5	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	35825	14235	9150	5613	3780	5520	3608	2451	2453	1873	1419	760	494	368	258	211	299	364	210	138	112	101	68	38	46	38	43	31	21	24	13	19	16	8	11	0	34	5	2	14	2	8	2	2	0	0	1	0	2	2	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	18593	7001	4806	2870	1813	3565	2177	1511	1516	1189	899	440	260	176	122	101	178	220	123	78	62	42	42	16	25	20	20	7	10	15	4	15	10	3	5	0	13	2	1	8	1	7	1	1	0	0	1	0	0	1	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	35791	14219	9002	5651	3811	5595	3647	2510	2383	1808	1404	767	501	339	258	221	299	363	216	129	113	98	77	47	55	33	38	37	17	28	13	12	8	9	9	2	24	3	3	13	2	2	2	4	1	0	3	0	1	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	18690	7032	4686	2827	1816	3609	2209	1542	1477	1189	867	441	264	164	122	101	175	243	130	73	68	39	42	21	31	19	18	13	9	19	6	9	3	2	4	2	10	0	2	9	1	0	1	3	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	35638	14152	8886	5629	3789	5503	3679	2409	2363	1803	1334	755	491	369	279	213	270	392	227	142	114	95	85	44	71	31	40	40	13	21	12	23	11	5	10	5	22	2	3	11	2	2	2	3	1	0	5	1	1	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	18506	6969	4616	2796	1849	3454	2199	1470	1435	1147	813	430	268	167	136	99	154	281	140	80	74	35	43	19	40	17	22	13	7	17	5	19	6	3	6	2	6	0	2	9	0	0	1	3	1	0	2	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	35454	14294	8850	5621	3741	5356	3649	2480	2400	1820	1337	723	513	368	285	209	274	323	236	158	118	91	94	44	77	29	45	40	16	30	14	19	11	8	16	7	19	0	1	4	3	2	0	2	1	0	5	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	18308	7035	4568	2826	1807	3337	2123	1497	1479	1149	800	394	275	175	127	89	140	236	151	80	81	39	36	24	49	15	24	16	7	20	8	14	6	5	12	3	3	0	1	2	0	0	0	2	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	35377	14406	8894	5552	3694	5399	3758	2522	2479	1865	1297	777	534	380	285	214	267	313	224	149	118	92	106	39	68	29	44	38	20	21	16	18	11	7	30	7	8	3	4	3	3	1	2	0	0	1	5	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north7_active	80	18097	7061	4580	2759	1837	3410	2222	1547	1529	1184	794	421	267	181	126	91	129	222	145	72	74	40	52	23	44	11	23	14	11	12	10	13	8	5	14	3	3	3	2	1	0	1	2	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	35519	14412	8885	5489	3628	5611	3664	2594	2486	1946	1376	795	546	339	292	216	275	341	225	143	109	112	105	37	56	31	37	36	23	22	14	13	11	7	31	6	4	6	4	1	3	2	2	1	0	1	2	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
0.03	north8_active	80	18128	7062	4564	2738	1795	3541	2140	1561	1547	1218	883	421	259	164	121	96	127	221	130	73	59	57	59	21	34	13	18	10	12	10	8	8	5	3	15	2	3	5	2	1	1	2	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north9_all	80	34707	14177	8878	5414	3584	5286	3593	2542	2398	1883	1397	774	525	326	287	216	262	304	217	141	101	116	87	40	55	28	37	30	28	20	11	13	13	6	28	5	8	7	6	0	2	3	2	1	0	2	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
0.03	north9_active	80	17610	6920	4516	2669	1789	3317	2102	1510	1533	1187	918	421	256	159	116	107	139	176	133	73	48	61	57	18	33	15	15	13	15	10	7	6	5	1	14	3	7	6	2	0	1	3	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
0.03	north10_all	80	33999	13991	8746	5332	3473	5166	3497	2425	2376	1730	1287	767	522	324	279	220	257	323	202	148	102	122	81	50	63	30	33	22	28	22	11	17	14	9	16	5	12	6	3	3	2	2	0	1	1	1	0	3	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0
