label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68
0.03	north1_all	80	28966	18284	19126	4942	4861	2427	2520	2562	1540	851	672	485	445	685	396	516	273	307	225	110	130	80	70	61	117	85	60	39	29	20	30	22	12	8	4	9	4	7	7	6	1	4	2	0	6	2	0	4	3	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north1_active	80	13027	9992	12335	2311	2675	1083	1424	1577	916	387	300	207	198	380	212	318	160	164	127	46	82	45	31	26	77	40	43	17	15	5	19	13	6	4	3	2	4	3	7	1	1	0	1	0	0	2	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	29048	18248	19146	4902	4930	2360	2536	2510	1560	829	662	473	418	755	382	527	268	315	239	106	133	75	59	51	124	80	42	32	30	18	22	41	16	7	12	7	7	9	6	7	1	3	5	0	1	1	2	2	2	0	0	0	0	0	2	1	1	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north2_active	80	12938	10011	12247	2329	2763	1026	1393	1533	945	372	295	209	191	458	220	311	148	189	140	47	71	33	25	26	87	46	29	14	15	4	11	31	8	7	8	2	4	6	5	1	0	0	4	0	0	1	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north3_all	80	28868	18273	18962	4936	5007	2383	2559	2533	1574	798	665	505	403	721	404	553	259	328	218	100	138	68	50	45	117	74	40	32	40	13	19	46	13	10	13	8	5	22	5	5	1	3	6	1	2	1	2	0	2	0	0	0	0	0	2	1	1	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north3_active	80	12868	10082	12105	2334	2734	1065	1445	1542	941	358	299	205	176	456	237	351	149	218	127	48	72	32	21	27	84	38	18	14	20	5	10	32	8	7	8	3	1	19	4	1	0	0	4	1	1	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north4_all	80	28906	18317	18574	4937	4991	2338	2591	2425	1579	811	673	513	403	692	387	568	264	293	239	109	132	73	51	52	114	65	44	33	43	12	27	40	15	11	12	8	4	19	6	6	2	0	5	1	2	1	4	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0
0.03	north4_active	80	12805	10158	11877	2352	2778	1034	1481	1404	927	371	294	227	175	456	216	372	171	196	134	50	67	34	23	34	69	37	22	20	25	3	15	32	6	8	7	5	0	17	5	4	1	0	3	1	1	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north5_all	80	29121	18380	19070	4951	4843	2389	2551	2439	1571	813	659	524	406	639	404	570	272	278	237	112	134	87	53	48	84	63	45	40	37	14	22	38	19	12	5	6	5	16	15	9	2	0	4	1	2	0	4	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0
0.03	north5_active	80	13025	10140	12269	2328	2704	1063	1487	1429	909	376	298	231	171	412	216	367	166	180	128	49	74	45	23	29	42	36	22	24	22	7	13	29	13	9	4	4	2	14	6	5	1	0	2	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
