label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174
0.03	north1_all	80	27115	14734	8953	9344	4206	3652	3367	2629	3492	1562	2996	1249	1815	941	1627	1385	631	1219	688	1090	530	441	521	471	475	254	525	251	192	327	187	306	183	176	234	109	113	112	99	90	100	178	65	70	63	60	70	67	47	60	64	46	32	22	23	26	26	26	33	41	29	15	18	21	13	45	14	12	10	10	19	15	12	9	8	9	7	13	2	5	4	7	8	2	4	4	6	8	6	19	1	3	1	1	1	3	4	2	2	1	2	1	0	2	7	1	0	1	1	0	1	1	2	0	7	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	11403	8538	4859	7287	1259	1784	1978	1535	2819	389	2500	309	1386	206	1312	1124	151	970	363	947	286	235	310	309	331	82	442	93	42	258	80	263	116	90	168	46	44	32	27	23	54	125	22	42	21	20	30	39	15	48	53	24	14	8	5	10	11	9	22	35	16	2	7	9	6	37	4	5	2	4	11	3	1	5	6	2	5	12	2	2	0	3	5	2	2	3	3	4	5	18	1	1	0	1	1	3	4	0	0	0	2	1	0	1	6	1	0	1	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	27148	14623	9007	9309	4099	3675	3356	2661	3490	1549	2852	1228	1908	928	1600	1360	640	1292	669	1075	530	448	485	509	477	279	551	261	189	325	197	354	166	179	212	121	101	115	94	95	102	171	58	76	63	69	70	68	44	75	74	51	32	26	28	21	27	27	29	37	22	21	18	20	14	36	12	11	10	9	19	12	11	9	12	11	7	15	6	4	5	7	4	2	3	5	5	5	5	18	2	2	1	4	1	16	4	2	2	2	2	3	0	2	14	5	1	2	0	0	0	2	1	0	7	0	0	0	2	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	11413	8331	5009	7188	1235	1814	1915	1544	2787	365	2348	288	1453	206	1296	1102	150	1033	361	905	284	228	277	339	332	90	471	108	41	251	82	304	96	100	151	56	31	33	24	27	46	124	18	45	21	26	28	45	11	58	62	32	12	14	7	8	13	9	19	28	8	1	5	7	6	28	2	4	4	4	10	3	2	6	10	6	3	15	3	0	1	2	2	1	1	4	2	2	3	17	2	1	0	4	0	16	3	0	0	1	2	3	0	0	13	3	1	1	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	27109	14869	9036	9423	4128	3628	3303	2696	3626	1551	2906	1212	1914	943	1586	1424	634	1313	689	1079	549	438	449	486	475	298	545	259	196	287	197	397	172	159	198	115	100	99	109	99	96	134	59	79	68	69	69	62	43	92	89	51	33	27	25	24	35	31	37	27	18	23	25	19	14	22	12	5	12	11	13	14	6	7	10	7	8	15	7	5	4	4	4	2	3	11	5	7	5	6	1	2	3	5	1	16	5	1	1	2	2	3	0	1	8	4	2	2	0	0	0	2	0	0	7	0	1	0	1	2	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north3_active	80	11442	8469	5035	7259	1292	1722	1835	1544	2918	370	2410	276	1466	210	1301	1156	145	1049	382	905	305	225	259	320	338	90	459	104	51	224	85	340	96	79	142	63	32	24	28	27	40	99	18	40	28	24	28	42	9	75	76	31	14	15	8	9	18	12	24	19	6	2	10	5	5	11	5	3	4	5	9	4	2	5	9	6	5	13	2	0	2	2	2	0	1	10	2	4	3	4	1	1	2	4	0	16	4	1	0	1	1	3	0	0	8	2	2	1	0	0	0	1	0	0	0	0	1	0	0	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	27533	15302	9426	9924	4139	3751	3412	2821	3722	1521	3084	1196	1915	954	1721	1560	646	1341	686	1164	560	472	447	522	523	288	517	278	217	336	196	458	190	177	207	130	98	97	102	106	103	124	63	79	75	72	67	70	51	99	109	55	31	35	22	25	30	28	37	23	15	23	20	19	15	23	14	11	10	10	19	9	4	8	10	4	6	20	7	3	8	5	8	4	3	10	4	6	5	4	1	2	5	7	1	16	2	1	0	1	2	4	3	1	10	5	2	1	0	0	0	2	1	0	1	0	1	1	0	3	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
0.03	north4_active	80	12317	9079	5411	7853	1370	1872	1989	1697	3023	334	2641	272	1486	211	1458	1304	162	1102	396	999	341	255	258	362	389	92	433	119	61	271	87	399	119	97	155	76	31	22	25	25	48	92	18	44	28	30	31	43	8	83	95	33	18	22	9	14	19	11	25	17	4	2	10	6	4	13	5	8	2	4	14	3	2	6	5	4	3	17	1	0	3	4	6	2	0	9	2	4	2	3	1	1	3	4	0	16	1	1	0	1	1	4	2	0	10	2	2	0	0	0	0	1	1	0	0	0	1	1	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	27762	15548	9557	10233	4262	3746	3421	2899	3819	1530	3196	1190	1934	976	1796	1648	667	1322	657	1155	553	483	464	518	517	296	522	259	221	368	186	419	220	164	208	134	93	94	114	100	95	141	83	71	80	70	66	67	49	95	130	64	32	37	25	34	33	29	29	33	21	15	18	16	18	30	22	9	11	11	17	6	4	10	18	8	6	20	7	5	7	9	9	6	5	11	4	4	2	5	2	3	6	7	1	1	1	2	0	3	1	2	3	0	3	4	2	1	1	0	0	0	1	0	0	0	1	1	7	3	1	2	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
0.03	north5_active	80	12735	9449	5552	8188	1411	1907	2081	1764	3170	336	2771	261	1531	218	1533	1396	163	1099	397	999	337	285	269	352	391	90	438	119	60	300	86	360	144	88	142	76	32	26	27	22	44	113	25	45	33	22	31	38	9	86	116	40	16	26	15	17	21	10	20	19	7	3	10	5	5	17	8	8	2	4	12	2	2	6	11	8	5	16	2	0	2	4	8	2	0	10	2	4	1	3	1	1	4	4	0	1	1	2	0	3	0	1	2	0	3	2	2	0	0	0	0	0	1	0	0	0	1	1	7	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	27731	15370	9562	10278	4148	3750	3522	2883	3713	1546	3219	1187	1921	978	1859	1618	651	1258	609	1179	522	483	465	545	504	274	485	275	223	418	186	360	232	162	209	138	100	90	101	97	78	160	84	70	79	70	60	77	53	92	138	59	33	49	29	32	28	28	30	28	19	18	13	16	16	28	19	12	12	8	19	5	6	8	19	7	5	13	7	10	10	7	9	6	5	3	2	5	3	5	2	2	3	4	2	1	4	3	0	2	4	2	5	0	2	1	0	0	1	0	0	0	1	1	0	0	1	1	7	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	12703	9363	5523	8231	1401	1944	2215	1765	3090	327	2783	276	1523	211	1599	1376	155	1053	360	1042	301	286	283	369	374	80	400	120	60	325	81	311	154	96	141	70	27	21	24	22	39	130	22	47	34	24	29	48	14	81	129	39	16	40	20	15	16	12	23	15	7	4	9	3	4	20	6	9	3	2	15	2	2	4	12	6	4	10	3	1	4	3	7	2	0	3	1	4	2	2	1	0	2	1	0	1	4	2	0	2	4	1	4	0	2	0	0	0	0	0	0	0	1	0	0	0	1	1	7	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
