label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170
0.03	north1_all	80	37295	10514	7808	4676	3968	6650	2488	2664	3543	2304	1560	1046	920	1383	1083	1423	715	687	522	731	888	348	506	571	580	399	312	341	195	273	251	364	212	127	133	107	272	120	112	104	138	90	62	72	67	80	62	117	81	52	35	41	43	30	34	23	46	27	23	30	19	13	34	37	17	35	15	15	16	18	16	8	27	12	8	11	7	10	7	13	4	8	5	3	2	2	4	2	10	5	10	3	3	1	2	0	0	3	4	2	1	1	2	0	1	3	3	1	1	2	0	3	0	0	0	2	1	1	1	6	1	0	0	1	0	0	0	0	1	2	0	1	0	0	0	0	3	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0
0.03	north1_active	80	22215	4826	4049	2109	1929	4309	1186	1500	2249	1326	854	459	413	782	617	936	392	392	258	420	563	160	329	334	387	234	183	219	106	160	128	253	130	61	63	44	188	60	66	57	97	59	29	39	25	45	40	81	50	29	15	22	18	13	19	9	25	16	10	16	6	6	18	28	9	21	7	9	5	13	9	3	26	9	5	7	6	7	5	12	2	3	2	2	1	1	2	1	3	2	10	2	2	1	0	0	0	2	1	1	0	0	1	0	0	0	1	1	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
0.03	north2_all	80	37300	10371	7850	4653	3879	6677	2436	2687	3533	2329	1549	1064	950	1395	1051	1379	749	686	505	698	847	342	470	568	623	402	296	309	203	293	261	353	224	123	122	113	263	131	125	95	142	85	55	70	55	94	84	102	84	49	36	51	33	29	34	31	35	27	17	34	15	15	33	24	20	29	15	9	17	17	22	6	30	12	7	7	7	11	5	23	5	7	3	2	6	1	7	2	7	4	11	5	1	3	2	0	0	3	4	2	0	1	5	0	0	2	2	1	2	2	0	2	0	0	0	1	1	1	1	2	2	0	0	1	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0
0.03	north2_active	80	22382	4706	4136	2060	1874	4297	1176	1503	2287	1306	827	464	420	795	579	884	436	388	239	418	537	154	293	343	421	242	175	190	108	175	143	240	136	58	59	44	176	70	70	48	95	52	24	39	21	57	52	72	58	24	15	26	11	13	22	14	19	15	5	21	3	8	19	16	9	19	5	4	9	11	10	2	26	5	5	6	7	9	3	22	2	3	2	1	3	0	2	1	3	0	9	4	0	1	0	0	0	2	1	2	0	0	3	0	0	0	1	1	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
0.03	north3_all	80	36408	10438	7794	4745	3840	6405	2361	2637	3351	2251	1498	1027	1000	1451	1026	1365	729	707	486	718	821	347	460	533	571	394	296	313	202	270	277	331	194	118	120	129	267	114	121	91	127	84	55	66	50	91	97	101	72	51	41	71	37	27	36	29	26	22	15	42	16	16	23	46	19	29	13	7	15	13	24	7	32	15	9	6	14	7	4	22	2	6	4	3	6	2	10	2	6	1	9	9	3	2	2	0	2	3	3	2	1	0	4	0	0	2	1	0	2	2	0	0	0	0	0	0	1	0	1	2	2	0	1	1	0	0	0	0	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	21503	4732	4050	2127	1839	4087	1150	1477	2125	1275	782	460	442	822	579	874	392	404	235	419	501	154	269	340	371	235	166	195	103	165	149	209	110	57	54	53	169	57	69	45	78	52	26	30	21	50	62	64	42	25	20	41	15	12	22	10	10	11	5	27	1	9	9	42	9	21	6	3	11	7	10	3	26	8	5	4	10	5	1	21	1	3	2	2	3	1	2	2	3	0	7	7	2	0	0	0	2	2	0	2	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	35290	10284	7581	4661	3843	6176	2342	2463	3318	2153	1483	1061	953	1375	956	1264	746	720	481	689	766	350	422	465	623	405	274	325	201	305	244	314	180	124	139	130	210	111	119	87	125	76	56	69	45	89	94	104	58	73	39	68	28	23	39	30	20	21	18	52	18	15	26	40	18	16	14	10	16	13	22	10	29	12	8	7	18	5	6	16	5	4	3	4	7	2	11	1	2	3	8	12	2	2	1	1	2	2	1	2	2	0	3	0	1	3	1	0	2	1	0	1	0	0	0	0	1	0	1	1	2	0	1	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	20554	4689	3814	2103	1807	3916	1132	1363	2054	1239	741	495	410	780	525	795	391	393	224	383	439	162	234	292	408	241	150	191	93	186	135	188	93	55	67	57	124	50	72	44	68	49	27	28	21	58	52	68	31	40	18	36	12	11	21	11	8	9	5	35	4	10	14	37	7	11	5	4	13	7	9	5	23	4	4	4	14	3	0	16	2	1	1	1	4	1	3	1	2	0	5	9	2	0	0	1	2	1	0	2	1	0	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	34825	10383	7315	4732	3897	5895	2364	2409	3127	2112	1440	1057	951	1299	934	1218	727	694	521	659	710	358	431	424	625	401	270	352	193	271	221	293	165	129	139	117	204	114	112	99	123	81	63	72	43	75	89	103	55	89	45	60	38	21	39	29	18	14	16	60	17	19	24	37	12	17	13	12	11	11	23	10	13	11	13	5	19	5	7	1	5	5	4	8	5	3	8	1	2	3	13	12	3	2	0	4	2	1	1	1	3	1	0	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	3	0	0	0	1	0	0	0	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	20168	4812	3627	2140	1848	3703	1117	1324	1850	1238	695	483	419	747	488	738	362	385	250	370	416	163	228	273	406	234	141	203	89	147	125	173	88	56	69	48	101	57	59	49	73	53	34	33	21	46	49	74	20	63	20	34	20	11	18	12	9	5	5	33	6	11	12	33	3	10	7	6	8	6	9	6	9	6	8	3	15	3	2	1	2	1	1	2	2	2	2	1	2	0	9	9	2	1	0	1	2	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
