label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171
0.03	north1_all	80	23849	10572	15720	5681	5531	3443	2334	2825	1960	2557	1636	1767	1374	1044	898	727	1002	864	1058	715	500	336	449	332	329	293	307	287	481	452	306	195	249	187	132	206	114	132	70	85	67	93	98	90	77	73	60	69	80	46	41	38	54	55	49	36	25	26	35	28	55	17	33	18	23	15	16	19	16	13	11	16	8	24	29	10	7	7	12	9	10	25	0	10	11	4	4	7	8	6	5	1	0	2	3	2	1	1	4	1	2	4	2	4	6	2	0	1	2	3	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	11527	4850	9755	2931	3086	1770	1061	1584	1034	1507	916	1014	794	552	454	375	583	535	627	439	250	162	247	169	196	143	173	151	324	279	185	107	157	118	52	136	68	75	28	40	28	54	60	49	57	50	27	37	60	25	20	20	30	25	31	21	13	18	20	22	30	8	15	9	14	6	10	8	8	8	6	13	3	17	21	3	4	5	3	4	3	6	0	9	8	0	0	6	7	4	1	0	0	0	1	2	1	1	2	0	2	2	1	2	6	2	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	23890	10578	15550	5741	5509	3441	2344	2847	2016	2518	1617	1825	1371	1051	913	719	1045	896	1003	725	529	358	436	338	342	289	315	303	471	441	291	207	242	185	132	209	127	121	84	86	69	85	106	91	95	70	57	64	88	41	35	35	55	58	46	33	31	27	27	31	53	23	36	19	21	18	13	21	21	13	12	14	12	21	31	12	3	6	8	8	6	23	2	10	7	10	3	5	3	5	6	3	2	2	2	0	1	0	4	1	2	5	3	3	4	1	0	1	3	1	0	0	0	1	0	0	2	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	north2_active	80	11489	4847	9651	2946	3097	1786	1056	1633	1078	1455	883	1071	809	562	476	358	642	533	611	439	267	155	236	173	203	141	175	168	298	258	167	123	150	112	54	135	77	76	39	44	31	53	60	50	69	43	25	29	62	21	18	19	24	27	25	17	14	15	15	22	42	12	19	10	11	5	7	16	10	8	5	12	7	17	26	3	2	5	1	4	3	4	0	9	5	6	1	4	1	4	2	1	1	0	1	0	1	0	2	0	1	3	2	1	4	1	0	1	2	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	north3_all	80	23744	10586	15236	5748	5471	3424	2380	3026	2018	2709	1659	1728	1341	1050	916	743	1064	925	949	826	508	353	447	334	364	305	315	293	450	460	260	220	232	169	121	211	132	136	87	78	75	95	102	89	89	66	50	67	87	39	31	38	54	47	50	26	29	40	18	27	50	27	33	19	16	14	14	29	17	10	10	12	14	23	29	15	5	2	6	12	5	4	3	9	6	8	3	2	2	6	4	4	4	2	1	2	1	2	3	0	2	1	3	2	5	1	2	0	2	3	0	1	0	3	0	0	2	0	1	0	0	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	north3_active	80	11373	4782	9503	2954	3060	1752	1091	1714	1074	1609	904	998	794	548	476	366	644	548	581	505	246	161	228	174	222	137	171	170	284	264	150	128	143	90	61	146	80	79	37	38	33	65	54	45	63	42	20	30	51	17	18	21	25	22	28	14	11	27	12	14	38	15	15	9	4	5	9	19	8	6	4	8	8	18	22	3	3	2	1	3	1	0	0	9	6	7	1	1	1	4	1	2	3	1	1	2	1	1	1	0	1	1	1	0	5	1	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_all	80	23469	10592	14455	5454	5334	3331	2385	2963	1939	2599	1551	1693	1259	988	880	729	977	880	867	827	495	360	432	346	340	308	329	275	414	416	258	216	218	160	116	195	127	117	93	76	76	87	100	85	93	60	52	54	99	42	34	45	52	42	39	21	30	39	18	30	47	23	28	19	20	13	14	31	15	12	8	11	12	15	24	11	6	2	3	14	4	4	5	6	7	9	5	3	3	2	4	4	5	3	0	7	1	3	1	0	1	1	2	0	1	1	2	1	2	2	0	1	0	3	0	0	3	0	3	0	0	0	2	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	north4_active	80	11087	4777	8954	2739	2970	1723	1080	1661	1029	1534	840	1013	731	498	460	356	605	507	517	487	260	162	226	179	199	147	189	160	243	246	150	120	125	80	53	129	71	69	33	35	35	53	58	47	61	35	23	26	57	18	20	27	25	24	25	8	10	24	14	19	36	10	17	9	5	4	9	23	7	6	3	6	7	10	18	3	5	2	2	5	1	0	2	5	5	7	2	1	1	0	1	2	3	2	0	7	1	1	1	0	0	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	3	0	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_all	80	23241	10415	13691	5354	5105	3315	2392	2816	1852	2555	1489	1591	1204	981	862	697	886	826	827	799	519	347	446	343	337	321	329	276	379	380	244	211	203	162	114	182	140	116	92	63	69	80	99	72	81	63	56	60	93	41	36	38	59	38	43	19	33	44	13	33	29	30	27	18	22	18	20	30	18	9	8	12	11	21	27	13	7	6	23	15	3	9	6	9	4	7	5	4	3	2	3	2	5	4	2	7	2	4	3	0	0	0	1	0	1	1	2	1	0	2	0	1	1	3	0	0	1	0	3	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	10778	4664	8448	2717	2801	1670	1086	1547	978	1517	767	930	702	484	428	344	504	466	481	482	278	156	215	164	190	154	191	156	226	224	140	106	117	80	56	133	76	66	31	26	33	49	67	39	41	30	24	29	55	17	23	19	25	24	28	8	13	31	9	16	20	16	14	9	9	5	14	20	9	4	4	6	4	15	18	5	4	2	15	6	2	5	4	5	1	4	1	0	1	0	2	2	3	2	1	7	2	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
