label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163
0.03	north1_all	80	37537	13261	16133	10172	4104	5641	2800	2960	1865	2556	1436	3056	1274	1627	896	766	663	631	875	530	671	716	615	492	356	326	308	441	234	211	510	192	271	243	226	132	158	227	115	94	91	98	79	77	50	75	69	55	119	116	46	73	55	62	26	31	28	37	27	38	26	22	21	24	20	18	37	13	25	16	11	9	14	9	13	15	23	6	12	9	6	4	5	5	3	7	6	18	15	4	5	2	3	2	0	4	3	2	2	2	2	0	0	0	2	0	0	1	3	1	0	2	2	1	0	0	0	2	0	1	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	26380	5854	13600	8162	1178	4383	966	1999	442	1933	627	2655	719	1281	406	227	181	260	593	169	489	551	489	353	216	185	153	347	63	83	451	74	202	193	171	56	107	198	54	50	40	48	19	37	24	24	43	21	99	93	22	62	42	50	10	18	7	28	10	19	13	11	14	9	6	4	25	4	21	10	2	7	8	8	2	4	20	4	6	2	6	2	2	4	0	2	2	17	15	0	2	1	0	2	0	3	0	0	2	0	2	0	0	0	1	0	0	1	2	0	0	2	1	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	36345	13112	15487	9779	4116	5650	2716	2857	1887	2519	1498	2983	1257	1597	863	790	654	605	803	516	644	696	572	473	349	324	278	403	238	215	478	168	290	230	228	142	160	215	112	97	90	85	72	74	66	80	61	54	122	91	49	67	47	53	26	36	28	39	25	29	22	28	24	21	15	14	41	18	28	14	12	10	17	9	12	12	27	6	12	10	8	7	9	5	5	5	3	18	13	3	7	3	3	2	0	2	5	2	2	3	1	0	0	0	2	1	0	0	2	0	0	2	0	0	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	1	1	2	0	0	1	1	0	0	0	0	1	0	0	0	2	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	24883	5583	12918	7645	1165	4311	909	1846	418	1857	659	2574	673	1230	365	224	180	230	523	174	441	525	442	339	189	181	126	311	62	82	425	61	212	179	163	57	102	185	42	50	34	37	17	37	32	30	35	19	106	70	25	58	35	41	11	19	5	33	7	12	10	11	16	7	3	2	28	8	20	7	2	7	11	5	2	4	23	5	7	2	7	4	3	4	0	2	1	16	13	0	3	2	1	1	0	2	0	0	2	1	1	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	35182	12881	14576	9363	4208	5502	2715	2738	1882	2358	1470	2623	1289	1459	867	780	626	597	792	504	618	612	570	464	362	324	294	379	233	229	444	161	280	202	237	146	145	210	97	92	92	87	72	77	79	65	65	48	111	77	44	63	48	45	29	34	29	40	25	31	27	33	21	21	18	13	41	18	26	15	11	12	14	8	9	9	10	12	8	9	9	7	7	4	7	4	4	18	13	3	8	5	4	2	0	3	5	2	3	2	2	2	3	0	1	5	1	0	1	0	0	2	0	0	0	0	0	1	2	2	0	3	3	0	0	0	0	0	0	1	0	2	1	1	1	3	1	0	0	1	1	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	23454	5277	11971	7211	1111	4163	867	1697	404	1694	613	2213	651	1076	349	202	160	215	515	167	408	447	442	320	193	169	132	281	56	70	388	54	191	136	159	59	86	173	37	48	35	43	19	38	43	19	35	11	94	57	22	53	35	36	11	16	7	25	8	12	12	12	15	8	3	1	29	9	17	6	0	6	8	3	2	4	6	8	2	0	8	4	3	3	0	2	1	17	13	0	3	4	1	1	0	3	0	0	2	2	1	1	2	0	1	2	0	0	0	0	0	2	0	0	0	0	0	1	2	2	0	3	3	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	34095	12711	13689	8965	4148	5298	2724	2687	1920	2266	1492	2283	1291	1479	932	770	625	560	735	462	644	637	544	466	341	316	286	413	244	194	370	173	245	190	228	148	137	172	104	90	88	80	70	76	78	60	63	48	95	71	46	64	52	47	25	31	28	37	25	26	28	28	21	14	13	11	27	20	17	13	13	9	13	12	1	8	8	11	7	2	9	5	8	4	9	4	3	2	3	5	5	6	4	1	1	3	6	1	2	3	3	2	3	1	1	5	1	0	4	0	0	2	1	1	0	0	0	1	3	2	0	2	4	0	1	0	0	0	0	0	0	1	1	1	1	3	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
0.03	north4_active	80	22024	4810	10925	6791	1044	3942	811	1622	431	1580	600	1886	654	1047	367	176	175	183	460	139	421	444	404	310	181	148	117	309	57	57	315	50	158	119	145	49	83	132	36	45	34	39	20	43	43	20	36	10	79	52	17	53	25	37	10	14	10	20	10	10	9	11	15	4	2	1	16	9	9	4	0	4	6	3	0	4	5	7	2	0	4	3	2	2	1	2	1	1	3	0	1	5	1	0	1	2	0	0	1	3	2	1	2	1	0	2	0	0	2	0	0	2	0	1	0	0	0	1	2	2	0	2	4	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
0.03	north5_all	80	34027	12737	13590	8862	4195	5171	2765	2724	1936	2272	1477	2353	1293	1417	934	778	640	575	700	472	667	655	560	476	373	321	292	495	249	202	384	184	229	157	233	133	142	196	98	99	94	83	76	76	84	61	69	53	107	72	44	62	48	49	28	38	25	30	23	22	28	28	15	14	18	13	28	19	16	15	13	10	9	13	4	8	7	10	5	1	7	5	3	4	10	2	2	6	4	6	6	3	4	1	2	3	6	1	2	3	3	3	3	1	3	6	1	1	4	1	0	0	1	2	0	0	0	1	3	0	0	2	4	0	1	0	0	0	1	0	0	1	2	1	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
0.03	north5_active	80	21861	4770	10860	6753	1039	3855	806	1652	457	1564	589	1959	635	986	375	166	173	183	443	132	449	467	414	313	206	140	119	396	62	60	321	51	139	99	153	41	86	157	35	54	37	40	20	41	40	17	40	13	91	53	13	51	20	39	9	14	11	10	12	11	8	9	11	5	3	2	17	7	13	6	0	4	4	3	2	4	4	7	1	0	2	3	0	2	1	1	0	5	3	1	1	3	0	0	2	2	0	0	1	2	2	1	2	1	0	3	0	1	2	0	0	0	0	2	0	0	0	1	2	0	0	2	4	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
0.03	north6_all	80	33755	12708	13659	8517	4065	5079	2829	2710	1927	2254	1472	2354	1246	1381	952	739	672	603	709	464	636	651	535	486	349	303	289	517	258	175	345	187	211	182	208	132	123	199	95	96	99	72	86	75	74	58	67	48	100	96	45	82	47	49	28	45	25	27	28	17	26	20	19	7	16	16	26	19	22	17	15	9	9	12	5	5	11	3	6	4	7	2	3	7	9	6	1	5	3	6	4	1	4	5	3	1	4	4	1	3	1	2	0	1	3	2	0	1	5	1	0	0	1	2	0	0	0	0	2	0	0	0	1	0	1	0	0	0	2	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
0.03	north6_active	80	21407	4670	10838	6379	992	3745	800	1641	488	1490	584	1949	592	967	370	160	185	198	426	117	427	463	384	314	188	133	116	416	62	58	276	59	130	115	130	41	69	163	37	53	40	34	22	40	33	18	35	11	79	75	14	60	18	41	7	17	9	11	12	10	6	9	11	3	3	4	15	7	19	9	1	4	3	3	3	3	8	3	2	1	3	2	0	5	1	4	0	4	2	1	0	1	1	3	2	0	0	2	1	1	1	1	0	1	0	2	0	1	4	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
0.03	north7_all	80	35125	12798	14617	9239	4156	5484	2785	2884	1959	2373	1494	2434	1297	1451	933	765	686	596	749	482	603	687	583	451	369	301	255	530	236	176	357	182	230	198	199	125	131	189	93	99	105	70	66	70	82	57	72	54	98	83	49	67	37	48	26	45	30	24	27	13	30	20	20	12	20	17	20	14	27	17	17	10	5	10	7	3	8	4	9	6	4	7	4	5	8	7	4	7	3	4	3	2	3	6	2	2	3	3	2	4	0	2	0	1	3	1	2	1	2	1	0	0	0	1	0	0	0	0	1	0	1	0	2	0	0	0	0	0	2	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
0.03	north7_active	80	23091	4951	11860	7201	1065	4142	850	1790	496	1599	636	2038	653	1042	356	193	168	223	464	146	395	521	453	299	205	136	111	439	53	61	285	59	154	121	128	42	68	158	42	61	44	35	18	41	39	18	28	16	79	67	15	48	17	40	7	16	9	12	10	9	9	9	11	4	3	8	8	6	24	10	5	3	1	1	3	1	6	3	2	3	2	7	2	3	1	5	0	4	2	1	0	2	1	3	1	1	1	2	1	1	0	0	0	1	0	1	2	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
