label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45
0.03	north1_all	80	8753	4044	2289	1111	993	526	418	209	378	91	95	128	47	43	92	25	35	18	16	7	7	16	5	5	2	4	1	5	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1
0.03	north1_active	80	5179	2484	1373	580	639	281	231	87	269	36	52	80	18	25	66	13	20	9	9	1	4	12	4	3	2	3	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_all	80	8912	4100	2308	1114	998	531	426	206	407	95	103	122	41	51	85	28	35	18	20	7	6	26	9	6	2	5	2	5	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1
0.03	north2_active	80	5181	2552	1381	587	620	277	254	79	263	38	53	81	18	27	60	17	16	13	10	1	4	14	6	5	2	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north3_all	80	8856	4075	2329	1098	987	526	450	200	399	101	103	98	43	51	78	25	27	22	22	7	6	21	10	6	3	2	3	4	3	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0
0.03	north3_active	80	5125	2490	1400	607	602	274	271	89	248	34	55	60	16	20	52	13	12	15	12	1	4	10	8	5	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	8872	3981	2283	1123	1068	491	458	196	388	113	116	97	40	47	78	27	26	22	24	9	6	16	9	5	3	2	2	3	2	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	5149	2429	1386	620	678	267	284	86	237	36	58	61	13	23	43	14	13	15	13	3	3	7	7	4	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	8778	3916	2275	1135	1052	495	468	191	408	113	125	80	37	50	60	28	25	25	27	13	8	10	11	5	3	3	2	2	3	0	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north5_active	80	5068	2355	1348	621	663	277	283	84	272	42	76	42	12	26	31	13	14	14	18	6	4	7	8	3	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	8905	3978	2266	1082	1043	503	488	211	375	125	125	106	31	44	69	24	33	24	27	12	8	12	7	4	6	2	2	2	3	0	1	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north6_active	80	5167	2380	1323	583	656	279	300	90	242	54	80	56	10	24	38	9	21	14	19	8	4	8	2	1	3	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
