label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46
0.03	north1_all	80	31593	14427	7247	2561	1761	1750	1469	748	520	286	250	200	185	139	74	148	45	53	43	48	32	17	14	11	12	18	7	6	10	4	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	26580	12305	6045	1428	1019	1385	1210	497	337	82	128	107	125	98	20	122	15	11	23	44	19	6	10	7	2	11	4	4	10	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	31452	14301	7255	2625	1774	1736	1471	742	546	293	247	205	196	160	72	140	46	46	37	40	30	12	17	11	11	14	9	11	7	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	26361	12133	6046	1499	1011	1363	1229	499	350	81	126	103	138	114	20	116	18	12	20	34	14	5	12	7	3	9	5	9	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	31476	14289	7264	2626	1765	1756	1545	764	545	290	272	223	182	166	65	120	52	44	26	35	29	10	20	10	11	28	9	10	9	1	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	26379	12105	6071	1535	1016	1364	1294	535	357	76	151	109	128	122	15	91	22	13	17	26	13	3	13	6	3	25	6	8	7	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	31582	14189	7247	2634	1718	1746	1578	732	525	291	270	217	179	183	66	114	54	41	27	36	25	10	17	10	10	25	11	7	9	1	3	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	26418	12020	6018	1551	992	1331	1338	509	355	75	145	102	128	137	15	86	24	14	18	26	11	3	11	4	4	24	6	7	5	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	31399	14410	6985	2634	1752	1782	1584	737	524	286	263	191	168	176	78	111	52	40	28	36	26	12	21	7	9	26	10	9	7	0	3	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	26248	12268	5798	1553	1038	1377	1351	511	357	65	131	93	111	129	18	91	24	11	18	23	15	4	11	3	2	25	4	7	4	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
