label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43
0.03	north1_all	80	5171	4877	1497	760	520	976	271	165	268	98	124	132	37	59	36	11	13	10	11	14	9	7	4	1	3	2	9	2	3	0	0	2	2	1	0	0	0	0	1	0	0	0	0	0
0.03	north1_active	80	2589	3131	846	369	289	650	147	81	170	55	81	87	18	34	20	5	3	5	4	6	5	5	0	1	1	2	8	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	5264	4812	1533	732	544	1021	252	160	258	108	132	111	41	52	41	22	14	9	13	10	7	7	10	1	4	2	6	3	1	0	0	2	2	1	1	0	0	0	1	0	3	0	0	0
0.03	north2_active	80	2621	3047	835	365	290	671	133	74	157	66	81	69	20	29	21	12	3	3	8	4	5	5	6	1	1	2	5	1	0	0	0	0	2	0	1	0	0	0	0	0	3	0	0	0
0.03	north3_all	80	5201	4923	1558	769	561	988	243	148	279	114	138	103	49	65	35	28	16	10	14	14	6	7	10	2	4	3	4	2	1	0	1	0	0	1	1	0	0	0	1	0	3	0	0	0
0.03	north3_active	80	2587	3167	864	399	288	633	130	67	176	55	85	61	21	39	16	17	6	4	12	9	2	5	7	2	0	2	4	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0
0.03	north4_all	80	5298	4833	1683	785	583	1009	289	146	263	130	133	93	44	50	50	31	16	9	14	12	8	5	10	4	4	4	1	2	0	0	1	2	1	0	1	0	1	0	0	0	3	0	0	0
0.03	north4_active	80	2717	3067	906	402	300	668	171	73	168	61	80	50	22	29	25	19	6	4	11	9	3	4	9	3	0	3	0	1	0	0	0	2	1	0	1	0	1	0	0	0	3	0	0	0
0.03	north5_all	80	5323	4860	1728	829	560	1031	299	149	245	121	119	90	49	52	52	28	17	9	11	12	11	2	9	5	4	4	3	2	1	0	1	3	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north5_active	80	2720	3090	940	426	297	733	176	76	156	51	74	42	25	34	28	16	7	5	7	7	4	1	8	3	1	3	2	1	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north6_all	80	5353	4750	1668	793	545	1016	302	158	217	108	99	107	39	39	40	25	15	7	12	9	9	2	5	5	5	3	3	3	3	0	1	3	1	0	0	0	1	0	0	0	1	0	0	0
0.03	north6_active	80	2744	2983	898	408	288	711	173	79	137	52	67	54	22	22	18	13	7	3	6	6	3	2	4	3	2	1	2	2	1	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north7_all	80	5307	4667	1600	770	511	966	297	152	205	103	104	107	37	40	25	22	15	8	16	10	6	2	7	2	3	2	3	4	4	0	1	1	2	0	0	0	0	0	0	0	1	0	0	0
0.03	north7_active	80	2682	2990	891	402	280	656	158	78	120	47	72	54	17	32	13	13	10	4	9	4	2	2	4	1	2	1	2	2	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	5334	4699	1539	753	509	901	274	162	232	97	102	109	31	42	16	20	20	7	18	12	4	7	5	3	4	3	2	5	3	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north8_active	80	2664	3002	875	397	271	563	143	85	141	47	68	66	13	26	7	11	13	3	11	7	2	3	2	2	1	1	2	4	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	5282	4842	1541	779	501	940	279	164	245	108	115	106	30	60	18	24	17	11	17	12	4	6	5	1	4	5	0	5	1	1	2	1	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north9_active	80	2663	3130	866	407	276	557	149	81	151	48	65	71	12	43	9	13	10	6	9	7	0	2	2	1	1	3	0	4	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	5233	4992	1587	800	558	962	273	172	276	114	133	96	35	61	22	18	15	9	14	14	5	5	3	3	6	4	0	3	1	1	2	2	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north10_active	80	2652	3243	899	409	296	594	143	75	163	45	66	67	15	41	10	10	8	3	8	10	0	1	1	3	1	3	0	2	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	5203	5054	1566	812	527	983	266	157	272	106	98	105	59	71	31	21	17	11	11	14	9	6	7	5	7	4	6	1	2	1	0	2	0	0	0	2	0	0	0	0	1	0	0	0
0.03	north11_active	80	2665	3235	872	415	300	663	134	73	158	55	51	63	36	39	14	15	7	5	7	10	3	4	2	4	4	2	4	0	1	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north12_all	80	5212	5041	1531	815	555	912	257	155	301	123	106	96	56	67	30	24	12	18	11	18	6	8	5	5	5	1	5	0	2	2	0	4	0	0	0	2	0	0	0	0	1	0	0	0
0.03	north12_active	80	2658	3253	844	443	317	611	139	71	188	68	57	57	33	36	18	15	5	9	8	15	2	6	2	2	4	1	4	0	1	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north13_all	80	5198	4992	1545	827	552	937	269	159	299	106	98	84	45	52	35	24	9	19	14	16	8	6	4	5	2	1	2	0	1	2	1	3	0	0	0	2	0	0	0	0	1	0	0	0
0.03	north13_active	80	2608	3250	883	440	326	613	151	71	191	55	52	49	25	27	20	13	5	8	9	12	2	4	2	0	1	1	1	0	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north14_all	80	5189	4884	1570	830	571	922	279	149	303	91	103	83	35	58	37	22	7	20	13	12	10	6	6	5	5	0	1	0	1	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	2628	3163	886	461	326	598	159	60	199	51	51	46	13	32	20	9	2	11	7	9	3	4	5	0	4	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	5231	4958	1618	802	552	992	290	137	287	84	113	88	34	58	39	16	9	20	7	16	11	6	7	5	6	0	1	0	1	2	1	1	1	0	0	0	0	0	1	0	0	0	0	0
0.03	north15_active	80	2643	3209	924	429	312	672	150	59	190	47	57	47	12	26	23	6	3	9	2	10	4	4	4	0	6	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
0.03	north16_all	80	5290	4971	1620	805	544	949	291	156	262	85	126	87	30	62	40	14	13	20	10	12	8	4	8	2	7	0	0	1	1	1	2	0	1	0	0	0	0	0	1	0	1	0	0	0
0.03	north16_active	80	2729	3201	893	430	291	638	150	67	168	45	70	52	14	40	21	7	3	10	6	8	4	2	3	0	6	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0
0.03	north17_all	80	5360	4879	1603	779	531	951	267	154	252	89	150	83	31	60	43	17	17	17	11	14	6	4	10	6	3	0	1	1	1	1	1	0	2	1	0	0	0	0	1	0	1	0	0	0
0.03	north17_active	80	2764	3182	915	411	289	628	137	74	158	38	83	51	19	38	23	9	5	8	8	10	2	2	3	3	2	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	1	0	0	0
0.03	north18_all	80	5449	4926	1591	816	545	955	266	173	240	104	144	83	35	62	43	18	17	18	12	16	3	1	10	5	7	0	4	3	1	1	1	0	2	1	0	0	0	0	0	0	2	0	0	0
0.03	north18_active	80	2820	3199	911	422	296	604	146	82	135	47	81	50	18	38	19	11	5	10	8	9	1	0	4	3	3	0	3	1	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0
0.03	north19_all	80	5259	5013	1595	809	563	956	252	173	243	117	141	109	49	60	42	16	22	17	15	11	5	3	10	5	6	0	4	3	2	1	1	1	2	1	0	0	0	0	0	0	1	0	0	0
