label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114
0.03	north1_all	80	7949	2821	1568	1764	937	931	589	699	923	868	584	228	497	182	211	201	231	144	104	80	74	85	115	138	41	52	51	68	37	52	22	29	17	38	24	40	20	12	21	19	28	14	8	7	8	6	21	9	5	10	8	1	3	3	1	4	9	2	2	4	3	5	2	1	4	0	0	2	1	2	3	8	0	6	1	3	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	5318	1145	392	1241	449	612	260	491	788	747	463	59	432	71	152	153	185	83	64	23	27	53	88	122	12	25	5	53	7	41	9	6	9	30	8	35	7	6	13	15	25	3	2	1	3	2	16	7	2	6	2	0	3	3	1	0	9	0	0	0	1	0	0	1	2	0	0	1	0	1	2	7	0	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	7324	2781	1548	1619	931	855	596	644	734	746	502	239	434	163	182	180	184	145	105	74	71	82	121	107	42	47	46	51	32	48	28	27	24	30	27	30	18	16	23	22	20	15	7	6	8	5	16	9	5	11	5	1	8	4	1	4	10	2	2	3	5	4	2	0	4	0	1	1	1	4	1	9	0	8	1	1	0	2	0	0	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north2_active	80	4616	1051	381	1078	392	536	232	416	575	638	384	63	369	57	117	128	146	79	50	25	24	45	88	91	12	19	7	39	4	34	14	6	9	24	8	26	6	11	10	18	16	7	3	0	3	2	11	8	2	7	2	0	6	4	0	0	10	1	0	0	1	0	0	0	2	0	0	1	0	2	1	8	0	8	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	7385	2734	1553	1541	939	854	597	611	773	724	515	229	428	158	168	198	203	136	111	82	77	87	117	94	46	46	39	56	36	47	34	26	29	34	27	29	16	16	22	22	19	15	15	5	11	6	11	12	6	7	0	2	11	11	5	4	9	2	2	3	6	4	3	0	3	2	1	1	0	5	0	4	0	6	1	1	1	1	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north3_active	80	4615	1040	396	996	383	534	222	381	622	622	392	60	364	58	97	138	160	72	48	20	26	45	89	82	13	23	7	39	10	34	17	8	9	25	8	23	7	11	10	16	17	7	8	0	7	3	8	10	2	3	0	2	8	11	2	0	9	1	0	0	1	0	0	0	2	2	0	1	0	2	0	2	0	6	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	7897	2759	1590	1677	933	903	593	652	985	821	567	222	502	171	173	210	243	135	112	85	85	90	115	96	47	48	23	55	33	57	34	20	29	34	19	22	16	17	31	18	14	14	19	8	8	10	12	11	4	5	1	4	13	14	6	2	2	3	1	2	4	3	2	0	1	2	1	3	0	4	0	3	0	2	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	6	0	0	1	1	0	0	0
0.03	north4_active	80	5229	1142	401	1136	394	599	244	436	830	739	465	67	446	69	102	155	197	76	48	23	27	45	82	82	20	24	10	36	10	42	18	7	11	25	8	17	8	13	20	14	13	7	13	1	6	8	10	10	1	2	0	2	10	14	3	0	1	1	0	0	0	0	0	0	1	2	0	2	0	2	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	1	0	0	0
0.03	north5_all	80	8411	2741	1587	1823	915	936	571	737	1147	1037	667	214	547	192	198	237	251	138	107	89	95	89	160	125	48	47	28	68	37	60	31	19	29	36	11	26	18	22	27	21	21	9	17	7	11	10	13	13	5	4	3	5	10	15	5	1	4	3	2	1	5	2	3	1	0	4	0	13	1	3	0	3	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	3	0	0	1	0	0	0	6	0	0	1	1	0	0	0
0.03	north5_active	80	5834	1233	405	1311	416	655	237	547	999	948	557	66	488	85	123	187	208	94	51	20	30	48	133	109	23	25	8	47	11	43	16	9	8	29	5	21	7	17	18	18	20	1	12	2	7	8	12	11	1	3	1	3	7	15	3	1	2	1	0	0	2	0	1	1	0	4	0	12	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	1	0	0	0	6	0	0	0	1	0	0	0
0.03	north6_all	80	8935	2801	1586	1986	951	983	619	802	1227	1201	709	227	648	217	232	258	255	159	114	94	112	104	166	157	57	44	37	83	30	64	31	19	30	43	13	30	16	28	35	22	22	9	10	8	9	10	23	16	5	7	4	4	7	13	6	4	5	4	2	0	2	2	2	1	0	2	0	12	1	1	0	3	2	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	2	1	0	0	3	0	0	2	0	0	0	6	0	0	0	1	0	0	0
0.03	north6_active	80	6556	1321	371	1489	468	727	268	608	1099	1113	607	79	584	96	152	212	213	111	63	23	37	60	138	136	32	22	10	59	6	47	14	8	9	35	5	23	7	24	29	20	21	1	8	3	5	7	21	15	0	6	1	2	5	13	3	1	3	1	0	0	2	0	2	1	0	2	0	11	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	1	0	0	0	6	0	0	0	1	0	0	0
0.03	north7_all	80	9286	2757	1529	2103	982	1001	608	834	1165	1264	752	235	661	216	232	290	250	194	112	87	103	87	156	165	60	39	48	74	29	60	31	19	30	40	14	33	18	29	27	23	26	11	4	10	10	6	29	17	7	9	6	5	6	8	3	6	8	2	3	1	2	2	3	1	0	3	0	11	2	2	0	3	2	2	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	2	1	0	0	3	0	0	1	0	0	1	6	0	0	0	1	0	0	0
0.03	north7_active	80	6982	1275	349	1598	514	746	273	654	1048	1164	655	81	592	94	146	236	208	150	63	19	37	53	139	138	31	19	14	51	4	41	13	7	8	36	6	24	7	26	22	21	24	0	1	5	6	4	27	15	0	5	1	2	3	7	1	2	7	1	0	1	2	0	3	1	0	3	0	10	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	6	0	0	0	1	0	0	0
0.03	north8_all	80	9264	2741	1552	2089	1024	1061	624	856	1108	1179	749	237	648	210	221	302	229	196	112	82	88	90	156	137	53	42	44	66	33	58	36	24	24	49	23	34	25	37	28	20	22	9	7	9	12	6	25	22	7	7	3	10	5	10	6	7	6	3	3	2	2	2	2	0	0	1	1	2	1	1	0	1	1	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
0.03	north8_active	80	6961	1247	357	1616	524	793	302	656	988	1090	650	80	576	96	139	241	186	150	61	20	29	54	137	117	24	21	13	44	6	40	14	10	7	44	12	26	11	34	25	16	21	0	1	4	9	3	23	21	1	3	0	5	2	9	2	3	5	2	1	2	2	0	2	0	0	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	9345	2764	1538	2076	1045	1047	580	813	1130	1188	755	235	647	195	210	303	229	189	110	83	72	84	131	125	44	42	44	54	36	57	43	19	19	54	19	35	24	34	17	22	20	15	6	8	10	6	17	22	7	6	2	9	3	11	5	3	6	4	4	3	0	0	2	0	0	1	2	6	1	2	0	1	3	2	0	2	0	0	0	0	0	1	1	1	0	0	0	0	1	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1
0.03	north9_active	80	7019	1275	343	1592	550	760	263	604	1018	1096	659	79	573	90	142	239	186	144	66	23	21	50	109	109	16	23	16	32	5	45	19	6	8	49	10	27	10	31	13	16	18	6	1	4	7	4	16	21	1	3	0	4	2	10	1	2	4	1	2	2	0	0	1	0	0	1	1	6	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
