label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150
0.03	north1_all	80	9492	3287	2462	2289	1175	672	1081	347	565	493	286	262	227	181	345	139	152	193	104	92	77	117	96	73	73	44	124	38	119	73	41	41	43	61	50	31	35	67	20	53	23	22	16	25	9	46	10	19	7	9	12	10	5	4	12	9	3	5	5	6	4	3	7	4	3	11	4	7	2	2	1	0	3	0	0	6	0	6	2	0	0	1	5	0	1	2	4	1	1	0	5	0	2	1	1	2	1	1	0	1	0	0	1	1	0	0	0	1	2	0	0	1	0	1	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	5974	1927	1532	1450	679	339	688	152	339	304	156	138	126	97	218	78	90	122	47	42	32	57	57	36	33	21	87	19	81	40	16	26	23	50	29	12	21	46	6	23	13	9	12	17	8	31	5	13	4	2	8	6	2	3	5	8	2	4	1	6	2	2	2	2	1	9	1	4	0	2	0	0	1	0	0	6	0	3	2	0	0	0	5	0	0	0	1	1	1	0	5	0	1	0	0	2	0	0	0	1	0	0	1	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	9520	3261	2390	2368	1137	680	1090	374	608	484	284	261	229	183	329	141	141	180	102	88	73	123	93	72	76	48	131	32	123	72	40	38	53	63	44	24	46	79	30	49	23	21	14	22	10	50	11	20	9	8	12	8	8	3	9	6	4	4	4	5	4	3	6	5	3	7	4	5	3	3	1	0	4	0	2	4	2	6	2	1	1	1	5	0	1	1	3	9	1	0	3	0	2	1	1	2	1	1	1	1	0	0	1	1	0	1	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	6013	1909	1478	1520	679	336	704	168	363	287	158	137	132	99	209	73	82	109	49	49	30	64	48	34	34	24	90	17	83	39	14	24	31	47	26	12	26	53	11	22	12	10	11	16	8	36	2	12	6	1	7	5	2	2	5	5	2	3	1	4	2	2	4	3	0	5	1	4	1	3	0	0	2	0	1	4	2	3	2	1	0	0	5	0	0	0	0	7	1	0	3	0	1	0	0	2	0	0	0	1	0	0	1	1	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	9498	3185	2475	2256	1164	664	1083	383	587	480	276	264	250	197	301	145	151	188	105	90	80	119	83	85	84	45	126	42	107	82	45	32	54	73	42	24	57	68	32	45	19	25	18	21	14	37	15	16	6	10	12	13	9	3	7	7	8	4	4	5	3	2	5	4	4	7	4	5	2	2	2	1	3	0	2	3	2	4	2	2	2	1	5	1	2	1	4	9	0	0	3	0	1	0	1	2	1	0	1	1	0	0	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	6005	1858	1534	1460	702	321	715	178	348	280	147	139	143	104	203	68	86	125	56	52	33	60	43	41	44	22	89	23	71	50	21	20	30	47	12	11	31	45	12	22	11	11	14	15	10	30	4	8	4	3	8	5	4	2	4	4	2	2	0	4	3	1	3	3	1	5	1	4	1	1	1	0	1	0	1	3	2	3	1	2	1	1	5	0	1	0	1	7	0	0	3	0	0	0	0	2	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	9350	3068	2485	2311	1131	627	1011	384	558	486	275	268	248	198	317	159	140	190	88	106	93	118	77	87	89	49	133	43	122	87	37	40	55	58	46	21	52	67	24	32	18	27	20	23	16	35	15	13	4	9	8	11	11	4	6	12	9	7	4	4	4	2	7	8	3	7	1	2	2	3	1	1	2	1	2	1	4	1	1	2	2	1	5	1	2	0	3	8	1	0	3	1	0	1	0	0	0	0	2	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	5851	1753	1517	1513	674	298	675	182	347	294	146	132	141	90	226	68	78	134	43	57	44	66	41	40	48	22	92	21	77	61	15	22	30	32	14	9	24	39	11	20	7	15	16	18	7	26	5	5	3	3	2	4	5	3	3	7	3	4	1	3	3	1	2	8	1	5	0	2	1	2	1	0	1	0	1	1	3	1	0	2	1	1	5	0	1	0	1	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	9645	3015	2551	2390	1110	616	1053	349	520	471	292	275	242	201	310	153	139	194	86	105	83	123	68	86	94	59	123	43	129	89	41	45	43	51	50	20	50	58	19	32	14	27	22	22	18	25	15	12	5	9	12	11	12	4	4	12	11	8	4	5	6	3	7	8	3	4	1	0	1	4	1	3	20	1	0	5	2	0	2	3	1	2	0	1	1	0	3	0	1	0	0	1	1	1	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
0.03	north5_active	80	6103	1702	1578	1592	623	295	688	156	316	274	156	135	140	102	213	64	77	138	37	53	36	73	36	39	55	24	89	20	78	65	17	24	20	31	14	6	24	32	10	23	5	13	16	16	8	18	7	5	2	5	4	4	5	3	0	5	4	3	2	3	3	0	2	8	1	2	0	0	0	2	1	1	19	0	0	1	1	0	1	2	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
