label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137
0.03	north1_all	80	2324	1460	1315	504	452	290	251	206	374	160	122	116	108	130	83	124	50	173	67	42	71	55	43	34	54	88	74	26	20	18	20	26	8	27	23	7	15	75	15	13	6	7	3	10	2	6	11	5	8	7	8	5	4	3	4	3	0	4	4	2	3	11	1	0	4	1	1	1	7	1	0	6	2	2	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0
0.03	north1_active	80	753	808	1002	150	251	70	90	40	282	46	30	17	23	85	35	93	10	151	43	12	45	30	10	13	37	68	64	4	9	10	7	20	1	20	9	1	3	60	9	3	1	7	0	3	0	5	8	2	1	5	5	2	2	2	0	3	0	1	3	2	2	10	0	0	4	0	0	1	2	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	north2_all	80	2336	1419	1326	513	451	286	272	213	409	167	129	125	115	138	94	113	58	167	62	35	68	40	45	30	43	82	74	28	19	13	18	24	8	24	24	9	13	64	14	15	8	10	5	4	4	4	12	3	8	6	7	7	4	3	4	7	1	3	4	3	1	11	1	0	7	2	1	2	5	1	0	6	2	2	0	1	0	0	2	0	1	0	0	1	0	0	1	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0
0.03	north2_active	80	763	817	993	165	247	66	102	40	321	45	27	23	27	99	41	86	10	142	33	12	45	26	12	11	25	65	60	7	9	5	6	19	1	21	10	2	5	47	10	3	1	9	1	2	1	3	8	0	2	4	5	5	2	3	1	4	1	1	4	2	1	10	0	0	6	0	0	2	1	1	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	north3_all	80	2335	1491	1488	526	447	295	259	179	448	170	132	121	100	144	89	120	63	179	59	38	84	48	50	36	36	82	79	28	23	13	17	31	15	24	26	12	13	58	14	12	8	22	4	6	6	21	5	2	8	6	8	7	6	3	5	7	1	3	4	6	4	7	4	1	8	3	1	2	4	1	0	12	1	2	0	1	1	0	2	0	1	0	0	1	0	0	4	2	0	0	1	0	2	2	0	0	2	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0
0.03	north3_active	80	811	905	1171	182	263	77	98	36	380	42	22	26	24	101	42	91	14	157	30	13	60	35	17	16	18	73	66	7	13	3	7	27	3	20	16	2	6	40	8	4	1	20	1	3	1	19	3	0	2	4	7	6	2	3	2	4	1	1	4	5	3	7	2	1	7	0	1	2	1	1	0	12	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	2	2	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	2298	1498	1684	548	453	307	261	189	537	165	139	122	111	165	87	132	62	191	59	34	82	46	47	38	37	89	111	28	24	11	13	33	23	41	20	15	14	52	17	12	11	18	5	3	7	30	8	5	7	6	10	7	9	3	9	6	1	2	11	7	4	5	5	2	11	3	3	1	3	0	0	6	1	0	0	1	3	0	1	0	1	1	0	0	1	1	5	2	0	0	1	0	2	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	843	969	1383	213	275	89	104	47	476	36	36	27	33	122	43	107	16	169	28	14	64	32	16	14	15	80	96	8	15	2	5	31	6	36	14	4	7	46	13	6	1	16	2	2	1	27	6	2	3	4	8	7	1	2	6	3	1	0	11	6	3	4	2	2	10	0	3	1	1	0	0	6	0	0	0	0	1	0	1	0	0	1	0	0	1	0	4	0	0	0	0	0	2	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	2323	1559	1856	546	484	317	270	175	580	150	137	123	103	175	87	146	63	246	71	34	84	51	37	37	34	129	114	24	31	15	11	34	27	42	19	17	12	90	18	8	11	19	7	5	6	39	5	4	6	6	7	5	7	2	9	7	0	2	12	6	5	8	4	2	4	3	4	2	2	0	1	10	2	0	0	0	3	0	1	0	0	1	1	1	1	1	7	0	0	0	1	0	2	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	9	0	0	0	0	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	921	1042	1581	220	296	100	107	51	513	28	34	29	33	131	41	118	18	226	37	15	66	34	13	16	16	117	101	4	18	6	4	30	8	36	13	5	4	83	12	5	1	14	1	1	1	35	5	2	3	5	5	5	0	1	6	5	0	0	11	5	3	7	2	2	4	1	3	2	0	0	1	10	0	0	0	0	1	0	1	0	0	1	0	0	1	0	4	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	2335	1519	1855	544	500	298	278	188	584	143	135	111	102	184	90	146	73	310	66	34	71	54	34	38	36	140	133	33	24	18	11	43	24	42	18	16	15	89	19	8	12	12	10	9	7	33	13	5	7	5	5	6	9	4	6	6	0	1	12	15	2	7	3	3	7	4	3	2	4	0	2	10	3	0	0	0	2	1	1	0	2	1	1	1	1	2	26	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0
0.03	north6_active	80	933	1034	1584	222	301	90	118	57	517	22	44	23	33	136	44	117	21	296	36	14	52	35	10	17	21	129	123	9	16	10	4	34	6	35	14	4	5	83	11	5	1	7	2	4	4	30	13	2	2	4	4	6	0	2	4	6	0	0	11	15	0	6	1	2	6	2	2	2	2	0	2	10	0	0	0	0	0	1	1	0	2	1	0	0	1	0	22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
