label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57
0.03	north1_all	80	51951	14848	8582	6800	5134	2761	1973	2408	917	765	612	640	439	352	508	249	124	141	98	67	84	69	50	72	30	21	16	18	17	19	6	4	6	7	0	2	2	0	2	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	29871	7162	4128	3694	2898	1469	1004	1500	406	363	299	396	239	177	359	158	65	86	56	34	45	36	27	53	15	10	5	10	6	7	1	2	2	2	0	1	1	0	1	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	51564	14683	8642	6620	5166	2692	1956	2258	891	720	634	614	424	353	463	239	124	139	108	57	86	86	56	66	32	21	12	19	15	24	5	10	7	4	2	2	5	0	1	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
0.03	north2_active	80	29534	6952	4140	3588	2919	1395	971	1362	403	331	290	381	230	190	298	149	65	88	64	30	51	46	32	52	14	10	5	11	6	11	1	8	3	1	2	1	5	0	1	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
0.03	north3_all	80	52233	14897	8673	6708	5175	2691	1939	2347	913	731	631	653	430	360	468	227	140	123	105	52	87	88	51	76	29	17	14	15	12	16	4	9	8	3	4	1	6	1	1	0	1	0	0	2	0	0	0	0	3	1	0	0	0	0	0	0	0	0
0.03	north3_active	80	30152	7147	4136	3732	3010	1397	947	1431	411	331	284	395	239	210	289	136	87	80	61	21	49	55	28	60	12	10	9	7	5	10	1	6	5	1	2	1	5	0	1	0	1	0	0	2	0	0	0	0	3	1	0	0	0	0	0	0	0	0
0.03	north4_all	80	53708	15223	8731	6880	5348	2765	1914	2467	919	727	632	678	461	389	493	213	150	130	102	44	79	103	45	88	25	19	15	19	11	16	3	8	7	3	4	0	5	6	1	2	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_active	80	31095	7324	4102	3837	3188	1457	933	1525	424	328	288	407	272	226	316	127	87	75	58	16	50	67	25	69	13	13	9	13	7	10	1	6	4	1	2	0	4	5	1	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north5_all	80	55135	15478	8786	7043	5489	2793	2012	2519	921	720	616	752	483	387	521	230	156	159	80	58	95	83	46	89	25	24	13	20	8	19	3	3	7	4	5	0	5	6	0	3	0	1	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north5_active	80	32032	7593	4169	3956	3276	1494	1001	1555	434	333	286	470	297	223	341	141	85	92	37	21	46	50	27	64	16	14	8	18	5	8	2	1	3	1	1	0	4	5	0	1	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north6_all	80	54628	15443	8868	7031	5311	2866	2004	2526	945	732	580	746	474	395	485	237	144	174	84	73	114	81	38	73	30	23	16	22	8	17	3	1	7	4	4	1	0	5	1	3	1	1	0	4	0	0	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north6_active	80	31515	7479	4236	3907	3129	1497	1005	1519	442	337	277	457	285	223	327	143	75	94	44	29	50	53	21	48	17	13	9	18	3	4	2	0	2	2	1	0	0	5	1	1	1	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north7_all	80	54610	15449	9004	6961	5320	2853	2031	2366	935	721	574	705	476	359	437	234	145	182	100	77	118	60	37	59	30	18	12	24	9	15	4	2	5	4	5	2	0	0	1	8	2	1	0	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0
0.03	north7_active	80	31651	7448	4353	3877	3084	1476	1036	1391	447	339	293	434	273	197	286	148	67	103	52	39	59	43	21	38	15	9	7	21	2	3	3	0	1	2	2	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0
0.03	north8_all	80	54359	15500	8977	7007	5412	2867	2075	2434	921	745	553	683	471	336	416	236	156	184	101	92	120	88	33	41	39	18	18	20	9	13	4	5	4	3	6	2	2	1	1	6	2	0	0	6	0	0	0	0	0	1	1	1	0	0	0	0	0	0
0.03	north8_active	80	31653	7369	4376	3879	3138	1468	1092	1434	418	360	294	406	262	175	256	150	74	111	58	49	74	70	17	28	19	9	11	16	3	6	3	1	1	2	3	0	0	0	1	1	1	0	0	5	0	0	0	0	0	1	1	1	0	0	0	0	0	0
0.03	north9_all	80	54175	15554	8939	7057	5500	2852	2086	2423	895	734	579	659	509	343	416	227	158	161	101	84	104	96	44	44	38	12	20	15	8	20	3	7	4	5	5	3	2	3	0	6	1	0	0	6	0	0	0	0	1	0	1	1	0	0	0	0	0	2
0.03	north9_active	80	31589	7390	4445	3923	3181	1474	1095	1433	402	361	308	390	279	172	243	147	79	106	50	49	78	78	27	29	19	7	9	12	4	11	3	1	2	2	3	0	0	2	0	1	0	0	0	5	0	0	0	0	0	0	1	1	0	0	0	0	0	2
0.03	north10_all	80	54030	15494	8763	7056	5567	2842	2105	2410	906	724	586	668	469	358	462	222	160	149	110	87	113	101	41	51	35	14	18	8	5	13	4	8	5	4	6	2	2	4	1	1	0	1	1	5	0	0	0	0	1	0	1	1	0	0	0	0	0	2
0.03	north10_active	80	31557	7416	4379	3931	3176	1461	1083	1456	407	358	317	395	262	191	238	121	87	91	55	46	84	80	26	32	20	8	7	5	3	9	1	2	2	1	4	1	0	3	0	1	0	0	0	5	0	0	0	0	0	0	1	1	0	0	0	0	0	2
0.03	north11_all	80	53282	14787	8943	7052	5281	2918	2054	2425	883	748	617	688	449	366	405	243	152	140	90	75	100	80	47	51	22	24	11	28	10	11	9	9	4	2	3	7	0	2	2	6	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	31125	7057	4291	3878	3009	1547	1049	1508	402	344	294	413	260	198	254	140	91	85	39	36	69	56	21	34	12	10	4	22	5	8	5	9	2	2	2	2	0	1	1	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	52993	14913	8829	7115	5250	2916	2001	2457	927	785	575	637	446	343	437	213	157	145	93	66	89	78	40	50	21	22	8	27	10	8	5	8	5	5	4	6	1	2	2	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	30721	7234	4235	3941	3046	1508	1019	1530	424	365	288	379	249	194	273	126	101	88	46	29	58	50	17	23	12	12	3	20	6	5	2	8	1	4	2	3	1	1	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	53060	14969	8858	7240	5313	2946	1963	2497	907	790	574	645	437	320	438	207	156	141	92	64	85	64	44	48	25	24	11	27	10	8	5	6	8	4	2	6	1	1	1	1	1	0	1	6	0	4	1	2	0	0	0	0	1	0	0	0	0	0
0.03	north13_active	80	30747	7223	4315	4039	3116	1520	1012	1592	437	355	293	377	237	174	278	107	87	82	46	30	49	36	16	21	12	14	4	18	7	3	2	6	1	3	0	3	1	1	1	1	1	0	0	6	0	3	1	1	0	0	0	0	1	0	0	0	0	0
0.03	north14_all	80	53527	15173	8801	7316	5245	2897	1952	2505	946	811	583	673	436	322	470	212	172	157	89	59	94	56	46	48	28	24	10	18	11	4	6	4	6	4	2	11	1	0	1	1	1	0	1	8	0	1	1	2	0	0	0	0	1	0	0	0	0	0
0.03	north14_active	80	30929	7418	4290	4178	3070	1476	1027	1565	454	388	284	399	244	177	295	112	95	96	44	27	58	33	15	22	14	12	5	9	6	1	3	3	0	2	0	8	1	0	1	1	1	0	0	8	0	0	1	1	0	0	0	0	1	0	0	0	0	0
0.03	north15_all	80	51982	14994	8812	7177	5100	2783	1884	2424	936	766	594	669	431	326	458	216	170	145	96	66	92	50	46	50	36	22	13	17	9	5	9	5	4	4	0	12	1	2	1	1	1	0	1	8	0	1	1	2	0	0	0	0	1	0	0	0	0	0
0.03	north15_active	80	29817	7244	4247	4112	2951	1378	963	1476	464	345	289	387	241	180	281	121	86	88	50	25	58	28	17	31	18	12	6	8	5	1	5	3	0	2	0	8	1	1	1	1	1	0	0	8	0	0	1	1	0	0	0	0	1	0	0	0	0	0
0.03	north16_all	80	51709	14881	8648	7003	4973	2696	1857	2374	944	755	599	712	416	360	478	197	171	136	89	60	66	61	44	47	38	22	19	19	9	8	9	6	1	2	1	9	1	2	2	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	29539	7128	4227	3991	2837	1338	947	1406	471	357	285	424	228	197	289	113	98	83	48	24	47	42	16	29	19	10	13	11	5	3	3	4	0	0	1	7	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	51695	14986	8643	6854	5187	2712	1879	2293	943	730	569	714	398	366	467	186	172	134	99	68	85	79	38	45	33	16	24	20	7	13	9	4	1	3	1	3	1	2	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north17_active	80	29575	7149	4196	3835	2973	1368	931	1332	456	362	271	432	221	207	296	102	103	82	63	27	55	50	18	31	22	9	21	12	5	3	2	1	1	2	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north18_all	80	53358	15117	8675	6907	5331	2721	1926	2387	925	754	579	760	395	376	467	190	171	153	112	64	92	89	31	41	27	22	28	18	5	13	6	6	1	6	3	4	1	2	1	1	1	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north18_active	80	30861	7291	4285	3839	3063	1374	977	1424	427	390	276	476	224	194	306	98	99	96	66	27	56	58	16	22	22	12	25	11	2	4	0	3	1	3	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north19_all	80	54764	15317	8794	7112	5401	2756	1976	2420	939	767	561	777	414	352	429	183	170	162	117	59	107	92	38	37	24	16	27	14	8	15	4	9	1	5	2	7	0	1	1	3	1	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north19_active	80	32040	7404	4333	3934	3098	1435	1016	1476	433	397	281	528	242	184	268	94	85	95	66	26	56	63	20	21	21	8	22	5	2	6	1	6	1	3	0	2	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north20_all	80	54841	15309	8846	7070	5536	2797	1989	2484	949	776	569	742	473	362	502	238	181	172	114	55	98	107	42	39	33	20	23	9	6	17	5	10	1	6	3	8	2	1	1	3	1	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	32126	7354	4369	3943	3256	1411	1025	1481	428	384	282	475	288	202	325	138	84	100	55	18	48	74	21	22	20	8	16	1	2	10	3	8	1	3	1	3	0	0	0	3	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	63303	14897	8012	9465	4986	2869	2543	2016	1937	666	876	431	333	239	338	194	172	92	127	82	59	73	30	31	54	21	35	23	12	15	8	26	6	3	4	8	2	2	1	1	0	0	0	1	0	0	0	0	0	0	1	1	4	0	0	0	0	0
0.03	south21_active	80	38396	6994	3591	5844	2828	1471	1499	1173	1210	309	500	203	152	101	203	117	81	35	67	50	29	44	11	13	26	13	16	17	11	8	5	20	3	2	3	5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south22_all	80	62850	14827	8051	9456	4998	2877	2515	1974	1878	664	905	417	338	220	347	218	150	90	142	84	60	66	27	26	43	22	41	21	22	12	8	9	8	3	4	7	2	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
0.03	south22_active	80	38172	6903	3653	5816	2867	1477	1468	1125	1167	314	541	192	152	82	210	134	65	30	87	51	34	33	12	14	22	11	23	17	19	7	5	3	5	2	2	5	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south23_all	80	63052	14967	8009	9329	5097	2881	2468	1973	2087	673	918	392	313	246	331	204	136	101	128	66	63	52	33	24	30	22	38	17	22	10	7	6	6	4	5	8	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south23_active	80	38450	7058	3575	5683	2915	1501	1410	1134	1332	298	551	208	153	95	207	121	58	40	80	39	34	35	16	10	18	12	23	13	18	7	4	2	3	3	3	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	62597	14930	8038	9261	5061	2819	2480	1971	2118	699	917	401	319	255	320	214	144	98	130	69	56	63	32	30	35	26	38	19	26	7	6	3	5	5	2	7	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south24_active	80	38129	7034	3636	5731	2888	1468	1410	1140	1389	320	561	201	147	104	192	124	63	36	89	35	27	31	16	11	21	12	25	13	20	5	3	1	2	4	1	6	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	62674	14898	8059	9276	5105	2787	2476	1960	2142	711	868	414	322	250	302	213	148	96	111	59	57	84	34	31	30	18	38	11	25	9	5	2	3	2	3	9	1	0	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_active	80	37984	7032	3673	5738	2866	1419	1404	1112	1364	308	513	212	137	109	174	126	83	36	71	30	23	50	20	9	19	9	31	6	21	7	3	1	1	2	3	9	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	62670	14854	8040	9286	5033	2778	2545	1925	2135	695	855	431	324	242	322	214	156	84	104	73	51	83	43	35	37	17	26	17	19	16	10	2	5	1	3	7	1	0	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
