label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56
0.03	north1_all	80	38156	32785	9048	12762	4812	2736	1967	2184	1250	837	569	585	381	482	282	269	128	125	195	90	56	68	37	31	25	22	35	14	9	9	9	3	17	5	6	2	8	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	9397	27098	2820	10848	2865	595	432	1595	674	358	136	290	143	404	153	193	23	62	138	72	15	47	7	20	15	9	29	4	1	2	2	2	17	2	4	2	8	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	38084	32985	9130	12914	4844	2749	1967	2205	1264	806	567	580	395	467	284	264	129	133	184	83	50	70	38	34	31	27	40	16	7	7	8	5	8	4	6	1	7	9	2	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	9384	27263	2861	11039	2909	596	435	1603	710	338	139	296	138	380	154	185	21	77	130	64	12	50	7	24	16	16	33	5	2	2	2	4	8	1	4	1	7	9	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	38187	33080	9233	12479	4898	2759	1933	2222	1212	807	556	585	395	507	280	267	144	138	185	95	57	55	36	37	30	26	46	13	9	6	10	8	11	1	8	2	5	11	2	1	2	2	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0
0.03	north3_active	80	9308	27289	2857	10640	2948	582	437	1619	684	334	137	281	142	410	154	179	23	82	137	74	16	40	9	26	16	15	41	5	3	2	3	7	11	0	4	2	5	11	1	1	1	1	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0
0.03	north4_all	80	38270	32910	9287	12612	4788	2773	1894	2250	1240	802	549	539	379	505	256	235	141	127	181	106	64	62	42	66	21	25	46	14	13	7	10	9	10	2	9	1	4	13	3	1	2	2	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0
0.03	north4_active	80	9392	27150	2824	10709	2861	613	408	1628	672	323	136	262	149	400	128	155	29	76	143	87	18	46	11	53	7	17	43	5	6	2	4	8	9	0	4	1	4	13	2	1	0	1	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0
0.03	north5_all	80	38367	33237	9294	12439	4697	2721	1906	2134	1234	834	603	541	384	492	259	219	136	135	206	114	65	53	43	75	18	20	37	11	15	4	6	10	9	3	6	1	1	11	1	0	2	2	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0
0.03	north5_active	80	9474	27516	2883	10497	2802	628	388	1534	659	333	147	244	160	393	138	141	32	76	170	91	19	37	12	62	5	10	33	3	6	0	2	10	8	1	1	1	0	11	1	0	0	1	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0
