label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70
0.03	north1_all	80	7820	5559	2704	1081	778	551	406	370	260	219	227	135	177	85	193	120	79	97	31	50	36	23	46	8	15	16	19	10	9	5	5	8	4	7	3	1	2	2	4	0	0	2	2	0	0	5	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	4291	3512	1620	537	395	277	198	195	138	100	127	65	111	40	114	83	45	64	16	29	16	10	34	3	11	9	9	6	2	0	0	2	2	6	1	0	0	1	2	0	0	0	2	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	7828	5463	2662	1078	802	541	406	373	271	227	235	137	156	83	198	120	84	79	27	60	32	18	45	10	8	18	13	15	8	5	2	7	4	12	6	0	5	4	4	0	0	1	1	0	2	2	1	1	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	4330	3498	1625	535	409	268	197	194	147	108	138	67	90	38	122	89	49	46	11	35	17	9	35	2	4	12	5	9	3	2	0	2	2	7	4	0	1	1	2	0	0	0	1	0	2	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	7630	5112	2539	1065	785	535	405	375	297	222	236	129	142	84	182	124	104	70	25	63	31	23	42	13	10	19	7	10	9	3	4	6	4	10	5	0	5	3	3	0	0	1	1	0	2	0	1	2	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	4166	3278	1529	509	396	276	192	190	156	102	129	62	80	36	111	88	62	41	9	40	17	8	29	3	5	15	1	6	5	2	1	3	1	6	3	0	2	0	3	0	0	0	1	0	2	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	7698	5177	2547	1063	778	520	435	354	311	217	242	124	125	86	176	96	92	71	32	66	31	22	54	16	11	18	7	13	8	3	4	8	9	13	5	0	5	2	3	2	1	1	4	0	2	1	1	2	6	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	4243	3325	1552	534	375	256	208	179	170	105	132	62	69	37	112	61	56	39	7	41	23	7	39	5	5	13	2	9	5	2	1	3	5	7	3	0	3	0	3	1	1	0	4	0	2	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	7598	5232	2588	1055	766	513	440	341	290	201	265	119	131	89	159	87	116	67	34	57	30	22	52	19	9	15	6	10	7	5	3	8	11	7	1	0	4	2	8	2	1	0	4	0	5	4	1	1	3	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	4164	3339	1601	541	372	255	215	170	149	95	141	58	75	40	92	52	77	40	9	34	20	7	32	8	4	9	2	6	4	1	1	3	5	5	0	0	3	0	7	1	1	0	4	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	7724	5492	2739	1088	776	512	422	344	267	216	258	124	131	86	154	73	99	66	35	50	25	26	57	16	10	11	7	10	9	5	3	4	11	11	2	1	1	2	6	4	2	2	4	1	5	5	1	1	2	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north6_active	80	4295	3519	1693	566	403	248	211	173	140	106	138	65	75	44	93	40	72	40	12	26	17	9	42	8	4	4	3	8	4	1	1	1	5	9	0	0	1	0	5	3	2	2	4	0	0	3	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
