label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85
0.03	north1_all	80	7609	2923	2118	1709	2095	1200	1416	362	290	273	250	151	307	227	226	73	95	90	247	45	38	60	38	42	50	26	26	21	54	16	54	18	18	3	8	28	7	6	3	1	3	2	2	3	3	21	2	0	3	4	2	3	1	1	2	0	1	0	0	0	2	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	5215	1605	1449	1280	1848	985	1270	124	78	126	146	35	241	178	183	32	58	53	235	15	9	44	14	18	45	21	18	5	49	5	51	10	7	0	0	26	5	0	0	0	0	0	1	1	1	19	1	0	1	2	2	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	7955	2955	2180	1798	2261	1338	1493	351	288	270	276	151	330	234	232	82	100	90	241	60	41	50	43	42	46	26	26	20	63	17	55	15	14	4	11	21	5	7	2	1	2	0	6	2	2	14	1	1	2	2	3	3	2	1	2	0	1	0	0	0	1	0	0	0	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_active	80	5674	1690	1561	1378	2025	1142	1368	136	76	123	161	35	271	184	188	44	62	58	225	20	10	34	13	20	39	19	17	5	56	6	52	9	6	0	3	20	4	1	0	0	1	0	5	1	1	12	0	0	1	2	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	7936	2866	2210	1841	2293	1356	1531	378	283	280	269	159	334	232	230	77	99	87	240	65	43	49	41	44	38	19	20	24	66	18	38	16	14	6	11	20	4	7	1	4	2	1	9	1	0	6	2	1	2	2	3	2	2	0	3	0	4	0	0	0	1	0	0	0	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north3_active	80	5638	1647	1592	1424	2056	1165	1399	138	74	142	163	34	285	185	189	39	56	56	227	21	15	32	10	17	31	15	12	7	57	7	33	12	5	0	4	20	3	1	0	1	1	0	9	0	0	5	0	0	1	2	2	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	8021	2839	2309	1876	2268	1392	1524	367	266	294	264	172	322	228	256	87	89	81	201	64	43	48	31	38	38	19	34	19	82	25	39	12	16	4	9	16	3	7	2	5	3	2	11	1	0	6	3	2	1	0	3	2	1	0	2	0	4	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north4_active	80	5717	1646	1659	1427	2031	1201	1389	135	73	159	157	45	280	179	214	41	51	49	183	24	17	33	6	16	29	14	25	7	75	13	33	10	6	0	4	14	3	1	0	1	1	1	10	0	0	6	0	0	0	0	2	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	8010	2881	2347	1921	2218	1428	1605	382	253	290	271	179	326	259	256	100	97	70	208	60	43	54	24	26	40	31	36	15	75	25	28	13	14	5	7	15	1	4	2	5	2	3	9	2	3	8	2	2	2	0	1	2	1	1	1	1	4	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north5_active	80	5692	1649	1683	1492	2007	1225	1458	139	78	157	158	48	271	198	214	46	58	38	194	21	18	42	8	11	27	26	27	4	69	14	22	11	4	0	2	13	1	0	0	1	0	2	8	2	0	8	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	7964	2946	2356	1903	2325	1417	1499	389	262	285	283	170	297	254	256	93	103	61	236	49	43	51	24	28	42	43	40	10	78	23	29	9	9	6	5	19	10	5	1	3	3	3	8	2	3	6	1	2	2	0	1	3	1	2	1	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0
0.03	north6_active	80	5654	1696	1693	1459	2105	1211	1360	152	87	150	170	48	238	199	217	37	67	29	223	20	16	40	8	10	32	36	32	3	73	15	25	8	4	0	0	16	7	0	0	0	1	2	7	2	0	6	0	1	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
0.03	north7_all	80	8048	3025	2333	1918	2329	1457	1480	386	248	282	254	162	291	239	252	98	109	65	248	55	39	65	31	26	45	48	35	12	88	16	26	7	7	7	5	23	14	4	0	3	5	1	6	2	4	7	3	3	1	0	6	2	4	3	2	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0
0.03	north7_active	80	5718	1722	1657	1479	2119	1266	1334	149	90	150	146	43	237	192	208	45	67	28	234	21	13	52	11	10	36	43	24	2	81	11	24	5	3	0	1	21	10	0	0	0	1	1	6	2	1	6	0	3	1	0	4	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
0.03	north8_all	80	7979	3050	2301	1832	2397	1454	1425	352	276	256	227	161	290	241	245	117	105	74	266	60	42	73	35	29	46	43	26	14	80	12	42	9	6	8	8	21	15	2	0	4	4	2	21	2	1	5	2	5	3	0	10	2	5	3	2	0	1	2	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	5	1	1	0	0
0.03	north8_active	80	5630	1700	1634	1413	2168	1260	1283	134	90	141	137	39	231	201	200	59	66	33	251	28	12	56	12	14	38	39	19	2	73	8	40	5	4	0	2	19	10	0	0	1	2	0	20	1	1	4	0	5	2	0	8	0	2	1	1	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	5	1	1	0	0
0.03	north9_all	80	8099	3086	2236	1919	2335	1403	1496	342	272	259	224	162	270	229	252	107	90	87	221	70	42	70	37	31	47	43	27	17	81	14	44	10	9	10	7	16	8	5	2	2	5	4	17	2	2	4	2	4	2	1	10	2	4	2	1	0	1	2	1	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	1	1	0	0
0.03	north9_active	80	5726	1733	1568	1485	2100	1196	1341	123	79	140	126	36	211	201	199	54	54	44	203	36	11	51	13	15	39	36	17	4	72	8	40	5	4	0	2	15	5	0	1	1	2	0	15	0	2	3	0	4	1	1	9	0	2	1	0	0	1	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	1	1	0	0
0.03	north10_all	80	8026	3067	2239	1833	2224	1376	1552	364	313	252	216	161	298	234	274	103	92	89	269	70	45	78	41	27	65	38	25	16	59	16	38	13	9	6	10	13	7	4	2	3	3	7	22	3	2	4	2	2	2	1	5	1	2	0	1	0	1	1	1	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	4	1	0	0	0	0	0	0	1	1	0	0
