label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100
0.03	north14_all	80	32540	26850	13357	9992	4430	3042	2498	2646	2897	1308	2480	1094	1015	649	599	614	1042	371	819	438	275	246	262	399	207	136	154	249	104	81	175	158	116	71	66	38	61	24	39	72	21	24	16	24	19	15	24	12	16	7	10	16	7	12	3	3	6	2	7	4	4	2	3	1	4	6	0	5	1	2	1	1	0	0	0	0	0	1	0	0	3	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
0.03	north14_active	80	17050	22512	10211	8102	2185	882	936	1794	2327	349	2117	561	639	128	256	371	900	109	713	319	84	104	168	349	150	59	96	209	67	16	142	141	96	42	57	19	42	7	27	59	7	17	2	10	3	2	15	4	7	6	7	8	5	11	0	2	3	1	7	0	1	1	0	1	4	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north15_all	80	32373	26572	13332	10142	4424	3045	2553	2779	2890	1315	2590	1051	1046	631	637	595	961	412	782	430	252	242	266	403	193	134	153	275	96	81	165	137	93	58	97	49	73	29	49	62	23	28	18	23	21	18	26	13	11	4	10	16	9	10	3	5	3	2	6	6	5	3	4	0	2	0	1	3	2	3	0	0	0	0	0	0	0	2	0	0	3	0	3	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
0.03	north15_active	80	16870	22178	10208	8199	2201	889	956	1880	2303	367	2230	524	671	130	272	356	825	121	664	306	85	103	164	350	136	65	97	236	60	19	130	119	75	35	87	21	53	10	36	51	8	17	4	12	6	3	17	5	4	4	6	10	6	10	1	3	1	1	6	2	1	1	0	0	2	0	1	3	1	1	0	0	0	0	0	0	0	2	0	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north16_all	80	32495	26848	13082	10130	4392	2998	2630	2826	2868	1329	2586	991	1045	604	630	602	1018	407	699	431	242	206	244	395	174	150	138	225	109	76	149	132	96	47	105	50	66	31	38	42	29	20	13	21	19	18	19	10	11	6	15	14	9	14	5	4	5	2	7	6	3	2	4	0	4	0	2	1	1	1	0	1	0	0	0	0	1	2	2	0	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
0.03	north16_active	80	16971	22467	10013	8107	2143	870	990	1957	2298	371	2249	493	669	134	265	347	880	115	590	306	71	86	155	332	115	85	86	188	73	23	126	117	77	24	92	20	50	9	29	29	12	11	5	11	5	5	15	4	4	6	3	11	7	14	1	2	2	1	7	2	0	0	0	0	2	0	1	1	0	0	0	1	0	0	0	0	1	2	2	0	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	32729	27412	12968	9973	4437	3015	2555	2788	2839	1290	2683	1035	1038	652	618	620	1011	391	656	407	225	207	229	379	163	163	125	243	118	82	131	150	123	47	112	51	54	28	39	35	23	28	13	24	19	17	19	12	12	4	14	13	12	23	4	6	5	1	3	9	3	2	5	0	5	1	2	0	1	2	1	3	0	0	0	0	1	2	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1
0.03	north17_active	80	17273	22923	9918	7903	2150	884	958	1940	2255	358	2364	534	629	156	273	356	875	115	538	299	70	83	138	316	101	94	79	201	75	26	109	132	100	19	100	18	43	8	28	26	10	17	6	13	7	5	17	7	5	3	1	8	9	23	1	5	1	1	3	3	0	0	0	0	2	1	1	0	0	0	1	3	0	0	0	0	1	2	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north18_all	80	32678	27401	13086	9788	4508	3056	2542	2761	2866	1304	2607	1059	1007	673	617	679	1078	382	636	385	232	223	228	362	163	160	149	193	120	83	126	162	124	64	100	50	48	26	37	46	24	32	12	19	16	16	25	15	11	11	12	10	13	23	4	5	8	1	2	9	2	1	3	0	5	1	2	0	0	2	1	3	0	0	0	1	1	0	3	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1
0.03	north18_active	80	17362	22983	10003	7731	2193	905	939	1903	2243	366	2281	567	587	156	264	409	935	106	521	283	70	98	139	304	104	90	94	153	76	29	102	139	98	29	87	19	36	7	28	33	7	24	5	7	5	7	23	7	6	5	1	4	10	23	1	5	1	1	2	3	0	0	1	0	2	1	1	0	0	0	1	3	0	0	0	1	1	0	3	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
