label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107
0.03	north1_all	80	22065	15633	6866	4375	4918	3420	3868	2222	1190	1091	1494	1062	1005	533	671	1355	713	309	621	311	389	324	420	138	287	211	77	174	92	74	72	137	63	74	50	40	122	18	27	37	22	23	44	32	19	14	30	12	10	7	4	16	6	7	19	1	1	14	3	3	2	1	0	4	2	0	2	8	6	0	0	0	2	3	1	0	0	3	2	0	1	2	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0
0.03	north1_active	80	9826	8769	3320	1952	2714	1828	2275	1217	530	505	864	592	551	254	367	889	459	142	366	170	237	186	256	64	176	140	39	97	54	35	42	80	41	32	21	18	70	6	9	27	9	7	20	20	11	8	14	8	6	0	2	13	4	4	9	0	0	13	3	3	0	0	0	4	0	0	1	6	2	0	0	0	0	2	1	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	22275	15719	6911	4319	4856	3445	3841	2304	1219	1063	1506	1081	1028	547	667	1320	770	346	613	321	366	352	396	153	293	186	92	202	90	83	77	138	56	97	50	42	115	21	30	45	17	20	23	29	23	12	28	14	12	8	8	9	5	9	11	1	9	2	4	2	2	2	0	4	3	2	4	7	3	0	0	0	6	2	1	3	0	3	1	0	1	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
0.03	north2_active	80	9932	8713	3332	1925	2705	1860	2278	1248	552	486	861	633	599	258	369	850	486	178	385	171	223	201	227	77	177	108	53	110	49	38	43	80	34	43	22	19	78	8	11	32	6	5	6	19	13	7	14	11	7	0	4	7	3	5	8	0	7	0	2	2	0	0	0	4	1	2	1	6	3	0	0	0	4	1	1	3	0	3	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	22312	15594	6981	4388	4849	3495	3774	2311	1261	1074	1525	1120	1002	548	658	1285	755	343	597	289	349	299	408	139	282	192	95	203	89	80	70	128	50	84	52	45	115	23	29	50	15	15	24	22	17	10	31	12	9	11	9	4	4	5	11	2	8	5	3	2	2	3	1	4	1	3	4	2	2	0	0	0	6	1	1	3	1	3	1	0	1	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	10031	8576	3328	1925	2701	1936	2330	1279	553	475	891	665	572	270	389	812	473	173	382	140	213	173	250	69	155	115	51	125	46	41	39	74	34	44	24	17	77	8	11	39	5	5	9	14	7	7	17	7	4	4	3	2	1	2	7	0	7	2	1	2	0	0	0	3	1	3	1	1	2	0	0	0	4	1	1	3	0	3	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	22517	15271	6992	4407	4714	3527	3661	2264	1293	1055	1601	1124	976	556	652	1316	740	351	600	294	374	338	421	141	235	191	94	217	84	79	70	117	52	70	39	44	116	25	20	55	14	14	20	20	18	14	25	14	11	13	10	6	4	11	7	4	9	6	3	1	0	3	1	1	4	5	3	2	1	0	0	0	4	0	0	3	2	1	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	10014	8366	3342	1902	2632	1973	2222	1279	575	461	942	653	549	264	359	870	443	175	401	148	223	198	279	69	123	110	53	137	45	40	37	73	35	45	18	16	75	13	9	40	6	11	9	14	10	8	17	8	5	6	3	3	2	7	3	2	8	3	1	0	0	1	0	0	4	4	1	1	1	0	0	0	4	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	22404	15014	6923	4394	4618	3557	3629	2111	1254	1034	1569	1111	964	545	702	1233	728	342	587	288	357	326	386	127	231	200	93	183	83	73	75	124	48	62	35	46	101	26	17	50	17	18	26	24	18	15	37	18	8	11	7	8	4	17	5	7	5	6	1	1	0	2	1	9	7	5	2	3	2	2	0	0	8	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	9924	8204	3281	1905	2616	2009	2205	1192	564	434	922	631	529	246	380	804	436	170	383	154	220	203	253	62	129	124	47	118	39	39	33	66	32	43	17	18	80	11	7	31	7	13	12	12	11	7	29	7	4	6	1	5	3	11	2	3	5	4	0	0	0	1	0	8	6	4	2	1	2	2	0	0	8	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
