label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103
0.03	north1_all	80	33606	11328	8325	5740	4438	4626	4751	1560	1253	1183	1123	1487	977	1518	856	500	375	318	426	255	204	195	148	214	260	151	148	128	75	109	129	93	71	52	72	57	26	31	13	51	19	16	15	16	8	29	12	34	19	5	18	4	4	6	5	4	4	11	6	3	3	4	4	2	2	3	1	1	1	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	18518	5376	4265	2947	2322	2700	2994	691	551	583	573	960	543	949	538	252	174	150	234	136	90	99	66	118	157	90	72	73	39	54	82	59	34	26	53	36	12	16	9	33	6	6	4	11	5	22	3	10	12	0	9	1	1	3	2	3	0	8	5	2	1	3	3	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	33563	11368	8245	5904	4363	4655	4828	1574	1291	1187	1125	1430	999	1525	839	489	375	291	403	269	201	191	167	196	241	149	124	135	71	112	132	107	84	49	82	54	26	42	24	39	17	17	17	38	14	24	12	15	15	6	11	4	4	6	4	5	4	20	7	1	4	2	3	2	2	1	2	3	1	0	1	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	18432	5367	4296	3082	2284	2707	3120	707	566	574	587	896	550	904	513	229	175	140	232	137	91	91	73	106	135	85	64	72	35	60	74	75	49	25	60	33	13	24	14	21	4	6	6	33	8	22	4	8	11	2	5	1	1	3	2	4	0	18	4	1	0	1	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	33796	11328	8252	5980	4301	4555	4785	1588	1282	1172	1126	1448	967	1521	832	495	386	303	417	270	212	174	162	192	260	154	117	137	89	116	115	96	87	47	99	51	29	41	27	37	15	14	15	39	19	26	12	14	22	9	7	3	4	5	2	7	5	20	9	2	4	2	0	0	1	1	4	4	0	0	2	0	1	0	0	3	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	18573	5370	4240	3144	2265	2670	3177	724	571	563	588	931	522	939	495	234	177	143	233	125	99	81	68	90	145	86	52	79	42	71	73	57	54	22	60	34	16	25	15	18	6	3	7	33	12	25	4	5	16	3	5	1	1	3	1	6	0	18	5	2	2	1	0	0	1	0	3	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	33378	11374	8051	5916	4353	4583	4802	1574	1256	1188	1125	1398	979	1529	832	483	364	316	451	278	231	194	175	189	225	151	114	150	83	113	121	119	122	49	99	42	33	49	41	47	12	17	17	39	23	24	6	17	27	11	13	3	7	4	4	8	6	16	7	3	4	2	0	8	1	5	3	10	1	0	3	0	1	1	2	3	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	18442	5333	4161	3156	2244	2685	3219	719	543	558	582	870	516	924	485	228	160	153	275	128	121	95	73	85	131	84	50	85	37	83	78	63	83	24	56	27	17	31	24	23	4	7	8	33	12	21	4	9	22	8	8	2	4	3	2	6	1	16	3	1	2	1	0	8	1	4	2	6	1	0	1	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	32907	11139	7940	5794	4321	4626	4677	1602	1255	1145	1104	1312	927	1429	844	460	383	294	429	277	235	201	170	187	234	137	121	160	79	113	98	117	129	48	101	46	35	52	35	48	13	19	17	42	22	20	10	31	25	10	15	4	7	4	2	8	5	17	2	5	4	2	1	10	1	6	2	9	1	1	2	0	1	3	3	3	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	18066	5176	4050	3051	2220	2796	3009	728	541	535	557	797	485	872	492	224	171	143	262	122	114	98	68	92	135	76	65	96	31	78	60	63	86	25	57	28	16	27	25	27	3	8	11	31	13	18	4	17	22	6	7	1	4	3	1	6	1	17	1	2	2	0	1	8	1	4	2	6	1	0	1	0	0	0	2	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	31580	10928	7799	5583	4189	4392	4496	1605	1256	1074	1077	1268	943	1343	786	463	365	312	407	259	238	184	154	189	213	127	126	156	69	104	112	118	114	54	96	42	33	47	37	58	12	24	17	27	17	8	15	25	14	9	14	4	5	4	2	6	4	2	1	4	3	4	1	10	0	6	0	7	1	1	2	0	1	3	4	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	17066	4995	3924	2915	2099	2632	2814	733	583	515	542	768	510	778	463	221	173	143	248	112	118	83	64	95	126	69	74	86	24	69	70	65	74	27	51	21	11	25	26	35	1	11	11	15	8	5	8	15	13	6	5	2	3	3	1	4	1	1	0	1	1	2	1	8	0	4	0	6	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	30811	10711	7635	5492	3974	4267	4281	1583	1299	1037	1067	1227	955	1238	741	459	362	312	425	250	227	166	158	178	203	120	129	151	66	112	99	104	101	57	94	45	23	53	34	44	16	18	13	35	14	11	17	31	11	5	12	4	4	5	2	2	2	11	3	3	2	4	1	3	1	3	0	0	0	3	0	0	0	2	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north7_active	80	16340	4818	3766	2842	1971	2529	2550	708	599	492	536	725	513	744	435	223	167	132	255	110	99	78	64	93	129	59	82	86	25	71	59	65	66	31	66	20	8	29	23	31	6	8	7	20	6	6	7	17	9	2	6	1	2	4	1	2	1	10	1	1	0	2	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	30044	10656	7555	5320	3918	4133	4086	1583	1316	1067	1046	1195	949	1226	703	447	347	305	439	248	222	156	155	188	201	130	144	142	75	96	106	111	92	56	94	46	25	51	35	34	20	20	12	47	22	34	17	28	15	7	7	7	3	5	2	0	3	12	3	0	2	4	2	5	1	2	0	0	0	3	0	1	0	2	2	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
