label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94
0.03	north1_all	80	12939	10203	3347	1987	2094	2756	825	764	517	1069	340	318	265	244	162	189	148	156	111	152	131	102	111	66	53	47	44	26	42	28	40	19	23	17	13	27	20	39	19	10	27	11	4	13	5	6	4	1	8	3	3	7	2	1	1	2	0	5	2	0	0	1	1	1	1	1	0	1	0	0	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	8983	8826	2211	1098	1591	2466	370	440	222	934	84	140	131	150	57	107	61	91	40	112	99	64	80	37	21	22	26	9	27	10	33	8	7	6	7	21	12	31	16	3	23	7	1	11	0	5	1	0	5	2	2	6	0	1	1	2	0	4	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	12958	9998	3403	2008	2058	2860	838	725	508	1054	354	334	262	263	173	183	161	162	104	158	127	96	107	68	44	47	44	27	41	27	37	21	16	18	15	26	17	52	21	9	29	21	4	14	5	5	4	2	3	0	7	5	2	1	1	1	0	2	0	0	1	0	2	1	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	9040	8588	2221	1059	1545	2567	383	408	223	913	93	141	127	165	64	107	56	95	33	112	103	50	74	37	18	22	27	9	30	8	30	7	5	4	7	20	11	45	18	3	25	17	0	12	1	3	0	0	1	0	6	4	0	1	1	1	0	2	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	13054	10033	3383	2004	2107	2976	815	707	501	1027	337	320	279	244	180	189	155	156	111	162	124	96	78	68	46	43	40	24	46	27	29	25	21	19	17	24	21	45	26	11	16	18	4	8	2	3	5	2	2	1	5	5	0	1	1	1	0	2	0	0	1	1	3	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	9157	8654	2246	1052	1597	2657	382	387	214	875	95	135	137	156	61	114	54	98	44	116	95	55	45	35	21	20	21	6	36	8	25	11	9	6	6	19	15	41	22	3	11	14	0	7	1	1	1	1	1	0	5	4	0	1	1	0	0	2	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	13126	10011	3376	2019	2040	2907	844	694	480	986	323	310	276	244	204	178	141	155	110	162	137	81	76	67	56	41	36	29	56	21	27	24	19	22	17	23	25	33	23	11	13	17	2	4	4	3	4	3	8	3	5	4	1	1	2	1	0	2	0	0	1	1	3	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	9245	8657	2204	1081	1526	2606	425	369	216	833	92	120	130	158	67	95	45	100	48	120	106	53	52	39	23	20	21	9	49	7	23	11	7	8	7	16	19	32	16	5	11	13	0	4	2	1	2	1	7	1	5	3	0	1	1	0	0	2	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	13021	9953	3363	2002	2086	2903	816	694	489	886	326	299	264	243	195	174	136	167	108	169	141	67	69	79	61	45	29	32	55	24	38	19	24	21	18	17	25	26	27	13	10	19	5	8	5	5	7	3	11	4	5	2	1	2	3	1	2	4	0	1	0	1	2	1	0	0	0	0	1	2	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	9110	8604	2187	1100	1578	2601	408	383	223	737	97	112	132	153	62	90	43	109	51	129	108	47	43	48	26	24	18	11	49	11	34	9	13	9	8	12	20	23	21	7	7	15	2	6	2	3	3	1	10	2	5	1	0	2	1	0	2	3	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	12991	9707	3352	1988	2080	2842	842	688	504	917	354	304	265	225	199	182	127	175	107	161	145	77	74	73	56	46	30	32	48	34	48	22	19	26	16	17	19	24	35	10	8	16	10	7	5	6	5	4	13	4	2	1	1	2	4	1	2	5	1	1	0	0	0	1	1	0	0	0	1	2	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	9053	8330	2131	1074	1560	2544	430	377	228	766	110	122	138	141	62	92	34	111	51	119	120	52	50	51	25	24	20	13	42	13	42	11	11	11	7	10	16	21	25	6	7	9	4	4	3	3	2	2	11	3	2	1	0	2	2	0	2	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	12896	9682	3399	2005	2079	2706	872	709	499	949	325	303	272	228	190	169	120	180	101	156	139	70	67	77	57	41	33	34	35	42	52	21	21	21	16	18	12	28	34	11	9	20	14	8	5	7	3	4	8	5	2	10	0	3	7	3	2	5	1	1	0	0	0	1	1	0	0	0	1	2	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	9008	8283	2161	1059	1591	2385	439	386	220	799	93	118	158	137	54	88	35	116	46	113	114	41	44	55	27	15	20	13	27	19	46	9	13	11	6	11	11	21	30	7	6	10	5	5	4	3	1	2	7	3	2	10	0	3	5	2	2	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	12955	9649	3379	2020	2062	2791	835	688	522	993	322	304	275	240	183	175	121	176	98	157	141	82	71	73	49	43	40	28	43	36	60	25	16	21	16	21	16	23	32	10	9	21	13	6	4	8	1	4	9	2	2	10	0	3	7	4	2	2	2	0	1	0	0	1	1	0	0	0	2	0	0	4	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
0.03	north8_active	80	9091	8223	2194	1054	1551	2455	423	365	226	849	97	120	149	147	55	92	41	110	40	120	108	48	46	50	26	15	24	10	32	16	50	12	8	9	7	14	14	16	28	5	6	11	5	4	3	4	0	2	8	1	2	10	0	2	7	3	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
