label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81
0.03	north1_all	80	43609	17839	9729	6251	3773	4716	2745	2685	1247	1356	923	1354	811	902	543	349	325	362	369	236	137	126	194	184	77	120	82	44	45	65	21	32	24	27	26	29	15	8	27	16	7	16	5	1	5	7	0	6	3	2	1	2	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north1_active	80	24440	9780	5143	3217	1731	2826	1455	1579	543	732	475	890	461	586	311	181	177	215	230	149	82	79	107	113	36	63	44	20	25	38	11	17	12	12	14	23	10	5	18	10	6	10	1	0	4	7	0	3	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north2_all	80	43773	17900	9857	6347	3791	4711	2727	2643	1281	1350	908	1423	810	947	561	372	341	350	364	229	149	142	219	190	74	101	77	37	43	79	27	38	40	28	22	21	13	9	18	13	7	19	7	1	5	8	1	6	3	2	1	2	3	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north2_active	80	24744	9803	5211	3263	1743	2801	1428	1551	576	740	454	904	438	605	302	185	196	212	216	132	79	85	102	120	31	35	45	23	24	51	14	20	25	16	14	10	10	5	14	6	5	5	2	1	4	8	0	3	2	2	1	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_all	80	43684	17950	9857	6350	3779	4603	2662	2635	1316	1343	919	1350	823	928	550	377	379	328	363	233	157	156	213	151	81	102	65	41	41	69	19	30	43	35	21	19	8	10	12	16	6	16	6	2	1	10	3	8	1	0	1	1	3	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	24640	9901	5206	3257	1732	2667	1406	1536	606	732	465	857	429	580	279	174	223	195	215	129	87	97	103	91	32	48	42	22	23	46	9	19	26	16	12	5	6	5	8	8	3	4	2	1	0	8	2	5	1	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	43535	18045	9870	6292	3722	4563	2689	2557	1285	1357	921	1329	801	923	516	371	362	333	398	249	168	157	208	154	74	105	61	43	57	72	23	34	44	47	18	19	9	7	9	11	5	14	4	3	9	4	3	3	0	3	1	4	3	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	24485	9894	5175	3215	1701	2718	1447	1486	595	746	461	805	427	575	258	166	221	205	249	143	94	92	100	100	33	61	38	26	34	42	10	19	25	16	11	8	7	3	6	6	2	3	2	2	7	2	2	3	0	1	1	1	3	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	43378	18015	9852	6179	3714	4536	2705	2571	1254	1262	942	1285	782	880	522	364	340	329	444	245	171	154	208	166	77	99	64	45	56	58	28	32	31	44	21	23	7	8	7	12	8	9	2	5	12	7	4	13	0	3	5	4	4	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	24386	9821	5113	3187	1652	2750	1465	1454	565	695	462	783	433	524	270	164	183	187	272	144	96	91	131	109	35	63	33	25	37	36	13	17	13	13	9	14	6	3	5	7	5	2	0	3	10	5	2	13	0	1	4	1	4	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	43003	17784	9850	6100	3623	4513	2663	2622	1197	1290	939	1305	799	860	526	336	325	352	499	263	160	132	201	166	73	92	59	44	61	64	28	41	27	54	18	21	13	7	9	12	8	1	3	6	17	8	3	14	0	3	4	5	3	0	1	1	0	1	3	0	2	0	1	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	24057	9676	5129	3175	1635	2795	1404	1525	540	712	459	790	451	509	292	170	181	195	297	155	97	71	137	98	36	50	31	25	40	36	16	18	10	15	6	17	7	1	8	6	5	1	0	3	15	6	1	13	0	1	3	2	2	0	0	1	0	1	3	0	2	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	42220	17415	9752	6025	3598	4424	2602	2560	1192	1310	922	1260	772	837	516	334	308	346	461	253	174	123	200	192	67	98	59	44	53	63	34	41	26	36	22	22	13	7	14	8	12	1	4	5	10	6	2	12	2	3	5	4	3	0	0	1	0	2	3	0	2	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	23346	9401	5073	3083	1589	2715	1357	1458	555	718	459	764	419	497	292	170	166	194	248	143	97	67	149	105	28	51	24	32	33	36	19	22	11	18	9	17	5	1	11	4	8	1	0	3	8	6	0	11	1	1	4	2	2	0	0	1	0	1	3	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	41068	16892	9527	6013	3563	4306	2530	2485	1210	1334	887	1207	775	833	482	337	310	354	409	268	172	127	181	196	62	82	54	32	49	56	28	37	24	41	17	20	13	6	16	9	12	1	3	3	10	6	1	4	2	2	2	1	2	2	0	2	0	1	3	0	2	0	1	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	north8_active	80	22245	9010	4909	3033	1608	2598	1282	1419	569	710	433	731	433	474	262	180	170	201	213	163	89	65	127	118	24	37	20	22	27	30	21	18	13	28	8	15	5	1	12	4	8	1	0	2	7	5	0	2	1	0	1	1	1	1	0	2	0	0	3	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	40113	16557	9107	5956	3642	4169	2495	2339	1252	1287	862	1170	724	771	436	340	316	355	373	226	151	110	160	163	62	90	62	37	41	46	26	36	27	31	19	19	11	4	23	7	11	0	5	2	7	4	1	5	4	4	1	0	2	3	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0
0.03	north9_active	80	21592	8756	4641	2974	1633	2466	1238	1330	581	665	437	686	408	443	228	179	176	199	196	127	74	54	99	99	28	43	24	24	20	29	19	19	14	27	10	13	5	2	15	4	7	0	1	1	3	2	0	3	3	2	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	39772	16302	8969	5913	3623	4150	2446	2399	1213	1197	871	1134	705	814	436	349	340	368	342	210	136	127	170	158	67	87	57	36	49	54	20	40	31	27	19	12	11	6	17	8	11	1	5	1	12	5	1	7	3	3	0	0	4	3	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0
0.03	north10_active	80	21395	8570	4580	2885	1601	2441	1217	1393	536	628	440	687	399	475	232	177	205	219	191	122	74	73	108	106	30	45	26	20	30	36	14	26	17	18	8	6	8	4	11	5	6	0	2	0	6	0	0	3	3	2	0	0	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
