label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127
0.03	north12_active	80	10877	5538	2338	399	362	168	1714	171	136	1206	85	80	522	104	473	117	91	194	44	45	37	37	72	74	60	57	46	21	64	24	9	65	54	16	10	8	18	12	13	43	31	5	29	8	3	22	7	21	4	36	5	1	5	6	11	1	3	1	0	1	3	3	3	3	2	1	0	4	0	1	0	1	6	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	13260	6868	3142	1520	1115	795	1950	577	439	1354	338	286	624	245	552	200	160	253	130	104	102	98	103	105	75	87	79	53	94	42	34	65	67	29	24	35	32	19	14	51	33	14	61	13	7	14	7	21	9	37	8	7	7	9	11	7	9	7	4	4	5	5	1	0	3	1	3	3	1	1	1	1	3	1	1	1	0	0	1	1	0	0	1	1	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	10638	5598	2298	396	355	175	1714	163	144	1214	95	91	536	104	493	124	77	194	50	39	35	36	59	66	51	60	52	22	82	24	9	56	57	18	7	7	19	15	7	46	29	4	53	11	3	12	4	18	4	34	4	2	7	8	10	1	6	0	0	2	3	3	0	0	2	1	0	3	0	1	0	0	3	1	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	13095	6713	3164	1480	1122	835	1919	597	445	1357	348	284	609	251	558	211	152	250	130	111	95	96	116	111	78	80	70	53	97	45	29	78	80	27	23	26	33	22	15	40	41	10	60	16	13	13	13	20	6	26	9	7	5	18	9	6	7	3	4	4	3	2	2	2	3	5	3	1	0	1	1	1	2	1	1	1	0	0	1	1	1	0	2	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	10449	5485	2255	392	334	200	1674	158	135	1244	99	98	525	109	498	129	73	197	50	42	31	29	76	75	59	60	50	19	88	25	5	68	69	14	7	5	21	17	9	36	35	3	53	12	6	9	8	17	2	24	4	2	3	12	8	1	4	1	0	2	2	2	0	1	1	4	0	0	0	1	0	0	2	1	0	0	0	0	1	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	13353	6646	3285	1462	1127	831	1918	564	437	1332	365	293	620	227	577	213	158	254	137	104	102	90	115	118	78	99	68	48	85	42	27	77	88	22	26	21	23	18	18	25	48	13	44	16	15	8	15	26	4	12	7	9	4	14	14	5	10	5	3	6	4	1	3	3	1	6	3	2	0	0	1	2	2	2	1	1	0	0	0	1	4	0	1	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	10616	5464	2327	385	334	211	1685	135	144	1227	110	113	544	100	518	142	74	204	54	41	37	29	78	82	53	75	45	15	74	19	3	65	74	8	7	4	15	11	9	24	41	8	38	9	8	5	9	25	2	11	4	3	2	8	13	0	6	1	0	3	4	0	1	2	0	5	0	1	0	0	0	0	2	2	0	0	0	0	0	1	4	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	13422	6679	3177	1439	1129	829	2005	578	465	1287	348	316	598	196	540	222	165	267	137	110	107	75	120	118	83	115	64	49	89	45	28	92	73	21	26	14	21	24	20	19	46	14	43	16	15	11	20	32	5	16	10	7	5	15	6	4	8	6	6	6	3	1	3	3	2	6	3	2	1	1	0	1	2	4	2	2	0	0	0	1	5	0	3	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	10725	5492	2206	411	324	202	1784	146	147	1175	109	117	515	86	485	147	88	220	58	37	36	27	84	84	52	92	43	17	77	19	5	81	58	4	8	2	16	17	9	13	40	10	38	8	9	9	9	32	3	16	5	2	2	10	5	0	4	1	0	3	3	0	1	2	0	5	1	1	0	1	0	0	2	4	0	1	0	0	0	0	5	0	2	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	13365	6557	3133	1428	1106	818	2049	551	469	1230	346	317	596	206	620	213	168	264	134	112	96	79	109	113	76	112	66	43	83	42	28	77	75	21	24	16	23	22	21	27	40	16	13	18	14	18	16	28	5	19	12	7	2	5	5	6	9	5	5	5	4	1	4	5	1	5	4	4	4	1	1	1	1	4	1	2	0	0	0	1	7	1	2	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
