label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94
0.03	north1_all	80	558	196	168	254	169	63	69	80	54	49	47	27	20	11	22	18	8	7	24	19	14	3	6	12	8	1	8	4	3	2	0	2	6	7	5	0	0	3	3	2	2	1	2	2	0	0	0	0	4	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
0.03	north1_active	80	283	70	96	159	108	31	33	48	34	33	34	19	10	3	13	7	4	6	16	10	6	2	4	8	5	1	6	1	0	1	0	0	2	4	2	0	0	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north2_all	80	552	221	165	249	156	73	64	77	56	47	45	27	26	12	27	15	10	9	28	14	11	2	7	14	9	1	7	3	3	2	1	1	5	2	7	2	0	3	4	3	1	1	2	1	0	0	0	0	5	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	269	81	101	143	95	36	33	49	34	35	28	20	13	4	19	4	4	6	20	5	4	2	4	12	4	1	5	1	0	1	1	0	2	0	2	0	0	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	535	218	168	259	152	64	61	72	52	52	36	30	33	15	21	16	9	11	24	12	8	4	6	10	7	1	5	5	1	4	1	2	4	2	6	2	0	2	4	3	0	1	2	1	0	0	0	1	1	0	0	0	0	2	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	265	86	105	154	96	33	35	41	35	38	23	23	12	8	16	3	4	5	17	5	6	2	4	7	2	1	3	2	1	3	1	1	1	0	1	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	505	210	175	246	158	61	60	59	43	49	37	26	34	14	25	15	14	13	22	12	10	5	7	8	5	1	1	5	1	3	1	2	2	2	4	5	0	0	4	1	0	1	0	1	0	0	0	2	1	0	0	0	0	2	0	3	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	257	88	100	150	103	29	31	32	26	34	24	17	12	8	18	8	6	5	17	4	7	2	5	6	0	1	0	3	1	3	1	1	0	0	0	2	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	504	194	176	263	157	57	65	55	44	41	39	25	30	13	20	19	14	13	18	16	9	8	6	5	9	2	2	9	1	2	0	2	1	2	1	7	0	0	4	1	0	1	0	1	1	0	0	3	1	4	0	0	0	2	0	3	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	256	81	90	159	102	28	33	29	23	28	22	20	10	8	13	10	8	3	14	7	7	4	5	4	1	2	1	5	1	2	0	2	0	2	0	4	0	0	2	0	0	0	0	1	1	0	0	2	1	0	0	0	0	1	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
