label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60
0.03	north1_all	80	24140	5873	4312	2144	1345	2458	1487	746	1250	643	324	265	298	134	144	190	69	80	59	60	28	35	50	12	30	11	16	17	37	9	15	12	3	5	6	8	2	4	1	2	0	4	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north1_active	80	19869	3202	2953	1094	321	2132	1213	474	1107	541	177	136	246	41	83	147	32	35	28	12	15	22	38	5	18	5	14	4	34	8	14	7	0	2	4	8	1	3	1	1	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	24248	5915	4293	2218	1355	2396	1541	746	1206	749	329	251	286	142	158	197	74	77	78	57	33	27	49	13	29	15	17	12	22	9	16	14	2	4	6	7	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	1
0.03	north2_active	80	19968	3239	2949	1156	314	2058	1264	480	1068	627	166	124	241	44	91	159	36	40	34	14	20	20	35	5	19	7	11	3	19	7	13	7	1	3	5	6	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
0.03	north3_all	80	24174	5891	4235	2212	1355	2346	1575	760	1251	749	335	250	311	139	159	224	89	86	95	52	37	36	39	20	23	23	16	12	26	12	12	14	2	3	7	3	3	3	3	21	2	1	1	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1
0.03	north3_active	80	19898	3187	2937	1153	310	2001	1304	492	1117	620	178	116	253	44	88	182	39	39	47	10	19	18	25	9	18	14	8	3	24	9	9	7	1	3	5	2	3	2	3	19	2	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1
0.03	north4_all	80	24053	5855	4248	2227	1361	2309	1573	758	1253	739	321	234	303	138	166	213	75	88	97	48	36	39	38	23	25	26	41	7	13	11	15	10	3	4	2	3	3	3	3	21	2	1	2	0	1	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	1
0.03	north4_active	80	19776	3221	2952	1166	304	1976	1290	489	1123	597	175	106	242	39	98	177	34	43	50	13	19	17	25	11	16	16	32	1	12	8	12	5	3	3	1	1	2	1	3	19	2	0	1	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	1
0.03	north5_all	80	24302	5755	4272	2210	1353	2535	1548	774	1266	685	332	229	301	139	160	188	86	84	74	46	47	44	40	31	21	28	36	8	15	10	12	5	7	4	4	2	3	3	2	22	2	1	3	0	1	0	2	1	1	1	1	0	0	0	0	0	0	0	0	0	1
0.03	north5_active	80	20028	3119	2965	1163	307	2191	1287	488	1125	566	191	103	242	41	97	146	37	38	43	11	18	19	29	12	12	19	30	2	14	7	9	2	6	3	1	1	2	1	2	19	2	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1
0.03	north6_all	80	24168	5846	4369	2218	1324	2506	1500	804	1327	739	337	230	309	143	155	174	78	69	65	53	55	44	39	34	18	20	43	11	31	3	15	9	11	7	4	3	4	3	0	2	2	0	2	0	1	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	19918	3232	3024	1149	301	2155	1211	513	1168	606	207	105	254	40	98	134	33	31	39	13	22	20	30	14	8	10	37	4	27	1	11	6	8	5	0	2	2	0	0	0	2	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	24089	5930	4402	2231	1330	2617	1454	770	1331	742	343	231	320	142	132	172	87	65	66	57	56	39	39	31	17	19	26	16	33	4	18	9	9	6	3	6	3	2	0	2	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	19941	3282	3065	1134	325	2256	1181	492	1163	623	205	107	263	43	82	128	33	25	40	13	19	20	34	11	10	11	23	5	29	1	15	7	6	5	0	5	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	24045	6028	4411	2150	1345	2460	1421	752	1321	712	348	226	327	148	142	172	89	68	69	54	57	34	31	26	20	17	21	12	42	5	23	9	5	6	2	8	3	2	0	2	0	0	0	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	19911	3332	3067	1090	327	2113	1152	490	1164	584	192	99	265	51	85	122	34	32	43	12	22	18	25	8	13	11	17	4	39	0	21	7	3	4	0	7	2	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	23781	5986	4340	2126	1365	2514	1388	745	1391	692	333	232	346	142	150	154	99	69	69	52	51	31	38	27	24	22	26	11	30	10	22	6	3	5	4	8	3	0	0	7	0	0	0	0	3	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north9_active	80	19646	3289	2978	1072	348	2174	1147	476	1230	567	186	95	277	50	91	107	33	33	43	14	22	11	27	8	15	14	22	4	30	5	21	5	1	2	0	6	2	0	0	6	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	23944	5943	4387	2091	1317	2503	1422	748	1376	680	324	224	338	156	158	151	93	65	70	45	44	30	39	27	22	21	26	8	24	17	15	5	7	6	5	8	1	1	2	8	0	0	0	0	3	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north10_active	80	19740	3220	2993	1063	329	2187	1190	460	1222	544	178	91	271	51	97	101	35	27	42	15	17	8	25	10	13	10	22	2	23	14	13	5	4	4	1	5	1	1	2	6	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	24420	5956	4234	2240	1384	2401	1601	724	1258	749	333	228	335	152	143	173	96	71	56	48	56	37	48	20	15	8	33	16	15	17	13	4	3	7	5	3	11	7	2	4	0	5	1	2	0	2	1	0	2	0	0	1	0	0	0	0	0	0	1	0	0
0.03	north11_active	80	20158	3279	2898	1156	321	2071	1323	443	1097	623	187	104	258	44	96	134	24	29	28	16	28	19	29	7	8	3	30	6	14	13	11	2	3	4	2	2	11	6	1	4	0	4	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	24369	5824	4343	2165	1383	2333	1555	748	1240	742	324	236	362	158	152	187	94	62	56	44	57	34	47	23	19	12	32	19	18	10	13	8	5	5	6	5	0	7	3	6	0	4	2	2	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	20124	3149	3003	1110	328	1997	1287	439	1070	613	168	110	286	48	97	149	25	21	23	14	27	21	32	9	13	6	29	8	15	8	13	7	5	2	3	4	0	6	2	6	0	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	24402	5740	4417	2176	1380	2327	1535	753	1236	702	324	238	374	163	153	178	95	62	58	46	54	28	40	25	19	20	37	14	24	15	13	12	7	7	5	5	2	2	4	6	0	1	3	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0
0.03	north13_active	80	20059	3094	3079	1155	304	1968	1245	436	1086	589	181	108	306	44	96	141	27	25	22	13	28	14	27	11	13	14	34	5	20	12	13	11	5	3	2	4	1	1	3	6	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
