label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38
0.03	north1_all	80	6726	9299	1450	1090	659	391	409	201	139	93	70	41	111	55	22	19	34	21	5	11	5	2	8	4	0	1	3	0	0	0	0	0	0	0	0	0	0	0	2
0.03	north1_active	80	2623	8379	496	626	344	177	298	74	47	22	23	13	101	47	5	11	27	19	1	9	1	1	8	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2
0.03	north2_all	80	6602	9058	1442	1075	617	372	405	186	138	93	74	44	78	59	18	20	33	26	5	14	3	2	8	3	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2
0.03	north2_active	80	2544	8123	497	593	316	179	287	64	50	27	20	13	68	52	4	10	26	23	1	13	1	1	8	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2
0.03	north3_all	80	6619	9028	1427	1023	648	387	378	175	123	79	69	45	90	73	17	22	25	21	9	14	2	1	8	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north3_active	80	2577	8099	502	562	334	189	245	51	41	31	20	14	81	64	3	10	19	18	2	12	1	1	8	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_all	80	6637	9025	1380	991	642	407	394	178	107	85	56	59	97	62	19	22	32	21	8	13	1	0	13	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	2553	8150	484	545	342	195	254	54	34	34	17	19	83	56	4	11	30	19	3	11	1	0	13	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north5_all	80	6768	9175	1339	980	655	424	410	186	103	81	57	62	119	54	21	30	33	13	10	6	5	1	12	2	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0
0.03	north5_active	80	2667	8310	460	539	347	192	283	58	38	36	17	21	108	46	3	17	29	8	3	4	1	0	12	2	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0
0.03	north6_all	80	6747	9046	1357	999	661	410	392	183	110	84	63	60	122	40	28	31	37	12	8	10	12	1	11	1	3	1	2	2	0	0	0	3	0	0	0	0	0	0	0
0.03	north6_active	80	2636	8175	477	556	356	181	283	62	46	34	20	22	112	33	3	18	33	7	2	8	7	0	11	1	2	0	1	1	0	0	0	3	0	0	0	0	0	0	0
0.03	north7_all	80	6699	9165	1357	991	622	385	375	197	116	89	72	60	134	53	28	25	55	10	7	8	14	1	4	4	4	1	2	2	0	0	0	4	0	0	0	0	0	0	0
0.03	north7_active	80	2610	8272	491	547	319	158	269	71	50	38	20	17	123	44	4	15	52	5	1	7	9	0	4	2	2	0	1	1	0	0	0	3	0	0	0	0	0	0	0
0.03	north8_all	80	6766	9061	1413	974	624	385	361	199	123	86	62	60	142	53	31	21	67	11	6	8	14	1	12	4	5	1	1	2	0	0	0	3	0	0	0	0	0	0	0
0.03	north8_active	80	2593	8145	525	524	310	174	246	80	53	31	21	25	133	41	7	13	64	9	0	8	11	1	12	1	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0
