label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35
0.03	north1_all	80	2109	1010	742	539	184	176	122	55	117	30	18	9	11	16	20	13	2	1	3	4	2	4	2	1	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north1_active	80	1085	555	450	321	97	104	71	28	92	21	8	6	6	10	17	5	1	1	0	2	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	2158	1030	675	548	163	185	117	69	133	33	19	8	10	16	20	14	3	1	4	4	2	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0
0.03	north2_active	80	1119	548	410	336	92	107	78	38	86	21	10	4	5	8	19	6	1	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	2149	1038	676	571	168	199	108	80	123	31	16	16	11	14	15	11	5	3	3	3	1	0	2	5	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north3_active	80	1118	555	415	327	98	120	66	56	75	18	8	7	6	8	13	5	0	1	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	2167	975	656	610	169	178	114	78	104	42	18	19	13	19	19	10	6	4	3	5	0	0	1	4	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north4_active	80	1130	520	380	349	89	111	65	48	59	22	9	8	5	9	17	3	2	2	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	2184	981	667	647	184	173	124	65	98	50	18	24	11	19	25	6	9	4	3	5	0	2	0	4	3	0	0	0	0	0	0	0	1	0	0	0
0.03	north5_active	80	1146	520	394	386	95	109	67	41	58	28	9	12	4	8	17	2	6	2	1	2	0	2	0	4	3	0	0	0	0	0	0	0	0	0	0	0
