label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150
0.03	north1_all	80	4795	4785	1632	1160	946	1711	689	821	708	563	501	289	189	291	336	232	125	209	115	97	94	92	116	75	61	55	128	111	47	85	53	84	44	25	60	21	33	38	16	38	23	25	14	14	14	12	23	7	6	15	6	7	3	14	16	8	4	10	5	9	3	2	9	5	2	1	5	19	6	2	9	1	7	0	3	6	4	2	3	2	5	0	3	2	1	0	2	0	3	1	1	0	4	2	1	0	2	5	0	0	0	1	1	1	0	1	0	1	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
0.03	north1_active	80	2240	2996	799	604	490	1094	368	518	447	335	329	156	87	161	205	148	56	129	61	42	48	45	75	35	28	25	80	71	18	55	28	58	23	11	48	8	14	24	11	19	13	12	8	3	5	5	12	4	1	7	3	2	1	10	12	7	2	6	0	6	0	2	6	3	0	1	3	9	1	0	6	1	4	0	2	5	2	1	2	1	3	0	0	1	1	0	1	0	3	0	0	0	4	2	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
0.03	north2_all	80	4840	4491	1539	1098	890	1639	686	777	695	590	458	292	196	307	318	257	133	214	120	97	102	84	128	77	71	58	121	138	55	61	44	66	40	27	56	26	36	48	19	34	23	15	17	17	14	13	18	8	8	15	3	8	5	14	18	9	3	11	3	10	4	1	8	6	1	1	4	18	5	4	4	2	2	1	3	9	5	2	2	2	2	0	2	2	1	2	2	0	3	0	1	1	0	0	0	1	0	2	0	0	0	1	1	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
0.03	north2_active	80	2244	2801	748	541	463	1014	369	480	428	361	278	154	88	172	190	162	59	130	65	39	53	39	78	35	33	24	83	89	27	35	24	39	22	15	37	10	16	28	12	22	14	6	9	4	3	5	7	4	3	7	1	3	3	9	14	9	2	7	0	6	2	1	5	4	0	0	2	9	2	1	4	2	0	1	2	7	2	1	1	1	1	0	0	1	1	1	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
0.03	north3_all	80	4683	4158	1504	1075	906	1446	689	701	660	556	437	294	190	288	324	256	146	218	113	98	101	89	102	84	69	58	102	143	58	51	37	62	47	31	75	29	33	49	24	27	24	15	14	17	14	12	14	11	6	11	4	8	8	12	14	5	7	7	2	10	4	3	3	3	0	3	4	10	2	3	4	4	2	5	3	6	4	3	2	2	7	1	1	2	2	2	2	0	0	0	0	1	1	0	0	2	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	2184	2533	747	527	445	865	353	414	396	318	271	161	88	161	204	160	74	131	60	40	51	41	57	36	35	25	61	93	32	27	19	34	28	14	48	10	17	30	13	20	12	8	6	5	7	6	6	4	4	3	2	3	5	7	9	5	5	4	1	4	3	2	1	2	0	2	1	7	1	1	2	3	0	4	2	4	1	2	1	1	6	1	0	1	2	1	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	4728	4060	1525	1129	908	1392	664	694	672	525	455	291	199	298	365	240	137	212	119	107	99	88	112	77	68	51	91	101	66	44	56	45	40	31	79	28	30	46	24	23	20	16	15	12	14	12	15	12	11	14	8	5	10	12	8	5	10	5	4	8	4	6	4	4	1	3	4	11	4	2	5	5	4	5	1	4	3	1	2	1	5	1	0	0	1	2	3	2	1	0	0	5	2	1	0	2	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_active	80	2140	2459	749	553	444	841	356	398	400	316	280	158	89	170	228	139	65	132	68	46	51	40	58	30	34	21	57	63	43	25	35	22	22	18	47	13	14	26	13	16	12	5	9	5	6	3	7	6	7	7	4	2	6	5	6	4	8	2	2	3	3	3	1	2	1	2	1	9	1	1	2	3	1	4	1	3	1	1	1	0	5	1	0	0	1	1	2	2	1	0	0	4	1	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north5_all	80	4669	4137	1561	1208	922	1439	636	723	672	527	462	303	202	301	375	237	135	187	128	110	86	82	120	76	60	55	93	81	66	62	58	57	41	25	87	32	31	38	15	28	21	18	13	12	15	11	11	14	8	14	11	5	9	9	9	7	16	2	7	6	5	8	7	4	1	3	5	12	4	2	4	4	3	8	0	2	2	2	1	0	6	1	0	5	1	0	1	3	1	2	0	4	2	1	0	2	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north5_active	80	2131	2489	743	600	441	883	338	417	402	339	293	157	99	174	239	129	64	117	72	59	46	43	64	36	33	27	62	49	41	39	38	26	17	10	62	16	13	20	9	20	12	7	9	7	8	3	5	7	6	11	6	2	5	5	6	4	14	0	2	3	3	3	2	2	1	2	1	11	1	0	1	1	1	6	0	1	1	1	0	0	6	1	0	5	1	0	1	2	1	2	0	4	1	1	0	2	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
