label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146
0.03	north1_all	80	5052	2664	4267	1158	973	747	527	401	503	335	350	331	260	171	294	190	148	147	141	87	124	172	109	92	64	263	48	61	47	30	190	45	25	24	26	26	20	25	89	14	15	32	20	60	11	15	11	14	12	5	6	9	8	5	8	31	3	31	14	18	5	5	3	9	3	5	4	2	3	5	1	3	3	0	4	2	0	2	2	1	2	2	3	0	3	0	1	1	0	1	0	1	5	0	1	1	0	0	0	0	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	2236	1410	3778	555	533	405	127	86	324	95	204	205	155	71	228	132	92	86	82	25	86	148	70	64	31	240	13	21	20	11	180	15	4	12	3	13	8	15	83	6	5	24	6	52	4	11	6	7	3	0	1	5	3	1	3	23	1	27	13	16	2	1	0	3	2	2	2	0	1	3	1	0	1	0	4	1	0	2	2	0	2	0	1	0	0	0	0	1	0	0	0	1	5	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	5066	2660	3960	1183	967	731	508	441	522	332	319	333	256	171	317	197	160	147	153	82	120	192	134	90	64	232	43	54	49	39	166	39	31	31	27	27	18	32	70	16	20	36	21	57	17	19	18	20	13	5	9	7	6	6	7	18	6	26	15	12	3	5	3	7	2	3	3	2	3	3	2	4	3	0	3	5	1	2	4	2	3	0	2	0	3	0	1	0	0	2	0	1	5	0	1	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	2254	1422	3482	549	542	394	129	99	331	99	179	215	147	76	252	127	94	91	94	27	72	159	92	56	30	214	10	18	19	18	153	17	7	15	5	11	5	20	63	4	6	28	7	53	5	13	9	14	3	0	2	5	2	1	3	13	1	21	15	11	1	1	0	2	2	2	2	0	1	1	1	0	2	0	3	3	0	2	3	1	3	0	1	0	1	0	0	0	0	1	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	5098	2602	3971	1149	998	726	525	435	519	334	333	297	273	185	316	209	169	144	162	78	110	168	147	96	64	264	44	48	45	41	184	31	28	29	26	25	20	33	62	15	15	40	18	68	19	32	16	22	10	6	12	9	7	4	4	23	4	29	15	10	1	1	2	9	5	3	3	3	3	6	1	2	1	0	2	6	1	1	2	2	3	0	1	0	2	0	0	0	0	2	0	2	7	1	0	1	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	2261	1388	3472	539	561	397	142	88	335	95	188	189	158	91	245	135	99	90	104	28	59	129	100	51	25	245	7	18	18	21	172	10	7	17	9	9	7	17	53	4	6	35	5	65	5	25	9	13	3	1	2	6	3	3	2	18	0	26	15	9	1	1	0	4	5	3	2	0	1	4	0	0	1	0	2	4	0	1	1	1	3	0	1	0	1	0	0	0	0	1	0	1	7	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	5158	2586	3971	1113	990	762	517	442	546	327	322	330	259	182	317	191	183	130	165	101	115	177	148	92	69	283	54	44	40	47	201	25	35	33	26	22	18	40	63	20	17	27	20	59	14	35	21	20	10	11	14	11	8	11	4	17	6	21	18	13	0	1	2	9	4	2	2	2	3	7	3	2	1	0	1	6	1	1	2	1	2	1	1	0	1	1	0	0	0	1	0	2	3	1	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	2295	1350	3460	533	575	408	147	93	350	100	190	207	148	93	249	123	108	72	114	35	62	137	103	52	29	266	8	22	19	22	192	8	10	19	10	9	5	24	55	7	5	25	6	58	4	28	11	13	3	3	3	5	5	7	1	15	1	20	18	12	0	1	0	5	3	2	1	0	1	4	0	0	1	0	1	5	0	1	1	1	2	0	1	0	1	0	0	0	0	1	0	1	3	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	5168	2583	4175	1146	988	757	529	427	501	302	325	311	271	176	314	178	174	128	157	104	109	143	122	80	79	275	52	46	41	50	234	38	25	33	24	19	22	29	62	18	17	24	12	68	16	36	19	21	10	13	14	11	10	13	5	16	5	23	9	14	2	4	5	5	7	2	0	6	5	7	6	1	0	0	2	4	0	2	0	0	2	1	3	0	2	1	0	0	1	0	0	2	3	1	0	1	0	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	2309	1357	3664	535	558	399	150	93	324	87	202	192	162	80	233	108	104	66	109	35	58	104	83	50	31	260	9	23	19	26	226	14	9	21	11	7	9	18	55	7	4	20	2	67	5	30	13	12	3	4	3	4	7	10	2	15	1	21	7	13	1	2	0	4	6	1	0	0	3	4	3	0	0	0	2	4	0	2	0	0	2	0	3	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
