label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149
0.03	north1_all	80	5806	2772	3825	2698	2080	1492	598	799	871	667	486	277	328	237	214	193	137	175	127	127	156	106	92	129	136	72	117	119	52	62	53	93	58	65	29	33	20	34	32	28	23	35	25	11	16	24	44	13	12	10	14	10	15	19	5	25	8	13	3	4	3	6	6	13	4	1	3	3	1	0	4	1	6	3	3	4	4	0	7	0	1	0	3	2	1	3	0	2	0	1	1	9	1	0	3	2	2	1	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	2978	1340	2435	1729	1281	953	303	481	566	394	276	160	174	119	101	111	69	96	66	65	82	62	37	74	92	26	62	83	23	33	21	61	34	43	11	23	9	17	20	19	13	22	20	6	8	12	17	7	7	8	7	4	6	9	1	21	6	7	1	2	1	4	2	5	3	0	1	1	0	0	3	1	3	2	3	2	3	0	5	0	1	0	2	1	1	0	0	0	0	0	1	8	0	0	3	2	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	5680	2716	3510	2495	1869	1397	603	760	880	634	440	258	334	254	230	201	140	158	132	124	140	98	95	123	123	58	92	112	48	55	42	87	56	59	34	33	21	30	27	26	24	26	19	13	14	24	39	19	11	11	12	10	12	18	5	27	7	9	4	6	4	8	5	10	4	0	2	4	1	3	5	3	2	2	2	2	6	0	6	1	1	0	3	1	2	2	0	3	1	1	0	6	1	0	1	2	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	2810	1312	2223	1557	1133	886	310	421	592	358	249	125	169	125	118	115	67	71	69	62	70	57	39	67	85	19	46	78	22	29	17	50	30	36	17	22	7	15	17	17	11	13	15	6	8	11	16	11	6	9	7	4	9	7	1	22	6	4	2	2	2	4	3	3	3	0	1	1	0	0	3	2	0	1	2	1	5	0	5	1	1	0	2	0	1	0	0	0	1	1	0	6	0	0	1	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	5714	2688	3448	2499	1830	1400	637	727	948	633	474	287	336	257	247	215	146	153	133	122	139	91	88	124	97	72	94	112	44	52	35	82	46	52	30	34	22	26	28	26	20	36	18	11	8	16	26	19	11	11	12	8	10	11	6	28	11	12	5	8	2	14	3	4	4	0	3	4	2	4	3	3	7	5	2	2	4	1	4	1	1	0	1	1	2	1	0	3	2	1	0	0	1	0	0	2	2	9	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	2768	1295	2216	1572	1144	844	319	405	641	396	283	145	183	127	130	126	67	66	63	62	71	52	37	70	66	30	54	70	21	28	15	51	26	27	15	24	6	12	20	13	10	17	14	4	4	7	17	10	6	8	7	5	8	5	3	23	6	6	4	5	1	10	3	1	3	0	2	1	1	1	1	2	1	4	1	2	4	1	3	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	2	1	4	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	5793	2751	3637	2707	1988	1537	658	727	1033	661	459	304	355	261	272	217	152	158	140	111	154	87	85	141	122	68	103	119	48	49	36	88	53	56	33	40	22	27	41	28	23	45	19	14	14	17	26	17	10	8	9	8	11	12	7	14	10	9	4	10	5	14	4	5	4	2	1	4	1	4	6	3	8	4	2	4	7	1	1	1	1	1	0	1	2	1	0	2	2	1	0	0	0	2	0	1	1	11	2	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	2837	1348	2346	1740	1241	945	332	402	672	409	275	160	211	125	143	135	78	72	67	56	84	55	37	90	84	32	68	85	21	26	17	54	29	31	18	27	10	13	31	14	10	24	12	6	6	8	15	9	6	5	3	5	9	6	2	10	5	4	3	6	5	11	4	5	3	1	1	2	1	1	5	2	1	4	1	3	4	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	2	0	1	0	4	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	6127	2785	3987	2875	2061	1661	689	725	1075	676	491	341	350	259	276	218	157	170	145	116	179	104	96	149	130	64	124	130	60	45	32	91	57	64	34	41	24	30	53	27	30	62	21	14	14	24	23	18	12	11	10	10	11	10	11	17	10	9	6	10	8	27	3	12	4	3	1	4	2	2	5	3	8	5	5	6	4	1	2	0	2	1	2	0	2	0	0	1	2	2	0	0	0	3	0	1	1	10	2	0	0	2	0	0	0	0	1	2	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0
0.03	north5_active	80	3086	1387	2574	1898	1302	1035	371	389	699	424	289	175	206	134	142	135	74	88	72	66	104	66	48	99	86	31	92	86	34	25	17	60	30	41	21	23	12	14	42	15	15	37	14	7	6	11	13	10	6	7	4	9	8	5	6	13	4	5	3	6	6	15	3	12	4	1	1	3	2	1	5	2	1	4	3	4	1	1	0	0	2	0	2	0	0	0	0	1	1	2	0	0	0	3	0	1	0	4	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
