label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133
0.03	north1_all	80	30347	11794	11388	5601	8843	3025	2510	3333	3260	1658	1184	949	1106	1873	754	1189	761	444	401	361	307	309	291	234	301	314	324	276	141	181	101	119	182	104	89	101	55	61	95	43	50	53	92	42	32	57	25	29	32	18	29	32	20	33	9	4	8	6	12	19	9	13	10	4	4	19	5	4	6	3	8	1	0	1	9	0	3	8	4	3	1	1	2	1	2	2	1	1	0	1	0	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north1_active	80	16946	4082	8274	2424	7585	1206	877	2534	2659	848	285	317	634	1645	445	969	593	148	174	95	96	142	166	49	224	214	229	219	73	146	21	63	157	61	36	69	21	18	76	10	26	20	75	27	17	47	10	9	24	12	20	26	7	23	1	4	1	3	11	18	4	11	6	1	0	17	3	2	5	0	3	0	0	0	9	0	1	8	4	1	0	0	0	0	2	1	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	29846	11737	11215	5503	8533	3057	2481	3132	3190	1598	1165	942	1043	1831	728	1161	758	435	416	368	317	316	279	222	290	287	286	273	142	209	101	103	184	91	92	103	57	66	96	43	53	59	71	38	34	62	28	30	32	32	28	45	18	33	10	8	7	8	13	21	7	12	8	4	5	20	3	1	4	3	7	1	0	2	2	1	4	0	2	0	1	1	1	5	3	3	2	1	0	1	1	2	11	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
0.03	north2_active	80	16141	3835	7968	2304	7241	1189	850	2304	2556	784	269	290	572	1602	412	938	568	140	165	98	99	132	147	51	211	196	214	210	67	166	26	50	156	59	34	74	25	19	77	10	29	16	55	29	14	49	8	11	19	20	22	36	6	28	1	7	1	4	12	18	4	11	5	2	0	18	2	1	3	1	1	0	0	0	2	0	1	0	2	0	0	0	0	4	2	1	0	0	0	1	0	1	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	29123	11805	10568	5475	7889	3053	2477	3098	3050	1549	1162	962	1002	1738	699	1120	765	427	419	332	310	325	262	220	282	229	248	292	134	228	105	101	198	94	87	104	67	68	82	43	45	49	74	41	23	54	31	31	27	38	32	49	15	29	8	10	6	8	10	7	9	7	7	8	7	15	8	3	3	1	3	2	0	2	5	2	2	1	2	0	1	2	1	5	3	3	2	1	0	1	1	2	12	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
0.03	north3_active	80	14949	3611	7257	2165	6520	1098	821	2211	2392	725	254	274	504	1503	370	881	538	139	166	85	88	126	140	49	178	154	189	212	64	178	31	44	173	58	31	69	28	15	63	11	23	11	58	26	10	45	10	11	17	27	26	40	5	25	1	7	0	4	9	5	4	6	5	5	2	14	5	1	1	1	0	0	0	1	5	1	0	1	2	0	0	0	0	4	2	0	0	0	0	1	0	1	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	28306	11573	10071	5386	7307	3021	2471	2910	2852	1494	1141	973	938	1603	683	1001	736	396	413	334	330	323	257	216	272	209	223	266	152	209	105	114	218	86	79	115	69	64	71	39	31	43	38	42	23	44	28	28	29	42	51	57	9	19	11	13	8	9	8	7	7	9	5	9	7	15	11	4	2	2	2	3	1	2	4	3	1	2	3	0	3	1	1	5	3	3	3	1	0	1	1	1	1	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	13860	3304	6622	2075	5877	980	754	1973	2209	644	236	251	427	1352	341	765	488	107	144	75	76	114	127	48	162	139	161	193	66	150	32	43	189	44	22	84	30	16	50	7	12	8	28	26	10	37	7	6	20	32	49	49	2	15	2	7	1	6	6	4	4	8	4	5	3	14	7	0	1	2	1	0	1	1	4	1	0	1	3	0	0	0	0	4	2	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	27727	11552	9823	5368	7128	2978	2463	2841	2656	1474	1137	969	948	1572	670	970	725	395	397	326	310	305	270	207	297	191	246	266	149	210	99	104	211	91	64	104	64	59	68	36	44	32	47	41	28	51	25	25	31	31	59	46	13	15	12	11	8	8	8	7	7	8	6	8	7	2	11	7	3	1	3	3	1	3	5	2	0	3	2	2	3	3	1	0	2	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	13068	3124	6236	2026	5683	935	748	1877	1983	607	251	256	416	1319	307	734	471	104	135	67	65	99	127	47	176	124	180	192	65	154	28	41	181	40	17	76	27	16	44	8	19	8	36	26	12	46	5	6	23	25	57	38	1	10	3	4	2	6	5	4	2	8	5	5	3	1	7	0	0	1	1	0	1	2	4	1	0	2	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
