label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125
0.03	north1_all	80	21649	9802	9255	7215	3387	2633	5398	2487	1683	1750	992	2436	705	1698	555	595	525	589	321	420	481	271	299	232	208	221	164	110	230	135	226	228	79	97	144	64	124	63	57	53	57	37	36	53	43	32	33	24	24	14	12	15	38	33	14	12	33	13	5	4	16	8	16	12	6	8	4	1	4	2	2	5	3	4	3	1	4	0	1	1	4	1	1	0	0	1	1	0	0	1	0	3	0	0	3	3	0	0	0	0	0	0	2	1	0	0	0	0	9	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north1_active	80	10087	4484	5189	4180	1609	1175	3437	1402	827	966	438	1552	346	1095	236	314	282	333	153	244	266	102	161	124	109	114	66	52	160	87	129	134	39	56	75	37	61	24	31	26	33	19	17	31	19	25	18	13	14	7	4	9	31	19	8	6	24	11	3	3	7	4	10	9	5	4	4	1	1	1	1	3	1	4	2	0	4	0	0	1	3	1	0	0	0	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	21605	9679	9355	7235	3412	2631	5492	2435	1668	1697	1043	2443	754	1818	542	613	536	617	318	429	449	270	311	227	207	258	163	104	203	147	221	254	67	78	135	63	132	51	53	46	43	33	31	53	46	35	31	22	34	17	13	12	36	45	18	16	27	14	10	14	17	8	12	7	8	11	4	2	5	7	2	6	3	6	3	1	2	1	2	0	2	0	2	1	0	0	1	0	0	2	1	2	0	0	0	3	0	0	0	0	0	0	2	1	0	0	0	0	8	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_active	80	10018	4361	5277	4245	1672	1167	3432	1359	826	928	476	1508	365	1183	223	312	279	346	151	239	253	105	181	119	105	153	65	50	136	84	149	126	36	44	63	35	60	20	29	19	24	18	15	36	19	24	19	12	20	8	4	7	29	30	13	5	20	12	4	5	7	3	10	5	6	5	3	0	1	3	0	3	1	4	2	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	21507	9623	9335	7195	3344	2610	5499	2362	1646	1696	1035	2512	789	1884	558	586	547	587	324	423	454	232	310	209	203	223	143	112	178	147	194	251	73	90	114	67	146	50	52	41	33	42	28	47	51	35	33	25	25	18	12	12	27	39	17	13	29	34	11	22	15	12	8	5	5	11	4	3	3	6	3	6	3	6	5	2	2	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	5	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_active	80	9930	4325	5265	4254	1626	1146	3392	1362	853	932	474	1587	378	1228	247	311	299	329	163	229	259	91	171	116	99	132	59	51	109	80	136	127	36	46	52	39	89	18	29	14	17	26	7	23	22	24	19	17	10	8	4	7	20	35	11	3	21	26	3	4	6	4	6	3	3	4	2	0	0	3	0	0	1	2	4	0	2	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_all	80	21612	9771	9262	7296	3352	2571	4974	2403	1601	1626	1063	2457	848	1872	564	610	548	576	314	448	443	217	309	226	197	197	129	116	185	135	198	221	85	94	117	64	140	51	35	43	31	52	28	57	41	31	30	24	36	21	19	10	15	50	17	14	13	36	11	23	11	8	8	5	5	7	4	3	7	6	7	6	1	4	4	1	3	1	3	0	1	1	1	2	1	0	1	1	1	2	1	1	5	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_active	80	10055	4400	5244	4320	1648	1143	3054	1402	873	881	480	1533	396	1254	241	335	284	315	162	234	245	95	173	113	96	118	57	50	113	79	142	116	43	47	50	37	91	20	18	17	16	35	8	31	23	18	20	16	15	9	7	5	9	43	11	2	10	27	3	4	5	1	6	3	2	3	2	0	2	3	2	0	0	0	3	0	2	0	2	0	0	1	1	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north5_all	80	21615	9799	9066	7356	3325	2552	5182	2469	1576	1741	998	2428	860	1890	566	609	561	625	339	445	476	223	309	235	225	194	124	120	200	148	220	208	85	97	123	76	155	53	36	52	31	51	33	63	49	36	30	22	39	19	23	15	19	39	15	11	11	41	11	20	11	6	4	4	7	5	2	2	7	8	5	7	1	5	11	2	4	2	2	1	1	1	0	1	1	1	1	1	1	1	0	0	5	2	0	0	0	0	0	0	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north5_active	80	9953	4404	5180	4321	1626	1148	3228	1368	864	951	452	1515	413	1229	254	340	300	348	170	233	278	101	165	118	117	106	59	49	116	84	157	136	44	51	56	36	104	19	18	28	13	31	12	30	29	19	17	16	20	6	12	7	13	30	11	3	9	31	5	3	3	1	2	2	3	2	1	0	2	3	2	1	0	1	10	0	2	1	2	0	0	1	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
