label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125
0.03	north9_all	80	44922	17720	6723	5960	7225	4022	3006	4088	1664	1840	1031	1286	937	711	865	574	701	356	388	653	299	523	414	230	298	262	201	144	123	141	160	88	167	153	124	130	80	49	105	63	36	58	32	44	22	21	22	19	24	21	15	28	20	16	14	19	16	21	6	22	2	16	6	3	4	2	6	3	10	3	2	2	4	1	2	1	1	0	2	2	1	0	1	1	0	3	1	0	1	1	1	0	3	1	2	9	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north9_active	80	28010	10625	3216	3192	4650	2311	1643	2711	851	1030	497	689	509	324	515	281	400	161	178	378	150	354	275	130	183	144	111	59	61	83	86	45	87	87	82	79	44	29	64	39	19	28	22	20	10	11	11	5	10	9	11	20	13	9	6	11	9	16	0	17	0	10	3	1	2	1	1	1	5	3	0	1	1	0	2	1	1	0	1	0	1	0	1	0	0	3	1	0	1	0	1	0	3	0	0	8	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north10_all	80	45335	17849	6679	5970	7198	3970	3007	4251	1752	1795	1075	1272	944	714	882	569	692	359	426	655	288	521	430	251	298	254	192	151	130	145	154	84	179	177	123	151	87	60	120	76	36	64	34	36	25	24	22	21	26	25	16	26	20	18	17	12	18	17	9	31	3	12	4	4	5	3	8	2	9	1	1	2	5	0	2	5	1	0	2	0	3	0	1	4	0	3	1	0	2	0	1	0	0	0	1	8	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north10_active	80	28129	10673	3174	3179	4510	2253	1675	2828	923	1025	499	730	524	310	506	284	390	150	209	374	132	336	274	147	184	137	105	76	65	79	86	41	92	111	77	99	50	33	80	45	21	33	19	13	13	11	13	7	13	10	11	18	13	13	6	7	10	12	0	27	0	7	3	2	1	2	3	1	5	1	0	1	1	0	2	3	1	0	1	0	3	0	1	1	0	3	1	0	2	0	1	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north11_all	80	45331	17668	6616	6072	6882	3979	2914	4118	1775	1738	1064	1206	901	715	880	546	706	365	391	596	262	512	428	311	304	202	230	131	132	139	195	91	120	184	119	107	65	42	95	78	37	40	65	33	22	30	36	21	17	13	19	20	12	23	21	15	14	9	9	12	6	11	4	0	8	4	10	2	2	1	3	0	6	2	1	6	1	5	0	1	3	3	1	0	2	2	2	0	0	0	0	0	0	7	0	2	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1
0.03	north11_active	80	28107	10548	3139	3291	4252	2214	1608	2462	891	988	510	676	470	342	493	248	407	162	211	366	117	372	259	176	175	110	131	69	67	73	117	41	70	121	77	60	36	17	52	45	17	16	36	22	7	15	20	10	7	8	9	15	7	18	6	7	4	4	1	6	3	7	2	0	3	1	8	1	0	0	2	0	5	0	1	2	0	5	0	1	3	2	1	0	0	2	2	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north12_all	80	45403	17765	6605	6148	6845	4019	2880	4183	1783	1710	1049	1268	898	710	846	563	718	406	398	640	276	496	426	280	311	221	233	143	131	142	174	94	124	147	113	106	64	41	71	73	39	47	66	32	31	26	36	25	15	16	26	15	18	22	14	10	13	11	9	14	7	8	4	0	10	2	8	2	2	3	2	1	6	3	0	4	1	9	0	2	1	3	0	1	2	2	2	1	0	0	0	0	0	3	4	2	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1
0.03	north12_active	80	28216	10482	3109	3323	4156	2254	1553	2559	927	991	506	684	474	323	495	265	435	182	205	389	118	333	260	161	191	109	127	84	64	78	112	44	76	92	64	53	35	17	40	42	18	26	39	22	13	12	17	13	6	10	14	8	10	18	2	3	5	7	1	8	5	4	4	0	5	1	6	1	0	0	2	1	5	2	0	2	0	9	0	2	1	2	0	0	0	2	2	1	0	0	0	0	0	3	4	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north13_all	80	45251	18149	6639	6085	6990	3982	2896	4085	1784	1744	1026	1325	932	725	810	565	709	400	368	660	280	558	452	281	309	230	222	160	128	125	179	84	143	130	102	90	60	41	76	79	33	61	64	30	30	30	30	25	17	15	31	19	16	22	9	9	16	14	9	16	11	7	5	2	11	2	3	4	7	2	1	1	4	3	1	1	1	7	0	2	1	4	2	1	2	2	2	1	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	28124	10779	3113	3263	4336	2235	1540	2519	915	1040	500	719	489	343	487	276	438	176	192	388	125	352	285	158	179	120	124	98	63	68	132	36	100	85	55	52	40	19	52	48	16	37	41	18	13	13	15	13	8	10	22	15	10	17	2	1	7	10	1	10	8	2	3	0	6	2	3	2	6	0	1	1	4	3	1	1	0	7	0	2	1	4	0	0	0	2	2	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	45358	18209	6694	6092	7037	3998	2856	4131	1777	1774	1061	1310	954	741	801	543	670	419	380	645	290	593	441	272	325	244	235	166	123	131	176	90	155	116	117	111	66	41	96	82	36	57	52	19	30	27	43	26	17	18	32	25	19	16	11	6	22	13	10	14	8	9	6	7	11	4	7	5	7	6	0	1	6	4	1	5	1	10	1	2	9	4	2	2	1	0	1	3	0	2	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	28098	10794	3139	3263	4319	2292	1505	2605	897	1087	501	732	496	358	467	276	405	188	196	376	133	375	272	157	188	141	129	89	55	73	126	39	113	77	70	74	39	19	62	58	19	35	32	7	13	11	21	9	7	10	22	19	12	12	2	1	11	9	4	7	5	1	2	0	3	3	7	3	6	3	0	1	6	3	1	4	0	7	1	2	1	4	0	0	1	0	1	2	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	45445	18046	6662	6071	7130	3990	2982	4111	1859	1873	1095	1243	978	701	842	530	670	409	377	625	289	581	429	292	299	252	229	176	125	136	184	98	156	122	117	116	66	45	104	79	38	51	49	23	35	27	37	22	20	27	32	26	15	9	8	6	17	20	11	21	7	8	5	7	9	6	7	6	9	5	0	0	7	4	1	4	0	3	1	0	9	4	2	1	1	1	0	2	0	2	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	28035	10632	3107	3249	4398	2259	1665	2604	933	1157	510	694	503	355	488	271	388	186	203	388	134	348	250	158	167	149	109	99	56	73	123	44	112	80	78	84	40	21	64	56	20	31	33	7	13	10	18	7	12	17	25	19	8	5	2	3	11	14	4	14	6	1	1	0	3	5	7	3	8	3	0	0	6	3	1	3	0	0	1	0	1	4	0	0	1	1	0	1	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	45890	17754	6619	5998	7205	4093	3020	4018	1811	1871	1120	1235	956	723	859	561	652	405	389	646	289	491	458	311	278	248	224	183	116	130	185	90	148	112	145	108	78	52	139	69	48	45	50	28	28	23	37	21	17	31	39	17	19	10	12	7	12	12	10	13	5	8	6	6	8	4	4	6	7	5	0	1	10	2	0	4	0	8	1	3	8	1	1	1	1	1	0	3	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	28245	10444	3080	3229	4484	2315	1741	2510	914	1105	523	699	482	355	472	265	356	179	202	402	136	294	263	178	168	158	111	97	48	68	122	37	98	72	97	79	46	22	82	46	25	23	31	14	11	13	20	7	9	19	29	11	10	7	5	3	10	7	4	9	3	2	2	0	2	3	4	3	5	3	0	0	6	1	0	3	0	5	1	3	0	1	0	0	1	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	46258	17950	6602	5964	7176	4029	3137	3968	1758	1924	1138	1246	907	710	839	591	676	406	384	635	267	480	442	324	273	260	213	178	118	135	165	89	143	140	122	125	86	58	124	61	44	45	49	34	29	25	32	20	16	27	51	25	23	16	14	10	11	13	13	20	6	7	5	2	8	3	4	6	5	5	1	1	7	2	5	1	0	5	0	3	0	1	0	0	2	3	0	2	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	28482	10546	3025	3172	4387	2280	1811	2447	887	1089	538	679	447	333	478	272	369	182	179	398	122	293	255	184	154	164	109	95	42	71	103	41	92	85	84	81	50	25	80	38	16	23	28	21	10	11	17	11	9	16	41	9	14	11	7	6	7	9	6	14	3	4	3	0	5	2	3	3	4	2	0	0	3	1	3	0	0	5	0	3	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	45879	18026	6575	6003	7242	3986	3092	3821	1730	1871	1144	1287	921	740	808	570	659	414	375	611	263	469	423	332	276	249	203	164	115	133	164	89	152	159	119	127	97	59	122	46	49	52	53	38	26	26	29	18	23	26	63	26	17	20	9	12	9	18	10	19	8	6	7	2	8	4	2	2	4	2	2	1	6	2	5	1	0	8	0	4	2	1	0	0	1	2	0	1	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	28392	10632	2995	3167	4514	2258	1752	2350	888	1030	551	698	468	342	469	254	374	196	174	357	124	279	255	196	159	157	104	84	46	76	114	41	99	91	83	72	58	27	80	29	19	23	33	24	11	13	13	10	14	14	45	12	13	13	6	6	5	13	4	15	4	4	5	1	8	2	1	1	3	0	0	0	3	1	3	0	0	8	0	3	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	45514	18224	6607	5973	7364	3865	3195	3907	1721	1885	1126	1293	895	747	815	563	653	410	379	633	268	493	433	340	273	242	201	142	128	130	176	91	159	162	124	132	90	49	97	51	50	51	40	41	23	27	30	15	26	15	48	26	14	21	13	13	16	14	7	19	7	6	8	3	7	2	8	4	3	1	3	1	2	2	5	5	0	5	1	1	5	1	0	0	1	3	1	1	3	0	1	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	28025	10862	3042	3128	4589	2191	1782	2425	882	1091	546	723	467	339	462	261	372	188	189	366	120	285	294	210	149	142	110	74	56	75	128	45	97	93	87	65	52	24	62	40	22	25	24	27	9	16	17	10	13	7	31	13	10	15	7	8	10	10	4	15	4	4	6	1	6	0	3	2	2	0	1	0	0	1	3	4	0	5	0	0	1	0	0	0	0	1	0	1	2	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	45195	17723	6729	5934	7288	3745	3186	4005	1738	1840	1088	1309	889	741	851	529	650	401	382	621	296	510	437	324	279	236	184	140	145	147	186	102	176	189	137	119	78	54	93	50	40	59	43	34	22	21	23	15	30	19	50	31	12	15	8	16	16	15	5	16	13	5	7	5	9	5	8	4	1	2	2	2	1	3	4	6	0	3	2	1	8	0	0	0	0	2	1	1	3	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
0.03	north20_active	80	27981	10494	3145	3211	4507	2061	1793	2514	887	1039	523	751	486	358	466	251	374	181	202	370	141	305	264	198	164	124	90	73	64	91	131	55	115	105	96	60	46	27	63	36	20	26	28	23	8	15	14	7	16	8	33	16	9	9	4	10	10	11	1	13	11	4	4	1	7	2	4	1	0	0	1	1	0	1	3	4	0	3	1	0	4	0	0	0	0	2	0	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	45367	18074	6637	5909	6992	4056	2910	4101	1773	1768	1070	1329	999	719	846	560	684	402	377	534	276	531	412	302	286	268	206	176	113	152	209	96	186	141	153	141	94	55	90	104	50	46	27	36	22	23	36	28	25	24	31	30	20	15	15	17	23	10	6	10	8	17	3	6	13	2	5	3	11	7	2	5	2	2	4	3	2	1	2	3	1	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_active	80	28245	10793	3078	3241	4303	2300	1586	2554	936	981	511	775	550	336	484	266	381	187	182	345	127	350	254	169	164	133	120	82	50	85	150	47	103	94	97	86	49	34	55	60	20	25	15	20	11	10	17	11	13	15	17	15	14	9	3	13	9	4	2	4	2	8	1	4	7	0	4	2	9	3	1	3	1	0	3	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
