label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124
0.03	north6_all	80	29355	16074	10273	10734	7491	7528	3181	2260	2805	1856	1538	1068	906	1363	987	829	1088	632	469	477	402	495	541	250	356	259	169	178	146	150	94	153	128	128	75	211	163	65	52	114	128	47	42	33	29	21	24	39	21	22	25	40	15	18	32	19	40	15	19	9	14	17	3	6	6	7	2	4	4	4	6	2	8	3	6	2	4	4	1	1	4	0	0	2	0	6	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north6_active	80	15612	10285	6960	8947	6127	6578	2049	1101	2168	1246	918	549	307	1096	711	580	883	428	242	323	265	414	434	79	288	190	45	96	44	99	31	111	89	111	24	193	140	17	16	98	115	33	34	18	12	6	7	23	8	11	8	33	8	16	28	12	37	4	14	8	9	12	2	5	4	6	1	1	1	2	4	0	5	2	2	1	3	3	1	0	4	0	0	1	0	6	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	29695	15896	10267	10621	7302	7374	3195	2239	2855	1901	1577	1096	890	1290	999	762	1074	633	525	491	362	473	526	265	360	250	179	183	139	151	109	171	125	172	81	242	156	52	60	95	110	57	42	36	26	27	23	31	23	25	22	29	18	16	32	17	42	19	16	10	12	15	5	16	10	2	5	5	2	18	10	1	7	3	3	1	8	3	1	1	3	2	1	2	0	4	0	1	0	1	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	15888	10105	6990	8825	5949	6416	2056	1105	2196	1270	950	565	318	1033	700	545	883	430	276	331	236	400	421	83	294	183	40	85	41	97	38	125	93	158	25	225	133	15	28	78	100	41	36	23	15	8	9	19	10	11	6	23	11	13	31	10	40	6	11	9	8	11	4	15	6	2	3	1	1	16	8	0	3	2	2	0	6	2	1	0	3	0	1	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	29939	15883	10342	10419	7478	7355	3194	2240	2796	1866	1559	1100	880	1277	983	756	1065	657	527	495	370	463	463	245	325	258	173	184	140	153	117	129	138	192	78	231	173	52	64	99	92	69	59	35	29	27	22	28	19	22	18	18	25	16	20	19	44	17	12	13	10	9	10	15	7	2	7	4	2	20	14	1	4	4	3	2	5	1	1	2	2	2	1	1	0	5	1	2	1	1	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	15985	10093	7034	8629	6149	6379	2053	1081	2129	1239	948	576	323	1045	670	549	877	450	286	330	243	389	357	74	248	180	32	81	45	90	43	80	103	168	28	214	148	13	30	81	80	54	47	17	17	8	9	20	7	8	5	13	13	10	19	13	42	6	7	12	4	5	7	14	5	2	4	0	1	18	11	0	2	3	1	0	3	1	1	0	2	0	1	0	0	5	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	29767	15711	10398	10661	7521	7336	3180	2231	2806	1870	1563	1088	859	1237	931	704	1057	677	527	486	391	491	475	253	339	263	156	185	138	140	125	131	131	194	74	199	138	50	58	96	87	79	54	34	25	30	20	27	21	20	14	27	16	18	11	39	47	15	12	10	7	20	11	14	8	3	8	3	3	23	14	3	8	4	2	2	5	1	1	1	2	2	2	1	1	1	1	2	1	1	1	0	0	0	3	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	15866	9962	7119	8836	6181	6349	2058	1081	2105	1231	965	579	295	991	619	488	873	457	290	337	259	412	378	76	253	182	26	85	44	83	45	89	98	169	27	181	116	14	24	79	70	65	40	17	14	8	8	18	12	4	2	22	7	11	9	37	46	8	8	9	2	19	8	13	5	3	4	0	0	23	11	0	3	1	1	0	3	1	0	0	2	0	1	0	1	1	1	1	0	0	1	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	29904	15708	10549	10569	7604	7277	3256	2246	2749	1850	1499	1123	865	1325	886	754	1026	646	496	488	449	544	483	236	330	266	162	183	134	143	109	134	132	179	69	145	135	60	58	129	76	91	60	33	25	28	23	30	23	17	18	33	15	30	6	33	26	12	12	8	7	19	11	22	11	5	11	2	5	9	10	2	8	5	3	1	5	1	3	1	0	1	1	0	1	7	5	1	1	1	1	0	0	0	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	15861	9937	7208	8727	6253	6282	2139	1086	2056	1201	905	604	292	1076	571	513	844	451	280	349	291	456	396	71	244	196	32	82	44	90	38	93	95	146	24	129	118	15	22	113	60	74	44	19	10	7	6	21	15	7	5	28	5	22	5	32	25	6	8	6	0	18	9	21	9	2	5	0	2	9	8	0	4	1	0	0	4	1	1	0	0	0	0	0	1	7	4	1	0	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
