label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184
0.03	north1_all	80	9695	1887	2115	1503	699	964	418	516	355	407	293	217	175	384	199	193	138	113	188	192	126	92	138	92	66	158	75	55	51	49	81	60	32	41	55	53	39	35	33	27	36	53	17	28	44	16	33	15	15	13	13	16	15	40	20	27	15	24	14	10	7	24	13	6	4	6	7	6	8	5	2	7	15	7	5	4	5	2	2	14	11	2	7	0	6	1	5	4	1	2	6	4	1	2	3	2	5	0	0	3	0	4	4	0	0	2	2	0	0	0	1	2	0	1	0	0	0	0	1	6	2	2	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	6248	858	1306	907	330	565	195	275	168	229	150	101	69	258	99	103	70	51	118	118	59	40	86	45	29	106	37	26	26	24	47	33	16	23	33	26	25	19	21	13	18	34	9	14	26	7	19	8	6	7	7	5	5	25	8	17	5	16	12	8	5	17	7	3	3	2	2	4	7	1	0	3	9	2	3	1	3	1	0	11	1	1	3	0	3	1	3	3	0	1	3	4	1	2	2	0	2	0	0	2	0	1	4	0	0	2	2	0	0	0	1	1	0	0	0	0	0	0	1	3	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	9230	1923	2101	1486	707	925	410	527	348	396	301	216	178	363	209	194	122	114	172	171	120	101	139	82	62	145	78	54	56	36	73	58	34	45	58	49	39	28	28	27	34	47	14	30	43	14	35	13	15	14	12	15	16	54	19	30	15	37	7	7	10	16	14	5	6	4	5	4	5	7	6	11	11	7	4	4	6	4	4	13	4	2	7	5	6	1	5	2	1	1	5	4	2	1	2	2	4	0	0	3	0	3	4	1	0	2	2	0	0	0	1	3	0	1	1	0	0	0	0	3	1	2	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	5851	869	1244	925	338	572	190	286	154	205	161	103	75	235	109	115	55	58	109	107	55	48	95	43	25	76	36	22	32	19	37	36	17	20	37	18	25	17	12	13	14	33	10	13	28	3	19	9	8	8	7	5	6	47	10	16	7	25	6	4	7	11	8	2	5	1	1	3	2	2	0	6	8	3	2	2	3	3	2	8	3	1	2	0	2	1	3	2	0	1	3	3	1	0	0	0	3	0	0	2	0	1	2	0	0	2	2	0	0	0	1	2	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	9744	2000	2208	1531	702	992	438	543	362	415	306	222	190	389	211	199	133	128	172	168	116	103	134	79	63	164	68	50	64	43	66	67	33	44	76	45	51	44	28	26	38	52	18	26	53	16	37	14	15	12	8	10	16	67	23	23	13	28	9	11	14	12	9	3	5	3	2	5	3	4	5	16	10	6	16	3	6	3	5	11	8	2	8	6	7	1	7	2	2	1	5	2	2	1	2	1	3	0	0	2	1	2	6	2	0	1	1	0	1	0	2	3	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north3_active	80	6316	950	1331	948	329	618	209	307	163	220	167	103	82	257	111	126	57	56	97	114	59	49	86	43	20	98	33	21	39	23	28	41	20	22	46	19	20	29	10	14	15	37	13	13	38	4	24	11	8	9	6	4	8	61	15	12	8	20	8	5	8	6	5	1	3	0	0	4	1	2	1	9	10	3	14	2	4	2	3	6	5	1	4	0	3	1	3	2	0	1	4	1	1	0	0	0	3	0	0	2	0	0	4	0	0	1	1	0	0	0	2	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	10462	1997	2364	1593	766	1037	440	556	350	416	290	230	210	452	202	229	128	130	173	213	114	97	135	74	69	188	65	55	57	50	72	68	35	51	67	46	53	44	32	22	33	60	22	27	53	16	36	14	14	12	7	12	11	64	23	18	13	28	8	8	16	15	6	5	3	2	4	4	4	4	5	11	13	4	15	7	10	3	9	7	8	3	5	8	5	1	4	0	1	2	2	3	2	1	1	0	2	0	1	0	2	1	4	2	0	1	0	1	1	1	1	2	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north4_active	80	6838	931	1434	1004	380	635	205	303	158	232	160	106	86	290	107	144	68	58	100	144	54	49	84	40	23	115	29	29	31	25	32	39	21	25	45	24	20	29	12	12	15	38	16	14	36	6	21	9	7	7	5	2	8	57	18	11	7	19	7	3	10	6	2	2	2	0	2	3	2	2	1	6	10	3	14	5	8	2	4	3	5	2	3	1	2	1	2	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	11085	2003	2430	1627	765	1100	459	571	336	414	277	230	213	449	196	237	134	130	173	228	114	74	137	83	74	211	58	54	64	62	70	64	39	44	74	44	52	47	35	22	33	52	28	31	53	19	46	14	17	13	13	11	9	52	21	17	8	15	12	11	14	12	3	9	8	3	6	2	3	3	4	9	9	5	19	7	10	2	14	6	5	3	4	3	6	1	4	1	2	2	2	5	1	1	0	0	1	0	1	3	3	0	3	1	0	1	1	2	1	1	2	0	1	1	0	0	0	1	0	2	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north5_active	80	7291	958	1525	992	381	669	217	301	155	233	155	109	90	289	103	147	63	58	98	156	59	29	87	43	29	137	31	29	26	32	28	33	25	26	48	23	22	26	19	11	14	28	18	16	31	8	28	9	10	6	8	2	7	44	18	9	4	12	11	4	6	1	2	4	4	1	2	2	3	1	3	6	6	3	15	5	9	1	10	3	2	1	4	1	3	1	2	0	1	0	2	3	0	0	0	0	0	0	0	3	0	0	2	0	0	0	1	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
