label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178
0.03	north1_all	80	4657	2754	1477	1385	2137	593	592	391	1289	335	497	318	211	189	193	176	122	745	128	105	110	107	105	289	267	88	101	60	64	120	44	56	34	36	48	31	32	33	32	47	22	25	38	41	18	20	40	21	57	54	15	11	12	8	47	46	9	48	9	6	29	27	10	4	27	8	7	13	2	52	1	3	4	8	4	1	16	6	1	9	8	2	1	8	1	6	2	2	0	3	1	15	1	4	1	1	1	3	1	3	1	2	2	2	3	1	2	2	1	2	2	6	0	0	1	2	0	0	0	0	1	1	1	4	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3
0.03	north1_active	80	2293	1792	818	951	1884	173	371	119	1188	167	405	183	97	50	78	119	35	713	28	30	25	58	59	265	244	61	74	33	27	99	11	28	13	7	39	21	16	6	26	31	4	4	30	26	7	6	38	11	48	49	12	10	2	3	45	45	7	43	3	1	27	24	8	0	24	3	5	12	2	50	0	0	0	6	3	0	15	2	1	7	7	0	1	8	0	6	2	1	0	2	0	14	0	3	1	0	0	2	0	3	1	0	0	2	1	0	0	0	0	2	0	6	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3
0.03	north2_all	80	4646	2680	1430	1381	1974	598	578	392	1227	343	536	295	200	192	191	168	130	648	110	112	111	112	102	324	259	98	109	60	62	109	38	60	38	34	44	25	36	27	32	44	30	19	36	32	15	19	25	24	51	39	14	9	14	7	45	40	6	31	7	9	39	24	11	5	15	6	7	15	5	31	2	2	4	8	5	3	12	5	2	7	2	3	1	5	2	1	4	1	0	3	3	10	1	4	6	1	1	3	2	3	1	1	2	2	2	0	0	3	1	2	2	1	1	0	1	2	0	0	0	1	0	1	1	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3
0.03	north2_active	80	2250	1702	765	923	1715	190	343	121	1109	168	421	164	90	39	73	100	46	620	25	20	24	69	66	293	234	68	81	29	25	83	7	29	13	4	30	16	18	6	20	31	6	4	28	19	4	7	23	12	42	35	12	7	2	1	42	39	5	26	3	3	37	21	7	0	12	1	5	13	4	29	0	0	0	6	4	0	11	1	2	3	1	0	1	5	0	1	4	1	0	2	1	9	0	3	6	1	1	2	0	2	1	0	0	2	0	0	0	0	0	2	0	1	1	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3
0.03	north3_all	80	4616	2561	1409	1328	1793	587	540	403	1092	341	510	275	216	177	179	171	128	473	110	118	108	113	96	303	245	90	101	65	61	110	30	55	40	32	40	28	37	28	31	43	31	19	34	31	11	18	25	21	46	31	18	14	12	8	16	22	7	43	6	10	24	20	8	5	11	5	5	11	4	17	4	2	1	6	3	4	3	4	2	8	1	4	1	6	2	1	3	2	1	3	3	9	1	5	7	1	2	5	2	1	1	1	0	2	2	0	0	1	1	0	3	1	1	0	0	2	0	0	1	1	0	0	1	2	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3
0.03	north3_active	80	2155	1587	722	856	1525	171	308	122	968	169	406	149	84	39	61	98	46	445	30	24	23	67	62	274	213	55	75	37	24	86	6	28	12	7	26	16	20	8	17	29	4	6	22	22	2	5	22	5	39	29	14	10	3	1	14	21	4	39	1	4	23	15	4	0	11	1	4	9	3	14	1	0	0	4	2	1	3	0	2	5	1	1	1	6	0	1	2	2	1	3	1	8	0	3	7	1	2	4	0	0	1	0	0	2	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3
0.03	north4_all	80	4521	2445	1387	1265	1644	588	538	412	882	325	476	250	204	183	162	189	141	431	114	114	103	111	76	257	202	85	94	76	65	112	35	49	42	30	44	31	43	28	31	35	28	14	42	31	19	20	32	17	32	33	22	15	12	12	14	22	9	39	6	11	23	17	6	5	15	3	5	11	5	15	5	4	1	2	4	5	3	3	1	5	2	4	1	4	2	3	3	3	2	3	3	5	2	5	7	1	4	3	1	2	0	1	0	1	1	0	0	1	0	0	3	1	2	0	0	2	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
0.03	north4_active	80	1992	1455	698	793	1376	151	283	119	757	158	364	120	78	45	53	88	45	395	25	22	20	61	49	228	174	47	67	43	26	86	8	29	14	6	26	18	22	6	17	22	5	3	33	20	7	4	29	4	26	33	16	11	3	2	12	20	7	38	2	3	22	15	2	0	15	0	3	10	3	13	2	2	0	0	1	1	3	0	1	3	1	2	1	4	0	0	2	2	1	3	1	4	0	1	7	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
0.03	north5_all	80	4427	2419	1406	1223	1529	563	516	421	834	309	438	249	216	181	165	180	141	364	133	113	112	111	72	230	183	81	83	65	59	98	34	44	45	36	44	37	39	35	25	33	20	15	40	30	24	20	32	18	33	26	22	28	14	11	21	30	13	32	12	7	22	10	5	2	18	2	5	8	2	23	5	5	2	3	3	3	3	2	2	5	3	4	4	2	3	3	2	4	2	3	2	4	2	4	2	1	4	2	4	2	0	0	1	1	1	1	0	0	0	2	2	1	2	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1889	1376	671	754	1251	128	272	104	706	135	320	126	84	44	58	88	37	330	28	33	20	65	40	197	160	43	56	35	21	71	10	26	13	6	22	23	17	7	14	17	5	3	30	18	13	2	27	5	29	25	14	22	2	3	16	27	7	31	5	1	21	7	1	0	17	0	4	7	0	21	2	3	0	1	0	1	3	0	1	5	2	2	3	2	0	0	0	3	1	3	0	3	0	0	2	1	2	2	4	0	0	0	1	0	1	0	0	0	0	2	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
