label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44
0.03	north1_all	80	9452	12009	2047	1275	2730	534	1330	556	521	156	117	87	211	56	39	54	25	21	9	11	10	14	5	9	1	3	4	1	0	0	1	1	3	0	0	1	1	1	0	1	0	0	0	0	0
0.03	north1_active	80	2970	10720	624	341	2467	185	1187	435	453	47	53	19	186	25	21	35	13	6	5	0	2	11	0	8	1	2	2	0	0	0	1	0	3	0	0	0	0	1	0	1	0	0	0	0	0
0.03	north2_all	80	9439	11821	2002	1229	2915	545	1307	500	518	161	115	78	196	62	34	49	19	18	14	12	8	12	4	8	1	5	4	0	0	0	2	1	3	0	0	1	1	0	0	2	0	0	0	0	0
0.03	north2_active	80	2863	10536	611	350	2650	195	1171	397	437	55	58	21	172	29	20	31	8	5	7	0	1	10	0	7	1	3	2	0	0	0	2	0	3	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north3_all	80	9277	10874	1994	1245	2686	543	1173	473	448	142	103	80	170	63	21	34	19	15	14	12	5	12	4	8	1	4	2	0	1	0	2	1	0	1	0	0	1	0	0	2	0	0	0	0	0
0.03	north3_active	80	2687	9589	570	331	2416	187	1028	382	373	51	41	20	148	26	9	18	7	4	8	0	1	11	0	7	1	2	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north4_all	80	9286	9883	1978	1245	2443	570	1084	474	377	136	114	87	158	64	32	32	15	16	18	9	9	6	2	3	4	5	1	0	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0
0.03	north4_active	80	2516	8562	554	305	2163	189	942	383	302	48	42	20	134	31	12	18	7	5	7	1	2	6	0	2	4	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	9211	9043	1958	1267	2183	565	913	440	348	129	115	86	133	53	37	39	18	21	20	7	9	5	3	5	4	3	2	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0
0.03	north5_active	80	2410	7688	523	268	1905	170	783	336	269	38	39	18	108	28	13	28	8	6	9	2	2	5	0	4	4	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	9238	9044	1962	1267	2174	563	958	456	329	140	114	88	128	58	40	38	19	22	17	9	9	6	2	3	7	3	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1
0.03	north6_active	80	2410	7630	538	280	1901	172	836	355	244	39	46	13	97	25	15	29	7	7	8	2	3	5	0	3	4	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	9208	9216	1980	1277	2201	556	916	465	354	155	102	89	123	48	32	34	18	14	12	9	6	8	2	5	4	4	1	3	3	2	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1
0.03	north7_active	80	2407	7805	547	292	1936	162	790	362	265	40	48	17	84	19	13	26	8	5	7	2	2	6	0	5	1	4	1	1	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north8_all	80	8977	9146	1995	1264	2224	562	969	450	351	149	97	89	120	50	36	25	13	10	4	11	7	9	1	7	3	4	1	3	3	2	0	2	0	0	0	0	0	1	0	1	0	0	0	0	1
0.03	north8_active	80	2415	7704	532	314	1957	164	830	327	266	45	45	17	94	15	24	18	5	3	3	2	2	7	0	7	0	4	1	1	3	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
0.03	north9_all	80	9096	8693	2034	1251	2099	546	974	493	323	153	104	74	108	50	39	29	13	9	3	7	7	5	5	8	1	3	1	3	4	3	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0
0.03	north9_active	80	2407	7267	537	323	1816	150	831	362	244	49	42	19	82	15	23	17	6	1	1	1	1	4	1	7	0	3	0	2	3	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
0.03	north10_all	80	9081	8532	2038	1216	1966	527	982	509	324	146	101	73	108	48	42	31	12	12	4	6	6	8	5	9	2	1	5	2	1	2	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0
0.03	north10_active	80	2371	7132	528	299	1676	122	845	368	258	49	37	19	87	17	24	18	6	1	1	1	1	8	1	7	1	1	3	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north11_all	80	9275	12322	2115	1260	2979	598	1262	606	544	140	110	83	195	52	33	48	21	15	12	12	9	13	5	4	3	1	0	4	8	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	2877	11037	669	368	2731	227	1129	501	472	45	42	28	171	22	17	32	10	1	6	3	4	9	0	4	1	0	0	3	8	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	9200	12451	2090	1257	2890	592	1383	605	527	146	107	88	199	55	43	42	14	19	15	14	8	12	6	5	3	0	0	3	10	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	2859	11196	679	355	2640	237	1258	501	459	50	47	29	178	31	22	27	6	4	6	5	2	9	1	5	1	0	0	2	10	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	9174	12530	2058	1279	2914	599	1346	626	536	126	113	98	184	51	47	37	14	19	16	15	10	9	6	4	4	1	1	4	10	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	2815	11306	666	357	2660	237	1223	544	467	50	63	34	161	27	26	24	6	4	8	7	4	8	1	4	3	0	0	2	10	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0
