label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42
0.03	north1_all	80	8720	8058	6696	1206	866	543	511	510	448	173	196	87	55	58	30	18	14	29	17	5	10	6	2	3	3	10	4	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0
0.03	north1_active	80	2951	6696	6070	442	418	197	298	409	381	93	159	46	12	38	13	10	4	25	5	1	6	5	1	1	2	9	4	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0
0.03	north2_all	80	8832	8122	6718	1197	853	543	515	499	433	179	198	95	45	51	33	16	14	31	16	7	6	5	3	2	2	9	7	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north2_active	80	3029	6791	6074	459	415	204	299	395	373	109	156	53	9	34	13	10	4	23	6	2	5	3	1	1	1	9	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_all	80	8877	8236	6917	1191	831	537	486	514	387	191	205	93	51	56	28	16	20	28	17	9	4	4	9	4	3	4	11	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	3149	6905	6281	462	411	206	283	415	325	122	171	56	12	37	10	9	6	18	5	2	1	2	6	1	1	4	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	8979	8419	7006	1155	863	556	483	561	396	203	209	94	48	60	28	12	22	27	16	15	3	3	10	5	3	6	7	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_active	80	3207	7111	6347	458	421	215	289	451	333	136	179	59	10	39	6	5	7	17	3	3	1	2	7	0	2	6	5	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_all	80	9138	9091	7616	1175	893	550	470	649	484	179	252	94	60	62	31	11	19	29	15	14	7	4	10	6	4	6	9	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_active	80	3386	7777	6981	474	445	226	289	535	423	123	224	59	14	38	7	3	5	20	2	3	2	4	7	2	1	6	6	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north6_all	80	9132	9237	7515	1205	902	579	496	602	518	186	244	88	59	60	36	21	21	28	12	12	9	8	4	5	5	6	6	0	1	2	0	0	0	0	0	0	3	0	0	0	0	0	0
0.03	north6_active	80	3386	7925	6885	473	442	240	307	492	439	124	225	57	15	34	13	7	6	19	1	3	6	8	3	2	2	5	5	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
0.03	north7_all	80	9083	9239	7126	1247	885	564	513	607	459	175	280	83	60	59	40	29	15	23	13	11	15	15	1	8	4	2	10	1	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north7_active	80	3340	7939	6513	466	443	232	321	507	389	115	264	43	19	40	15	10	5	14	4	2	7	15	0	4	2	1	9	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north8_all	80	9039	9257	7155	1235	897	546	534	560	418	194	275	84	54	62	38	34	16	25	17	6	13	20	1	6	4	3	11	1	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north8_active	80	3354	7963	6571	480	468	214	336	457	351	136	251	42	20	43	17	14	4	16	6	1	7	19	0	2	4	1	10	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north9_all	80	9093	9312	7126	1254	921	525	514	564	373	192	288	87	61	68	27	27	18	25	16	9	8	18	1	7	4	2	7	1	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	3375	7983	6514	462	469	194	332	469	322	126	256	46	20	44	11	11	5	14	7	1	3	17	0	3	4	1	5	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	9176	9264	7259	1208	897	509	490	578	414	201	270	87	53	71	18	30	21	34	17	12	2	11	2	6	4	2	4	1	2	4	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north10_active	80	3405	7933	6606	448	468	186	321	479	358	127	232	49	16	42	7	14	6	25	7	4	2	10	0	4	4	1	2	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north11_all	80	9138	9030	7467	1227	898	502	494	586	494	196	274	92	58	55	34	24	20	20	15	8	8	2	3	5	5	3	11	0	1	1	0	0	2	1	1	0	0	0	0	0	0	0	0
0.03	north11_active	80	3310	7679	6866	480	492	178	304	493	414	120	239	55	16	30	10	3	9	15	7	0	4	1	2	3	4	2	10	0	1	1	0	0	2	1	1	0	0	0	0	0	0	0	0
0.03	north12_all	80	9046	8304	6781	1173	892	515	467	543	442	186	261	74	65	54	26	18	19	22	19	3	6	6	3	3	7	3	2	0	1	1	0	0	2	1	0	0	0	0	0	1	0	0	0
0.03	north12_active	80	3152	6921	6098	435	453	171	284	438	368	118	225	40	19	32	8	3	7	14	8	0	2	5	2	2	6	2	1	0	1	0	0	0	2	1	0	0	0	0	0	1	0	0	0
0.03	north13_all	80	8986	8386	6763	1173	913	544	454	588	486	183	238	83	67	68	24	20	15	23	17	2	5	8	3	4	3	3	1	0	3	2	1	0	2	1	0	0	0	0	0	1	0	0	0
0.03	north13_active	80	3073	6981	6055	397	460	192	272	484	400	123	199	47	21	36	6	4	5	16	8	0	2	7	2	0	3	2	0	0	2	0	0	0	2	1	0	0	0	0	0	1	0	0	0
0.03	north14_all	80	9001	8206	6771	1159	871	552	466	608	478	208	245	86	64	72	25	25	18	29	16	7	5	11	7	4	3	7	1	0	2	2	2	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north14_active	80	3070	6871	6040	391	410	212	282	512	390	144	207	49	15	36	9	7	3	19	8	1	2	8	4	0	3	7	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north15_all	80	9023	8709	7048	1186	884	539	456	643	518	205	288	87	60	68	19	26	17	29	10	10	7	9	10	4	4	5	1	0	2	2	2	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north15_active	80	3231	7428	6358	434	442	224	278	544	426	144	258	52	17	27	5	6	2	20	6	2	3	6	5	0	4	5	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north16_all	80	9064	8870	7373	1212	868	550	450	673	509	222	298	83	67	61	25	25	23	30	12	14	5	11	10	2	2	5	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	3318	7619	6703	476	460	245	281	578	430	160	267	52	19	29	7	4	3	23	5	2	3	8	4	1	2	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	9077	8900	7621	1221	878	562	433	649	548	197	309	83	63	55	22	29	19	27	9	10	5	10	5	3	2	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	3359	7677	6951	472	489	225	277	550	474	142	279	46	23	29	4	7	5	20	3	1	2	8	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
