label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189
0.03	north10_active	80	622	698	778	225	112	240	137	133	285	27	62	131	24	32	25	26	13	100	14	65	14	58	13	96	115	68	9	20	8	11	6	4	16	11	93	11	40	13	7	0	6	5	1	9	4	8	4	5	6	4	69	6	24	13	3	4	1	2	5	19	4	0	11	1	0	1	0	0	0	3	1	0	0	2	1	0	0	1	1	12	5	15	0	37	4	0	0	1	1	7	2	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	5	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	1959	1193	1180	518	364	411	247	266	379	172	157	198	99	82	91	70	75	128	53	120	48	60	50	105	232	62	31	26	33	28	17	25	28	18	75	18	43	15	17	15	12	17	7	23	11	9	7	8	10	15	50	4	13	8	6	5	5	1	3	5	12	4	11	3	8	5	4	3	6	6	4	2	2	3	4	3	1	2	4	9	3	8	2	20	11	1	3	9	3	2	0	0	3	1	0	2	2	0	0	2	2	4	1	0	2	2	1	1	2	2	2	25	1	0	1	0	1	0	0	1	0	0	0	3	1	0	0	0	2	0	0	0	2	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north11_active	80	580	711	896	236	125	250	124	148	299	46	81	145	27	15	15	21	23	96	12	97	11	45	10	96	222	42	7	4	9	11	3	8	15	10	69	11	40	8	8	1	7	10	1	14	2	2	2	5	4	8	48	3	9	8	4	0	0	0	1	5	7	0	10	0	1	5	1	2	3	4	4	0	0	1	0	0	0	1	3	7	1	8	0	20	10	1	1	9	0	2	0	0	2	0	0	1	1	0	0	2	2	2	0	0	0	1	1	1	2	1	1	25	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	1980	1148	1160	524	356	420	243	258	359	165	161	202	111	95	90	70	80	128	48	113	49	63	51	108	191	69	31	23	29	29	20	20	33	22	86	23	48	18	17	14	15	19	12	15	6	9	14	6	7	18	46	4	12	14	8	6	3	1	3	23	18	6	9	3	7	2	1	7	7	6	9	5	2	3	2	2	2	2	1	9	3	8	3	17	12	2	1	8	3	1	0	0	9	0	0	2	2	0	0	2	2	5	1	0	0	1	1	1	2	1	3	24	0	0	3	0	1	0	0	1	0	0	0	3	1	0	0	2	2	0	1	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
0.03	north12_active	80	577	689	867	231	126	266	109	144	283	39	90	142	28	19	21	19	20	92	8	89	13	46	7	100	181	47	4	5	6	11	6	6	20	12	75	10	44	10	9	1	10	12	4	10	1	3	5	4	3	10	45	4	8	12	4	1	0	1	1	23	13	3	8	0	2	2	0	5	4	4	7	1	0	1	0	0	0	1	1	7	2	8	0	17	10	1	1	8	0	1	0	0	8	0	0	1	1	0	0	2	2	2	0	0	0	0	1	1	2	1	1	24	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	2	2	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	2039	1188	1123	527	361	411	227	257	334	145	148	202	114	97	92	67	78	130	44	99	44	62	51	118	201	68	35	28	30	23	22	19	33	21	78	23	36	21	18	10	19	15	15	7	9	12	17	7	9	20	31	4	13	20	5	7	3	3	5	19	18	8	6	3	4	4	1	6	6	5	8	6	2	4	3	0	2	2	1	15	5	5	4	5	12	5	2	6	1	2	3	1	14	1	0	2	2	0	1	1	2	3	1	0	0	0	1	1	0	0	3	0	0	0	3	1	1	0	0	0	0	0	0	1	1	0	0	2	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
0.03	north13_active	80	592	712	849	223	133	256	102	146	266	34	87	147	30	20	25	17	20	97	8	75	13	44	7	109	191	47	4	8	6	11	10	5	18	11	67	8	32	14	7	1	14	8	4	4	1	3	7	5	4	13	30	2	10	18	3	2	0	1	1	18	15	4	5	0	2	4	1	5	4	4	6	2	0	2	0	0	0	1	1	14	4	5	1	5	10	3	2	6	0	2	0	0	13	1	0	1	1	0	1	1	2	2	0	0	0	0	1	1	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north14_all	80	2023	1227	1168	516	360	417	235	244	376	125	139	189	120	92	83	71	80	137	57	93	50	74	48	104	226	58	27	28	28	27	24	20	34	20	82	24	25	21	16	8	15	11	17	7	8	13	17	9	8	15	20	5	10	18	7	11	4	5	4	20	22	8	4	2	7	14	1	5	7	4	7	5	2	3	4	1	2	1	1	15	7	7	3	1	10	5	1	2	1	4	4	1	15	2	0	3	1	0	1	0	0	1	1	0	0	1	0	1	2	0	2	1	0	0	2	1	0	0	0	0	1	0	0	0	0	1	0	2	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
0.03	north14_active	80	594	742	866	214	128	254	98	124	296	32	80	135	34	21	20	21	23	102	13	68	14	56	8	93	216	43	3	6	6	13	10	5	19	11	68	9	21	15	7	1	10	7	6	5	0	3	8	6	2	10	19	3	8	16	4	2	0	2	1	19	19	5	3	0	3	14	1	4	4	3	4	2	0	2	0	0	0	0	1	14	7	7	1	1	9	2	1	2	0	4	1	0	15	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north15_all	80	2045	1245	1182	496	341	395	262	234	390	126	131	196	112	89	93	81	68	123	66	94	56	84	43	101	246	60	24	31	35	23	25	20	32	18	75	24	21	16	12	16	24	13	17	9	10	12	10	5	10	13	30	5	11	17	6	7	5	4	7	17	13	8	2	4	5	16	2	4	4	2	4	2	3	2	6	2	2	1	1	9	7	7	3	3	3	4	1	1	0	6	5	1	8	2	0	3	0	1	1	0	0	2	2	0	0	1	0	1	2	1	1	4	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
