label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97
0.03	north1_all	80	7760	4301	4741	3092	1092	1068	1145	664	836	1137	327	393	464	191	393	149	168	156	94	92	158	81	62	81	92	81	51	36	46	43	40	14	16	28	14	40	15	11	10	4	23	7	6	7	11	9	7	1	5	5	2	9	3	2	1	0	0	1	3	0	0	8	1	2	0	4	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north1_active	80	2125	2445	3863	2527	259	591	847	367	640	1019	103	274	374	63	316	48	97	109	46	45	125	33	39	55	70	63	23	23	23	34	26	2	4	15	2	34	9	1	8	1	23	3	0	4	6	9	3	0	3	4	0	7	3	0	0	0	0	1	3	0	0	8	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	7735	4292	4348	2811	1104	1031	1069	685	769	1039	324	378	419	175	335	151	159	145	104	87	112	80	59	70	107	93	42	48	43	45	45	21	17	25	12	25	12	15	8	5	21	11	10	9	12	9	3	0	2	3	2	5	3	4	1	2	0	1	1	0	1	8	1	2	0	3	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north2_active	80	1979	2311	3460	2215	275	542	759	353	571	911	102	258	333	59	256	46	81	92	55	36	80	33	41	43	88	76	12	34	22	37	29	5	5	13	2	22	6	3	7	1	21	6	2	6	7	9	1	0	0	3	0	4	3	1	0	0	0	1	1	0	1	8	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	7701	4212	4135	2696	1140	1018	1061	664	747	906	299	363	406	177	281	150	158	137	94	93	111	70	55	62	111	88	42	35	34	40	43	23	18	27	10	25	22	12	6	7	10	12	9	9	11	6	3	0	3	4	3	5	2	5	1	3	0	0	0	2	1	1	1	0	0	2	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_active	80	1878	2205	3244	2087	283	534	757	328	541	777	87	244	329	47	213	41	82	75	52	41	79	35	33	36	95	73	12	28	13	34	29	7	4	18	2	23	13	3	4	1	10	5	2	6	5	4	1	0	0	4	0	4	2	4	0	0	0	0	0	2	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	7629	4262	4387	2861	1141	1004	1051	638	710	950	292	368	437	193	302	141	171	147	93	108	117	68	64	63	111	100	42	39	28	37	43	25	19	31	8	27	20	8	10	7	9	8	9	8	7	8	4	0	4	3	2	0	1	5	1	3	0	3	0	2	1	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1942	2318	3541	2241	296	557	765	314	523	829	77	257	352	42	242	39	100	84	49	50	82	32	37	39	92	89	13	31	10	34	31	7	6	24	1	23	11	3	5	1	9	4	3	5	4	6	2	0	1	2	0	0	1	4	0	0	0	3	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	7756	4288	4753	3104	1136	996	1139	628	763	1012	299	395	505	206	348	132	173	165	102	117	143	64	65	65	126	114	37	45	32	39	36	23	16	30	11	30	30	7	11	9	12	5	5	4	2	12	5	1	4	4	3	1	2	3	1	3	0	3	0	2	1	3	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	2112	2442	3880	2503	284	575	883	326	589	895	78	284	431	47	287	40	115	105	52	63	110	25	32	43	110	102	13	34	19	31	27	7	4	24	2	25	24	3	6	5	12	2	1	2	1	6	3	1	1	3	1	1	1	3	0	0	0	3	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
