label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170
0.03	north1_all	80	3426	1426	900	1127	692	690	1433	1629	302	239	515	187	174	250	115	188	97	108	312	384	87	74	56	169	56	52	33	55	184	41	39	30	24	23	17	47	28	21	19	18	18	53	23	13	43	16	15	10	11	18	21	14	17	6	49	6	12	11	20	5	12	3	35	5	1	6	3	8	8	5	2	2	2	6	2	10	4	7	5	2	4	0	3	6	1	8	5	6	5	2	2	2	1	0	3	1	2	0	0	1	1	2	4	1	2	0	7	1	3	2	1	1	3	0	0	0	0	0	0	0	2	0	0	2	0	1	0	12	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north1_active	80	1743	529	314	775	454	481	1329	1552	213	83	447	54	64	185	22	139	29	50	296	370	53	19	16	151	15	11	19	35	175	23	21	10	8	5	2	38	16	15	5	5	6	43	17	9	36	2	5	2	7	13	18	8	12	2	49	4	11	6	14	0	12	1	33	2	0	0	1	5	7	4	2	0	2	4	1	10	2	4	5	2	4	0	0	5	1	6	3	6	5	0	1	1	0	0	0	0	1	0	0	1	0	1	3	1	0	0	6	1	3	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north2_all	80	3421	1453	891	1078	681	709	1470	1583	313	231	532	173	163	219	116	187	107	101	290	335	99	70	51	175	53	52	45	43	184	42	34	28	25	23	21	52	29	22	18	21	17	54	25	14	40	15	11	13	14	13	15	14	25	8	58	10	9	15	9	3	10	2	20	4	0	4	2	7	14	6	2	1	3	5	1	10	0	6	2	0	6	2	1	1	2	12	4	6	2	0	3	2	1	0	1	0	1	1	0	1	1	2	3	3	2	0	7	1	3	2	1	1	3	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	3	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1740	564	306	745	456	510	1361	1510	230	79	446	49	57	165	21	136	28	43	275	318	64	19	13	155	11	15	29	23	174	22	19	9	8	6	4	39	18	19	3	7	5	45	19	8	35	2	3	4	8	10	13	9	20	3	57	6	6	10	4	1	9	1	20	1	0	0	1	5	14	4	1	0	3	4	1	10	0	4	2	0	5	2	0	1	1	9	2	6	2	0	2	1	0	0	0	0	0	0	0	1	0	0	2	1	0	0	7	1	3	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	3444	1491	911	1090	709	677	1459	1391	349	221	529	161	131	222	101	183	94	103	281	292	107	64	58	184	58	62	48	40	185	42	31	25	29	22	20	50	28	33	21	17	20	49	27	10	50	12	4	8	13	18	14	9	29	6	44	11	8	19	8	5	12	5	19	4	3	4	3	3	12	7	2	1	3	4	1	14	2	4	6	0	6	3	3	1	1	12	2	5	2	0	2	3	1	0	2	0	0	1	0	2	0	1	3	3	1	0	1	1	4	1	1	0	2	0	1	0	0	0	1	0	1	0	0	1	0	0	2	0	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north3_active	80	1791	575	301	728	467	485	1342	1318	233	75	446	48	44	164	25	128	24	46	260	270	72	17	18	161	15	17	28	17	176	23	12	7	10	6	3	36	18	27	5	6	4	39	18	6	46	3	1	3	6	14	12	3	24	4	43	7	3	14	5	2	10	2	19	1	1	0	2	2	12	5	1	1	3	3	0	14	2	3	6	0	5	2	3	1	0	9	2	5	2	0	2	1	0	0	1	0	0	0	0	1	0	0	2	1	0	0	1	1	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north4_all	80	3493	1489	916	1116	693	679	1445	1464	373	231	558	149	131	211	110	182	96	95	279	296	109	57	53	187	57	49	56	46	193	42	34	26	30	22	25	52	24	35	19	16	19	54	27	9	48	13	5	13	16	21	10	12	34	7	45	11	8	19	7	8	12	6	11	3	4	3	4	6	13	8	4	2	2	3	2	13	6	1	4	2	2	3	4	3	1	6	0	3	3	2	4	3	1	0	3	0	0	2	0	1	0	1	2	3	0	0	1	0	1	0	0	0	2	0	1	0	0	1	1	0	0	0	0	1	0	0	2	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north4_active	80	1815	595	301	740	457	490	1330	1389	245	84	474	49	48	154	21	126	24	41	250	270	72	9	18	165	16	9	35	17	181	23	13	6	12	7	3	39	16	29	6	7	6	48	18	6	42	4	1	5	10	17	9	3	29	3	44	7	3	16	7	3	9	3	11	0	1	0	3	5	13	7	2	1	2	3	0	12	5	1	4	1	1	2	4	1	0	4	0	3	2	1	3	1	0	0	1	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north5_all	80	3457	1464	903	1079	707	664	1388	1497	344	233	539	133	129	210	122	177	92	90	302	312	90	60	42	166	52	46	47	63	200	47	35	28	36	24	32	42	27	39	19	15	20	50	21	12	63	13	5	11	14	23	10	12	35	12	43	15	4	11	8	7	16	6	11	2	6	3	3	5	10	4	4	4	2	4	3	14	6	0	6	3	3	2	4	6	2	6	0	3	1	2	3	2	1	0	2	0	0	1	0	1	0	0	0	3	0	1	2	0	1	0	0	0	2	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north5_active	80	1812	597	304	726	463	469	1283	1421	219	96	457	43	51	152	24	120	22	39	270	285	57	10	14	146	16	10	29	31	184	23	8	7	16	6	3	34	16	31	8	6	9	42	14	8	59	5	0	5	10	19	7	2	31	3	42	11	1	8	8	2	13	3	11	0	2	0	3	4	10	3	3	1	2	3	1	13	5	0	6	2	3	1	4	4	0	5	0	2	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
