label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173
0.03	north1_all	80	3842	1575	802	662	1180	764	299	245	187	302	167	193	144	107	79	96	88	67	74	92	89	104	44	149	67	105	45	40	28	58	28	27	36	54	20	22	71	21	15	20	19	17	26	10	20	17	7	36	12	17	10	11	15	12	24	19	7	5	6	4	15	6	6	6	8	3	6	4	4	2	5	7	1	10	2	3	2	2	0	1	2	0	4	2	2	5	1	4	1	1	0	2	7	0	1	0	1	3	1	2	1	1	4	2	1	0	0	0	1	1	0	2	0	6	2	0	0	2	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
0.03	north1_active	80	2282	888	391	363	787	487	153	134	96	184	81	119	69	54	36	50	40	38	47	59	60	71	21	94	40	66	22	18	17	41	13	11	19	27	11	8	37	13	9	9	14	12	12	5	13	5	3	31	8	5	2	6	13	9	17	6	6	4	3	2	8	5	4	6	4	1	3	0	2	0	4	4	1	9	0	1	1	1	0	0	0	0	2	0	1	2	1	0	0	1	0	1	7	0	1	0	0	2	0	0	0	0	4	1	0	0	0	0	1	1	0	1	0	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	4066	1602	820	705	1239	800	292	288	200	310	170	178	145	118	80	104	88	74	78	101	97	110	42	192	68	116	67	42	36	71	35	30	40	57	24	18	76	18	13	22	14	20	38	8	24	18	10	25	11	18	6	14	11	11	25	24	3	5	6	4	22	9	9	7	10	5	4	4	5	0	4	6	1	7	3	2	3	2	2	0	1	0	3	4	2	3	1	4	2	0	0	1	7	0	0	0	1	2	0	2	1	1	0	1	1	0	1	0	1	0	0	2	0	7	2	0	0	2	2	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
0.03	north2_active	80	2488	923	394	389	806	497	159	161	110	201	81	101	72	56	40	57	41	45	47	60	64	73	21	107	40	75	30	16	21	48	21	12	22	27	12	7	48	11	7	13	6	11	24	4	18	5	4	19	8	10	2	8	8	9	17	9	2	4	3	2	15	8	7	7	6	2	2	0	3	0	4	2	1	6	1	1	2	1	1	0	0	0	2	0	1	0	1	1	1	0	0	1	7	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	2	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	4148	1633	830	700	1292	816	306	318	204	289	155	193	144	113	80	103	92	84	77	109	103	96	43	204	67	113	58	43	38	86	32	34	34	37	21	15	64	18	17	23	12	20	33	9	26	24	9	25	12	24	7	19	13	10	19	15	3	4	7	4	21	9	10	6	4	4	3	3	6	0	3	4	1	6	3	2	2	3	2	1	0	1	2	4	0	3	0	4	5	0	0	1	7	1	0	0	1	1	1	1	1	0	0	0	0	0	2	0	2	1	0	2	0	7	2	0	1	0	2	0	0	0	0	1	0	0	1	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	2578	961	406	381	823	509	166	180	112	184	74	108	77	59	41	50	39	58	42	65	69	61	24	121	35	72	26	14	18	57	22	19	21	22	9	4	43	9	10	17	5	9	22	5	22	9	3	20	8	14	3	10	8	9	12	8	3	3	3	2	17	8	7	5	2	2	1	0	4	0	3	0	1	5	1	1	2	3	1	0	0	0	0	0	0	0	0	1	3	0	0	1	7	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	1	0	2	0	1	2	0	1	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	4204	1673	811	710	1331	813	301	326	210	315	160	207	139	98	82	101	78	86	98	102	102	89	52	208	67	112	55	45	39	78	35	37	32	37	16	20	77	20	14	30	16	14	32	12	23	19	10	33	16	21	5	16	15	1	20	14	4	4	9	4	17	5	6	6	6	7	6	2	5	1	2	3	3	9	3	2	4	2	2	1	0	3	2	5	1	0	1	1	5	0	0	1	7	3	1	0	0	0	1	1	0	0	3	0	1	0	2	0	1	1	0	2	0	1	0	0	2	0	2	0	1	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	2595	977	414	399	884	499	166	189	109	191	75	114	68	50	44	50	34	56	57	57	68	53	27	118	34	81	28	18	17	49	22	23	19	20	6	10	59	10	9	26	5	7	21	6	18	12	2	23	8	13	3	6	9	1	17	7	2	3	6	2	14	4	4	5	3	3	3	0	3	0	2	1	2	4	1	0	2	2	1	0	0	1	0	1	0	0	0	1	3	0	0	1	7	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	2	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	4184	1680	816	688	1318	883	304	297	220	298	158	221	127	106	88	103	70	94	105	85	99	102	66	195	70	123	42	41	29	87	35	37	33	33	12	26	87	22	15	33	17	12	21	11	17	20	8	42	16	26	9	16	18	1	15	6	7	6	7	3	13	9	8	2	6	8	5	1	4	2	4	7	6	7	3	2	9	3	1	1	1	3	2	4	2	2	1	4	3	0	0	0	3	3	3	0	0	0	4	2	0	0	3	0	1	0	1	0	1	3	0	2	0	1	0	0	2	0	0	1	1	0	0	1	0	0	0	3	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_active	80	2563	988	409	388	887	523	159	159	112	178	79	118	64	53	46	54	34	58	67	40	67	61	35	122	36	88	19	17	11	62	18	23	18	18	5	13	69	10	8	30	7	5	13	5	12	14	0	35	7	19	5	6	12	1	11	2	3	3	5	1	12	7	7	1	3	4	3	0	4	0	4	3	4	0	1	0	7	3	0	0	0	1	1	1	0	2	0	4	2	0	0	0	3	2	0	0	0	0	3	1	0	0	0	0	1	0	1	0	1	3	0	2	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
