label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66
0.03	north1_all	80	10311	6919	2277	2019	1180	1837	944	492	402	242	211	197	136	106	95	123	58	71	75	59	24	28	34	18	11	20	10	6	12	5	6	12	1	4	10	6	2	2	3	5	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	5578	5313	594	1344	599	1584	711	249	206	86	47	93	40	19	49	95	38	42	60	37	9	18	29	6	2	11	8	2	5	0	2	9	0	2	4	1	1	1	2	4	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	10767	7280	2328	2081	1191	2023	977	535	411	248	204	202	129	97	101	135	78	69	92	62	25	29	49	22	12	13	13	6	9	6	5	11	1	5	11	4	1	2	3	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	6054	5800	580	1425	601	1784	755	301	224	89	39	96	36	20	58	103	50	41	73	38	7	14	41	8	2	4	11	2	2	0	1	9	0	4	6	1	1	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	10939	7917	2329	2176	1254	2198	1163	547	437	235	206	199	139	109	102	136	76	66	103	57	23	27	43	24	9	10	14	7	11	4	4	13	3	6	12	3	1	3	2	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	6315	6435	556	1538	686	1957	908	323	247	98	41	92	46	24	60	109	48	44	92	35	7	15	37	10	0	3	10	2	2	0	2	10	0	5	9	1	1	2	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	11153	8587	2370	2292	1322	2464	1239	541	482	248	200	189	133	107	100	132	96	70	88	58	24	30	42	19	11	13	13	6	8	3	5	8	2	11	10	1	2	5	1	9	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north4_active	80	6674	7139	550	1659	751	2220	1006	336	291	102	42	85	46	31	54	105	66	48	78	39	6	19	32	10	1	4	8	1	1	0	2	5	0	8	7	1	2	5	1	9	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north5_all	80	11352	9035	2310	2291	1354	2564	1296	516	482	260	216	175	147	101	90	165	80	75	87	65	27	32	27	15	12	19	8	8	8	6	4	12	4	11	8	0	2	6	1	9	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north5_active	80	6846	7571	544	1679	800	2326	1048	313	307	112	52	83	46	31	55	141	58	46	76	48	11	21	18	7	2	8	2	1	3	0	2	5	0	8	6	0	2	6	1	9	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
