label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75
0.03	north1_all	80	73523	19044	8332	12831	4195	2871	2121	1568	1258	1341	1069	779	676	699	376	630	362	221	359	177	137	94	84	78	64	55	52	44	47	31	29	28	11	14	32	5	8	4	2	8	14	5	2	2	2	2	2	3	1	3	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	63045	12149	2397	11117	1834	796	590	497	307	861	754	430	403	551	141	536	225	135	302	92	78	36	28	62	37	19	32	20	29	8	19	5	7	5	28	1	7	1	1	3	13	5	2	1	2	2	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	72752	18979	8320	12937	4192	2843	2131	1584	1274	1343	1057	740	657	703	378	669	362	219	373	175	147	108	84	84	65	59	54	34	39	33	30	21	14	17	23	9	11	8	6	6	11	6	1	3	0	4	2	3	0	4	1	1	0	0	1	2	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	62286	12126	2427	11217	1845	801	582	533	288	856	719	398	397	548	159	580	207	138	315	93	85	39	25	64	40	24	33	19	23	12	21	4	7	5	18	2	8	4	3	3	10	5	1	1	0	3	2	3	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	72590	18792	8206	12956	4158	2835	2119	1587	1228	1302	1050	700	692	684	371	755	377	269	322	188	154	106	87	94	61	52	72	26	46	39	32	17	13	21	28	12	15	10	10	9	13	3	4	2	1	3	1	3	0	3	1	1	0	0	1	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0
0.03	north3_active	80	62075	11997	2414	11164	1862	759	573	533	289	840	691	347	434	525	155	666	220	167	269	113	82	35	27	68	37	17	35	12	28	17	23	3	5	8	25	4	9	8	7	5	12	2	4	1	0	2	0	3	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	72516	18802	8227	13097	4148	2882	2090	1630	1238	1294	1071	703	706	706	364	725	362	278	321	182	165	117	84	87	64	59	70	23	40	40	35	12	17	17	24	15	17	13	12	7	18	1	4	2	3	3	1	3	0	2	1	0	0	1	1	3	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0
0.03	north4_active	80	61892	12031	2400	11278	1834	752	551	531	294	833	734	371	441	518	152	637	211	167	262	110	90	40	23	53	40	18	30	9	22	14	26	3	9	8	20	4	11	10	9	4	17	0	4	1	2	1	0	3	0	1	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	72913	18789	8392	12993	4160	2855	2117	1639	1260	1271	1068	731	702	674	361	697	345	259	400	168	154	112	80	87	71	55	66	27	40	34	42	14	21	16	34	12	12	15	10	8	15	5	3	1	5	1	1	2	0	1	2	1	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north5_active	80	62379	11959	2392	11175	1824	775	555	513	305	819	733	370	441	483	142	602	215	144	342	103	74	32	25	52	48	20	28	11	24	10	28	4	10	7	30	4	7	11	8	4	14	4	3	1	4	0	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
