label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69
0.03	north15_active	80	13646	8600	5461	2723	4647	2614	1020	1506	1309	853	425	262	452	211	255	95	121	160	87	181	109	103	24	44	27	86	17	39	26	28	42	7	14	17	9	2	5	1	6	22	3	1	4	3	2	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	29068	15837	9846	5371	7469	4332	2013	2561	2145	1440	819	570	787	428	465	232	247	279	162	308	156	167	76	88	59	135	37	70	49	62	50	14	18	33	24	4	10	8	9	15	5	4	5	5	4	2	2	0	1	0	1	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	13677	8532	5387	2699	4648	2626	982	1566	1298	872	446	250	472	217	256	92	126	161	82	193	95	92	28	44	35	74	21	48	27	42	40	8	11	20	21	2	7	2	5	14	4	3	3	3	2	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	28706	15562	9645	5235	7271	4200	1938	2477	2090	1403	869	552	768	422	429	249	238	271	175	291	154	187	76	82	57	144	38	61	46	51	37	22	20	23	30	3	10	6	6	12	6	6	1	6	2	1	0	1	1	0	3	3	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	13485	8352	5267	2560	4500	2485	949	1470	1226	782	467	246	458	218	239	103	121	158	88	178	95	103	27	40	34	79	21	42	34	40	30	9	13	18	21	1	3	3	1	10	5	4	0	5	1	1	0	1	0	0	2	2	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	28188	14805	9090	5065	6591	3794	1853	2375	1986	1243	816	570	785	371	398	252	231	253	171	249	163	172	73	70	59	115	43	53	54	46	33	18	11	25	33	8	12	8	4	11	2	7	3	4	2	2	0	1	3	0	2	3	2	1	0	0	0	2	0	1	0	1	0	1	0	0	0	0	0	0
0.03	north18_active	80	13121	7662	4865	2383	4080	2189	862	1384	1164	679	417	252	451	190	214	97	115	151	84	151	97	96	35	36	35	66	24	38	39	34	28	6	6	19	21	3	5	3	1	8	2	5	1	2	1	2	0	1	0	0	1	2	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	27877	14202	8621	4880	6111	3581	1787	2175	1831	1153	781	588	721	324	398	251	211	209	158	205	167	151	67	78	62	116	35	49	56	47	30	17	14	13	22	9	10	9	5	13	5	9	2	6	3	2	1	4	2	0	2	3	2	1	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0
0.03	north19_active	80	12816	7138	4555	2223	3743	2055	805	1252	1067	598	378	264	394	171	215	101	103	116	79	118	93	77	34	42	32	78	18	35	38	35	25	5	8	7	11	4	3	3	0	8	1	7	1	4	2	2	1	3	0	0	1	3	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north20_all	80	27574	13553	8277	4685	5470	3427	1714	1982	1694	1092	715	601	724	334	374	259	209	195	130	191	153	120	59	69	61	87	39	46	55	39	34	13	15	19	18	10	10	7	5	14	5	6	2	4	1	1	2	3	2	2	1	3	3	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0
0.03	north20_active	80	12578	6706	4204	2132	3245	1927	771	1123	977	581	308	259	392	152	210	117	97	100	59	127	74	62	31	37	30	53	20	26	33	22	26	6	8	7	10	4	4	1	1	7	1	5	1	2	1	1	1	2	0	1	1	3	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
