label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71
0.03	north1_all	80	14382	2764	2505	1159	893	638	1399	389	842	893	196	135	128	141	208	113	66	92	63	124	37	26	34	38	28	32	52	16	51	4	11	7	7	5	5	6	3	6	2	5	2	3	2	1	2	2	2	2	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north1_active	80	11971	803	1739	431	395	261	1235	136	728	819	40	42	66	55	151	80	34	67	37	113	7	7	20	27	17	29	45	5	50	2	2	2	6	3	3	4	0	3	1	1	0	1	0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	14526	2801	2439	1173	906	622	1386	392	766	942	190	143	121	154	189	116	66	90	66	127	29	30	27	47	31	40	38	15	42	4	6	10	8	5	7	6	3	5	1	4	2	2	2	1	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north2_active	80	12037	804	1703	428	387	243	1216	138	649	863	48	44	65	65	137	88	30	67	36	109	8	8	13	35	23	34	29	4	40	2	3	6	6	2	4	5	0	2	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	14385	2873	2492	1175	914	629	1303	383	713	981	190	150	126	150	179	100	72	84	61	123	23	38	28	49	34	43	42	16	47	4	6	12	6	5	7	7	2	4	1	4	1	1	1	0	2	2	0	1	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	11870	807	1738	443	408	262	1121	127	595	905	50	43	64	69	127	69	35	61	34	109	6	8	14	39	26	35	31	4	46	1	1	7	4	2	5	5	0	2	0	2	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	14473	2915	2428	1158	876	663	1283	349	700	982	204	164	155	135	164	112	78	76	69	141	19	37	27	36	29	40	48	10	39	7	6	14	5	6	9	9	2	4	1	3	1	0	0	0	3	2	0	0	2	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	11987	811	1687	433	380	277	1107	130	587	914	52	49	75	68	122	83	34	58	38	124	5	9	10	31	21	31	40	2	38	1	2	8	3	2	7	6	0	2	1	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	14376	2876	2492	1195	874	620	1298	347	763	936	219	164	150	130	175	104	63	90	62	153	26	39	28	28	19	38	42	8	40	6	12	12	4	2	7	12	2	1	3	2	0	0	0	2	2	1	0	0	3	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	11937	820	1710	463	384	270	1122	137	640	870	47	49	74	67	142	84	27	75	40	136	4	9	8	26	12	34	35	0	39	1	6	6	2	1	5	9	0	0	2	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	14140	2829	2489	1228	843	665	1372	339	737	873	223	165	167	128	161	111	63	101	68	150	30	35	29	23	22	46	44	8	51	5	12	9	2	2	7	9	1	1	4	3	0	0	1	2	3	1	1	1	2	0	0	0	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	11822	815	1700	491	356	281	1186	138	621	803	44	48	90	65	129	89	28	83	46	133	5	8	10	18	15	44	39	1	50	0	8	3	2	1	5	6	0	0	3	2	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	14250	2757	2579	1224	882	636	1344	365	712	907	210	155	143	115	182	124	51	89	63	143	39	28	27	34	29	62	43	10	43	5	13	9	5	3	5	13	2	1	8	3	0	0	1	2	1	0	2	1	1	1	0	0	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
