label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62
0.03	north1_all	80	43344	16832	13796	6825	3883	2824	2026	1538	1426	1557	640	522	967	430	412	278	321	144	113	91	62	180	105	35	37	33	17	18	18	9	23	3	18	10	1	6	5	1	3	5	0	4	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	22797	6841	9925	3827	1262	1131	526	746	905	1274	128	189	843	275	321	148	260	38	50	43	23	154	76	11	25	24	6	7	5	2	21	2	15	7	1	5	4	0	0	3	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	43320	16789	13823	6921	3936	2765	1987	1621	1433	1651	620	524	1064	449	410	273	319	136	124	87	50	180	123	34	57	41	21	15	18	10	21	4	22	6	2	3	7	1	5	4	0	2	1	0	0	0	3	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	22976	6794	9974	3859	1293	1105	529	800	910	1369	134	188	934	274	310	147	262	34	56	44	15	153	94	15	38	26	8	4	7	2	20	3	19	3	1	2	7	0	0	3	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	43255	16564	13784	6847	3938	2751	1985	1727	1461	1663	637	510	986	441	411	256	330	126	124	77	55	206	100	27	63	46	28	17	17	7	24	7	21	8	2	1	8	3	5	3	1	2	1	0	0	0	1	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	22990	6688	9923	3846	1297	1125	515	857	928	1355	142	185	858	278	289	142	279	34	58	34	15	174	74	14	44	29	11	7	5	1	23	5	19	3	1	1	7	3	1	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	43474	16569	13771	6668	4032	2831	1984	1742	1437	1691	650	483	905	438	387	245	391	127	128	70	55	169	89	25	64	43	29	18	16	9	19	9	10	9	4	1	7	3	5	3	2	3	1	0	0	0	1	1	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	23161	6637	9987	3789	1329	1162	537	878	908	1370	154	165	787	269	266	141	333	30	64	27	13	143	68	14	45	29	10	11	4	1	18	6	8	4	3	1	5	3	1	2	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	43310	16551	13898	6724	4003	2871	1986	1749	1488	1726	666	480	854	426	378	244	397	115	129	74	66	155	81	22	63	40	32	26	15	9	16	11	2	8	5	2	3	3	2	4	2	4	0	0	0	1	0	1	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	22988	6681	10032	3849	1323	1181	548	875	889	1418	156	172	742	277	264	140	328	31	67	31	20	138	62	10	49	34	12	17	3	1	15	9	0	2	3	2	1	3	1	2	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
