label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128
0.03	north1_all	80	5130	3528	1379	1021	1089	672	450	493	554	263	241	214	192	378	163	114	111	229	164	202	93	64	146	66	51	53	80	29	63	34	25	35	34	33	27	25	34	24	9	16	16	19	13	23	9	10	19	9	18	5	5	7	8	4	14	2	4	6	1	3	4	1	2	1	3	1	6	3	5	1	9	4	1	0	0	0	1	0	0	0	0	2	0	1	0	0	2	4	0	0	5	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0
0.03	north1_active	80	2644	2151	715	505	634	333	193	276	341	124	117	103	85	252	75	45	59	138	101	128	51	16	96	34	20	18	48	12	43	18	15	21	21	23	14	10	19	19	5	7	10	11	6	15	3	4	9	5	17	2	1	5	7	3	11	2	3	4	1	2	1	1	1	1	1	1	3	2	4	0	7	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	5	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	5036	3448	1387	1023	1139	642	429	470	522	277	238	202	170	380	164	115	130	237	157	185	102	59	144	60	53	62	73	21	60	30	26	44	35	28	27	25	31	26	8	17	12	18	17	20	11	9	22	9	8	5	4	6	9	2	19	3	4	6	1	2	4	1	2	1	4	3	9	2	8	1	8	6	0	0	1	0	0	0	1	0	0	2	0	1	0	0	2	3	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0
0.03	north2_active	80	2558	2027	721	508	671	313	201	252	334	133	121	87	79	258	74	55	67	150	99	121	55	17	97	29	23	26	44	5	37	14	13	31	22	19	18	11	17	18	2	12	7	13	11	15	3	3	14	6	7	2	1	4	7	1	16	3	4	4	1	0	1	1	1	1	1	3	3	2	5	0	7	4	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	3	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	5019	3594	1390	993	1097	661	421	455	539	260	237	203	181	395	158	99	156	215	172	162	96	71	137	72	48	53	79	26	52	27	25	41	41	37	29	24	31	23	13	21	12	21	21	19	10	10	19	8	9	9	2	6	10	3	18	9	5	5	3	4	6	2	2	1	3	3	5	4	7	1	6	6	1	0	1	1	0	0	2	0	0	0	0	2	0	0	2	3	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0
0.03	north3_active	80	2556	2115	683	506	658	343	195	251	324	127	123	98	89	261	68	47	83	144	107	107	56	21	88	36	24	23	45	8	32	12	12	25	28	27	20	11	22	16	3	14	7	11	13	17	2	3	15	3	3	3	0	4	8	1	14	5	4	3	2	2	4	1	1	1	0	3	1	2	4	0	6	4	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	5126	3568	1437	1021	1026	666	396	467	523	285	234	195	188	363	164	107	150	205	162	147	93	79	134	78	41	47	87	32	49	28	20	45	37	36	25	22	23	23	13	32	8	23	20	16	12	8	14	7	8	11	2	6	4	4	8	7	3	2	2	6	5	1	4	2	3	2	6	3	7	1	4	2	1	0	1	2	3	1	2	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	2627	2055	702	504	605	341	194	250	302	147	121	93	98	218	77	54	76	138	103	102	51	35	87	34	18	27	48	12	30	14	8	27	23	29	18	9	13	13	3	22	4	12	14	14	3	1	13	4	3	4	0	4	3	1	7	3	2	1	1	5	4	0	1	1	0	2	1	1	3	0	4	1	1	0	0	1	2	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	5090	3485	1434	1031	991	623	407	494	548	279	229	197	184	387	159	115	146	220	163	162	83	75	134	88	44	39	84	36	45	32	22	40	34	26	19	20	35	24	14	29	12	21	15	22	17	9	16	6	13	10	3	4	17	4	6	12	4	1	4	5	5	2	4	2	2	1	9	4	5	1	3	1	1	1	2	4	3	1	1	0	1	2	3	2	0	0	0	0	3	0	1	0	0	1	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	2625	2026	700	498	584	316	197	267	301	137	113	104	93	216	74	58	72	139	100	117	40	38	89	39	23	21	48	18	22	16	9	20	19	19	12	7	22	14	5	17	5	9	11	14	5	0	12	3	3	4	1	3	13	1	2	6	2	1	1	5	4	1	2	1	0	1	7	1	2	0	2	1	1	0	0	3	2	0	0	0	1	2	3	1	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
