label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130
0.03	north1_all	80	17361	3648	2575	1248	1167	1071	758	966	426	805	943	412	481	623	210	173	149	103	99	103	244	125	80	84	113	129	65	134	51	44	45	32	40	42	37	31	66	19	30	24	20	54	14	39	10	9	11	23	20	9	12	10	24	10	10	11	7	8	3	9	14	2	17	4	6	6	2	2	3	0	4	1	2	5	17	3	1	3	1	3	1	4	0	2	0	0	1	1	0	4	0	1	0	1	0	0	1	6	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	15250	2203	1705	357	675	761	436	766	130	640	847	284	375	551	105	47	62	28	37	26	202	91	17	43	98	117	31	107	14	21	28	7	14	31	28	21	60	12	21	19	15	51	4	36	5	5	6	19	13	1	4	9	24	7	9	5	2	3	1	2	12	2	16	2	4	3	1	1	1	0	2	1	1	4	17	2	1	3	0	3	1	2	0	1	0	0	0	1	0	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	17431	3736	2550	1300	1175	1031	785	1002	420	824	855	398	554	614	214	161	165	116	105	98	287	143	76	87	117	165	69	123	56	39	49	33	32	39	41	34	58	23	24	24	18	50	12	36	17	7	4	26	28	9	14	9	30	14	9	16	5	11	5	6	14	2	15	4	8	5	1	3	1	0	3	1	0	4	9	3	1	1	2	2	0	4	0	1	0	1	1	0	0	5	0	0	0	1	0	0	1	5	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	15346	2254	1664	363	686	737	456	789	143	648	759	269	454	547	108	42	79	33	34	32	243	107	16	45	96	148	34	100	19	18	31	6	12	28	30	23	55	13	19	18	13	45	2	32	7	2	2	22	24	2	5	7	30	12	7	9	2	4	1	0	11	2	15	2	5	2	1	1	1	0	2	0	0	4	9	2	1	1	0	1	0	2	0	1	0	0	0	0	0	4	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	17802	3739	2575	1287	1180	1046	792	971	438	808	856	404	590	590	210	156	157	119	109	96	283	161	78	87	113	175	78	148	51	37	50	26	32	44	44	34	69	27	25	26	18	38	11	29	17	9	8	24	28	10	12	5	33	12	7	15	7	14	5	5	9	3	12	1	6	6	1	2	1	0	2	1	0	3	7	3	1	2	1	1	3	2	0	1	0	1	1	0	1	5	0	0	0	1	0	0	1	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	15675	2263	1659	344	670	739	490	765	153	643	766	280	498	519	92	32	84	40	38	30	245	121	16	41	90	158	44	131	17	17	31	8	12	32	33	24	67	13	17	18	14	34	2	27	5	3	4	18	22	3	7	3	31	10	5	9	4	4	1	2	8	3	12	1	4	3	1	1	1	0	1	0	0	3	6	2	1	2	0	0	2	1	0	1	0	0	0	0	1	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	17930	3780	2611	1265	1225	1087	828	951	445	778	907	385	553	579	200	147	151	131	116	94	285	154	78	81	116	208	72	152	56	40	52	25	28	47	48	37	85	29	25	26	20	39	13	24	20	11	8	21	26	11	13	4	26	13	9	12	6	14	3	5	1	6	7	0	5	3	1	3	0	0	1	1	1	2	7	3	1	3	1	1	3	1	0	0	0	2	3	0	2	5	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	15867	2306	1700	341	693	770	515	721	160	628	814	278	468	508	86	31	85	44	43	30	244	114	14	39	92	191	43	136	20	17	29	7	8	36	38	23	81	12	16	15	15	34	3	22	6	4	4	16	22	2	9	3	24	12	7	7	3	3	0	3	0	6	6	0	3	3	1	2	0	0	1	0	1	2	6	2	1	3	0	0	2	1	0	0	0	1	1	0	1	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	18008	3701	2572	1247	1189	1089	798	889	446	752	931	392	538	587	212	155	165	138	111	113	269	157	84	86	121	186	79	153	48	52	42	26	25	48	45	42	87	28	21	27	20	25	12	33	18	10	12	19	14	10	15	5	23	11	7	7	3	11	1	5	2	14	6	2	5	5	0	2	1	0	0	1	1	0	1	2	2	10	1	0	6	1	0	0	0	1	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	15981	2261	1677	325	663	754	485	657	158	605	832	276	458	512	96	32	89	46	49	33	238	113	11	35	101	167	53	140	15	24	21	7	7	36	34	24	81	9	14	15	15	22	3	28	7	4	4	15	10	1	12	4	21	10	6	4	3	2	0	3	1	13	5	0	3	4	0	2	1	0	0	0	1	0	0	1	1	10	0	0	5	1	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	16656	3612	2540	1241	1157	1069	744	832	434	720	828	387	495	573	213	159	152	141	114	108	235	145	94	78	108	167	58	109	48	50	43	29	28	43	39	34	67	27	23	26	18	31	15	27	18	10	16	19	10	12	13	5	10	8	12	9	1	4	1	5	1	11	7	3	1	5	0	1	1	2	2	1	1	0	0	3	2	9	1	3	5	2	0	0	1	1	3	0	4	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	north6_active	80	14604	2168	1626	306	658	702	431	601	156	580	730	260	395	508	93	36	77	51	51	30	197	103	17	29	88	143	39	95	18	20	22	11	8	33	29	18	62	7	14	14	13	26	3	21	10	3	6	17	7	1	10	5	10	7	9	6	1	1	1	4	1	10	5	1	1	3	0	1	1	1	2	0	1	0	0	2	1	8	0	3	4	1	0	0	1	1	1	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	north7_all	80	14974	3481	2434	1265	1121	1051	730	824	431	681	757	386	442	509	192	178	162	135	111	110	232	143	86	73	104	127	50	91	52	49	40	32	32	50	40	27	56	22	28	25	15	35	13	26	18	9	18	14	9	9	11	7	9	7	10	15	2	4	1	3	1	17	7	3	1	4	0	1	1	2	3	1	2	0	0	2	1	9	2	3	4	2	0	0	2	1	3	0	3	5	1	0	0	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	north7_active	80	12788	2004	1506	305	621	657	401	572	141	529	631	240	343	448	78	38	73	41	49	32	200	100	15	27	79	102	33	77	22	18	20	11	9	37	25	15	53	5	11	11	11	30	2	20	13	3	8	13	7	1	8	6	7	7	7	8	1	1	1	3	1	16	5	1	1	2	0	1	1	1	3	0	1	0	0	2	0	8	0	3	4	1	0	0	2	1	1	0	2	5	0	0	0	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	north8_all	80	13403	3388	2286	1206	1103	978	676	780	428	642	655	385	404	452	209	177	165	137	116	102	215	138	86	72	97	126	47	73	50	49	47	29	38	47	33	32	42	19	31	20	18	33	15	17	16	9	18	10	15	9	5	8	11	4	10	17	5	3	2	3	1	15	7	4	1	1	0	0	1	5	4	1	3	0	0	1	1	2	2	3	4	1	0	2	2	0	1	0	1	5	1	0	0	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	north8_active	80	11130	1810	1373	278	551	588	337	527	127	497	532	215	297	394	78	47	63	38	52	30	177	98	17	33	65	100	26	57	22	17	23	10	9	34	18	21	40	6	15	11	15	24	1	11	12	3	8	9	13	1	4	6	8	2	5	10	1	1	1	2	0	13	5	2	0	0	0	0	1	4	3	0	1	0	0	1	1	0	0	3	4	0	0	1	2	0	0	0	1	5	0	0	0	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	north9_all	80	12475	3356	2164	1264	1111	928	681	771	411	602	656	378	339	412	221	179	159	148	126	104	218	125	77	78	89	127	50	72	48	48	42	26	45	48	30	26	36	17	29	17	17	37	11	10	13	8	13	13	12	7	5	8	15	6	10	14	5	5	3	3	2	15	5	2	1	1	1	1	1	3	3	1	3	0	0	3	1	1	1	3	7	0	0	2	1	0	0	0	1	4	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north9_active	80	10131	1730	1224	289	523	552	330	511	107	442	512	212	246	350	83	48	55	30	53	24	179	80	15	31	57	98	23	56	20	12	19	5	8	34	18	21	34	6	16	9	13	27	2	6	8	2	8	11	10	2	2	6	11	3	5	7	1	1	0	0	1	14	3	2	0	1	0	0	0	3	1	0	1	0	0	2	1	0	0	3	7	0	0	1	1	0	0	0	1	4	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	12602	3363	2161	1306	1134	970	693	741	400	624	707	364	352	435	196	180	161	140	129	90	219	104	78	69	96	126	55	88	40	57	49	34	49	44	24	34	36	16	25	17	19	25	11	13	10	12	11	8	14	7	10	6	13	12	8	9	6	4	3	3	2	15	4	3	5	2	4	2	1	3	4	2	2	0	0	2	1	2	1	0	7	0	0	2	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north10_active	80	10245	1730	1232	287	530	596	352	517	96	451	585	208	264	365	73	47	65	28	56	18	181	70	18	27	68	93	28	65	17	19	20	7	8	28	11	22	31	4	13	8	13	16	2	7	6	4	8	6	11	1	5	3	9	5	5	7	1	1	0	0	1	14	2	2	4	1	0	0	0	3	1	1	1	0	0	1	1	0	0	0	6	0	0	1	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	17982	3662	2536	1284	1243	1121	706	959	443	704	905	396	557	716	212	178	171	135	126	113	306	154	86	83	164	158	58	117	54	41	37	38	31	41	37	37	41	21	27	30	23	44	12	28	15	11	18	7	13	9	5	6	20	9	9	6	2	4	3	4	4	9	6	6	12	5	3	0	2	0	1	2	1	5	2	1	1	0	1	2	1	0	0	2	2	0	1	2	0	5	1	0	1	1	0	0	6	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
0.03	north11_active	80	15996	2218	1720	339	733	755	408	755	162	572	812	237	483	644	90	26	95	46	49	32	280	114	18	35	133	135	39	104	24	25	23	12	9	29	26	29	37	12	14	21	11	40	4	22	7	5	14	6	10	6	2	1	19	4	9	2	0	3	0	3	4	8	6	6	10	5	0	0	1	0	0	1	0	5	2	1	1	0	1	1	1	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	17877	3686	2577	1280	1243	1147	700	948	458	756	905	382	521	713	231	183	205	122	109	99	302	142	73	76	135	176	67	126	52	33	37	38	39	49	40	33	53	20	24	30	21	38	13	27	15	11	20	14	14	11	5	7	25	11	9	6	4	3	4	5	3	12	6	6	11	4	2	2	2	2	1	2	3	4	0	1	1	0	0	1	1	0	0	2	2	0	1	1	0	5	1	0	2	0	0	0	6	0	0	0	0	2	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
