label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112
0.03	north1_all	80	5668	3169	2956	795	684	638	785	319	244	235	220	165	141	124	139	113	133	109	105	58	143	55	49	28	39	70	38	41	73	25	28	27	49	17	21	28	12	15	17	7	18	19	12	14	13	16	7	0	5	2	5	6	10	4	5	12	2	2	6	3	1	1	3	3	1	1	1	0	2	2	1	5	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	3283	1907	1904	381	367	354	463	140	118	132	118	70	64	51	76	64	77	55	56	22	87	22	20	11	18	46	19	23	45	10	10	13	36	9	11	21	6	7	11	3	8	12	6	6	6	9	4	0	3	0	5	5	7	4	4	5	2	0	2	2	1	1	2	1	0	0	0	0	2	2	1	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	5604	3208	2924	796	714	637	777	307	285	240	199	162	138	110	146	114	140	104	109	66	154	52	55	25	37	57	51	38	69	29	30	21	61	16	21	24	10	10	24	9	14	14	7	20	11	15	5	1	4	1	4	6	7	4	1	10	1	1	10	2	1	2	4	3	0	6	1	0	3	1	1	5	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	3194	2018	1865	380	382	355	457	146	144	129	97	68	66	45	84	64	81	57	58	21	105	23	25	8	15	34	26	25	35	8	11	11	47	6	13	19	3	4	16	4	7	8	2	11	3	9	2	1	3	0	4	5	5	4	0	8	1	0	6	2	1	2	4	1	0	5	0	0	2	1	1	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	5737	3291	2976	802	721	639	817	327	286	237	192	155	120	112	135	110	141	93	113	59	156	51	50	33	33	64	49	29	64	27	29	14	45	19	19	20	14	10	28	9	11	12	6	17	9	9	6	2	3	4	3	6	8	1	1	7	1	1	11	1	1	2	3	2	0	5	2	0	2	1	1	5	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	3305	2079	1888	390	387	349	494	139	141	129	85	69	58	49	78	68	78	49	63	20	112	22	25	10	14	44	23	17	41	9	10	9	30	7	12	16	5	4	22	5	5	6	2	12	4	3	4	2	2	1	3	3	7	1	0	6	1	0	8	1	0	1	2	0	0	5	1	0	1	1	1	5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	5761	3298	3038	809	715	627	857	319	299	203	183	138	135	111	130	117	135	92	112	55	156	54	56	38	31	66	41	32	81	24	26	13	43	15	13	17	13	9	31	9	15	13	5	20	5	7	7	3	2	3	2	7	9	0	1	8	0	2	11	1	2	2	3	1	0	5	1	0	1	3	0	5	3	0	0	0	0	1	0	0	1	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	3347	2065	1924	402	360	342	547	152	147	108	85	67	60	43	76	63	77	52	60	20	111	22	28	12	13	47	22	15	48	10	10	10	31	5	7	10	4	4	24	5	11	7	2	13	3	3	6	3	1	1	1	3	8	0	1	6	0	0	11	1	1	1	2	0	0	5	1	0	0	2	0	5	2	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	5736	3335	2946	821	688	669	837	331	292	228	201	155	148	123	119	116	134	92	106	53	126	59	52	44	31	68	37	33	85	19	22	13	29	17	10	23	16	8	25	11	20	8	4	21	7	12	10	5	3	3	3	8	9	1	1	6	0	1	9	0	2	1	6	0	0	1	1	1	0	3	0	0	4	0	0	0	0	1	0	0	3	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	3353	2076	1906	405	353	374	569	165	144	125	106	76	71	46	64	57	77	50	58	23	81	27	24	18	12	48	16	20	59	7	12	9	17	10	7	15	8	4	21	8	15	4	2	13	4	9	8	5	0	1	0	4	9	0	1	3	0	0	7	0	1	0	4	0	0	1	1	1	0	2	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	5653	3136	2986	823	702	659	796	318	295	249	208	165	144	117	118	119	122	100	105	61	109	64	44	46	34	65	33	52	78	21	20	19	54	19	13	29	11	9	26	10	19	8	6	15	12	14	9	7	3	2	5	5	9	4	1	7	1	1	7	3	1	1	3	0	0	3	0	1	0	3	0	0	3	1	0	0	0	1	0	0	2	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	3304	1911	1978	400	365	384	543	166	148	130	109	83	72	44	65	52	66	50	60	28	68	27	18	23	12	47	16	31	46	11	8	12	34	11	7	20	6	6	23	8	16	4	3	9	7	11	7	5	0	1	1	3	9	0	1	4	0	0	5	1	1	0	2	0	0	0	0	1	0	2	0	0	2	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	5624	3185	2934	837	718	672	847	323	297	262	205	170	134	116	106	123	119	105	103	60	122	67	43	57	32	50	38	57	58	19	27	15	63	19	19	33	19	12	29	9	13	13	6	14	14	18	7	10	4	5	5	4	5	5	5	8	1	1	7	3	5	1	6	0	0	4	0	1	0	3	0	1	2	1	0	0	0	0	0	0	2	1	1	1	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
