label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119
0.03	north1_all	80	9278	3188	1940	1064	1581	859	625	362	593	648	723	357	202	368	199	135	157	121	148	115	64	66	99	72	45	58	41	25	38	61	42	20	17	36	23	13	21	18	17	16	9	10	13	12	12	5	6	6	5	12	3	5	6	3	1	4	2	3	7	3	6	1	5	4	0	0	4	1	0	2	0	1	1	0	0	0	3	5	0	2	1	2	3	1	1	1	0	3	1	0	2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north1_active	80	5713	1793	1104	526	987	518	360	169	384	405	490	191	106	238	101	72	86	63	92	65	32	34	59	40	23	38	24	15	20	34	29	10	7	18	16	7	12	13	10	10	6	7	7	8	4	2	3	4	3	8	2	5	4	0	0	3	1	2	4	1	4	0	2	2	0	0	3	1	0	2	0	0	1	0	0	0	1	5	0	1	0	2	3	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_all	80	9293	3237	1909	1085	1601	926	631	380	572	667	780	340	195	385	221	125	174	121	131	114	67	73	87	65	51	57	46	22	43	64	43	17	15	31	29	11	37	22	14	27	8	9	30	11	11	4	6	6	4	11	4	6	3	3	0	5	4	4	4	1	7	1	7	1	1	2	3	0	0	2	0	5	1	0	0	1	3	5	0	1	1	3	1	1	1	1	0	2	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	5722	1854	1078	527	1004	537	365	183	378	417	519	183	92	265	116	57	95	68	77	72	32	39	51	37	26	35	24	10	24	35	26	9	6	13	20	5	22	18	8	16	5	6	7	6	5	1	5	4	1	8	3	4	1	0	0	3	3	3	1	0	4	0	2	1	0	0	3	0	0	2	0	4	1	0	0	1	1	5	0	1	0	3	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	9353	3249	1886	1132	1537	914	660	384	546	639	742	343	194	413	216	120	193	131	109	107	66	80	76	60	55	41	42	22	38	76	45	19	15	33	28	13	39	21	13	28	7	11	29	9	5	8	4	7	5	7	3	5	3	3	0	4	3	4	5	5	3	1	3	0	2	2	5	1	0	2	1	5	0	0	0	1	3	4	0	1	1	1	2	0	3	1	0	2	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	5791	1859	1058	543	966	516	371	185	350	409	485	199	86	290	110	49	104	76	64	70	32	53	41	32	29	24	18	11	22	48	28	9	5	13	16	8	17	20	7	16	4	6	8	5	2	4	4	3	2	5	1	3	1	0	0	3	3	2	1	5	1	0	1	0	0	0	5	1	0	2	0	4	0	0	0	1	0	4	0	1	0	1	1	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	9459	3252	1875	1142	1477	904	705	385	552	644	729	343	177	440	199	104	198	118	110	113	66	73	68	68	58	41	46	31	40	71	46	19	18	32	27	14	45	26	13	27	11	10	38	12	3	7	7	10	9	5	6	6	2	1	0	3	4	4	3	10	3	0	3	1	2	3	3	1	0	0	2	5	0	0	1	1	3	4	1	0	1	2	1	0	3	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	5966	1889	1041	557	893	495	385	185	340	418	493	213	70	315	103	40	105	68	59	76	30	52	36	44	26	28	23	16	25	47	29	8	10	17	12	8	26	19	4	14	5	6	10	5	1	4	4	3	6	4	3	3	2	0	0	2	3	2	0	8	1	0	1	0	0	1	3	1	0	0	1	4	0	0	1	1	0	4	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	9441	3300	1903	1189	1514	870	677	390	538	595	711	351	174	440	178	112	193	122	97	100	63	82	77	71	60	34	52	31	25	79	46	21	20	27	20	16	49	25	20	26	13	8	40	12	4	6	8	11	8	8	7	8	4	2	0	4	3	3	3	12	4	0	4	2	2	1	6	1	0	1	2	5	0	0	2	1	1	0	1	0	1	1	1	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
0.03	north5_active	80	5907	1897	1079	603	903	478	379	186	324	369	475	222	76	283	97	46	96	69	55	61	29	58	38	50	30	22	25	15	13	59	32	9	11	17	7	7	28	15	10	15	7	3	11	6	1	4	5	3	6	7	2	5	4	0	0	3	2	1	0	9	2	0	1	0	0	1	5	1	0	0	1	4	0	0	1	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
