label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48
0.03	north17_active	80	19459	5413	2375	1656	425	320	438	141	424	166	92	48	136	37	44	47	79	12	14	5	20	6	15	9	4	1	3	3	2	10	4	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north18_all	80	28550	8868	4361	2880	1412	1000	869	504	609	359	233	157	198	113	98	100	99	33	31	25	32	19	21	12	11	6	5	4	3	11	4	2	1	0	1	0	1	0	0	0	0	1	0	0	1	2	0	0	0
0.03	north18_active	80	23189	6296	2745	1905	435	298	505	153	438	209	97	53	141	45	45	71	83	9	15	5	22	6	17	5	5	3	4	1	2	10	4	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north19_all	80	32165	9751	4654	3138	1446	1008	926	499	711	378	243	155	230	125	101	95	100	33	30	21	42	20	22	11	11	7	6	3	2	10	4	1	2	0	1	0	1	0	0	0	0	1	0	0	1	2	0	0	0
0.03	north19_active	80	27119	7374	3105	2204	438	282	561	179	558	243	114	58	169	49	45	63	87	6	17	6	27	6	20	5	5	4	5	1	1	10	4	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north20_all	80	33676	10146	4736	3203	1400	1019	984	532	716	408	252	162	212	117	95	85	105	38	35	23	41	16	18	9	5	10	10	2	2	6	3	1	3	2	0	0	0	2	0	0	2	0	0	0	1	2	0	0	0
0.03	north20_active	80	28744	7842	3274	2311	401	283	622	196	576	258	127	60	147	46	48	57	91	8	20	6	28	2	17	4	2	7	8	1	1	6	3	0	0	2	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0
0.03	south21_all	80	33818	10032	4929	3158	1432	1025	1005	509	701	369	251	179	211	114	109	99	111	41	26	31	30	22	13	8	8	10	12	3	4	3	1	1	5	2	2	1	0	0	0	1	0	0	0	3	0	0	0	0	1
0.03	south21_active	80	28941	7629	3475	2262	437	290	646	179	557	224	116	54	156	45	68	65	93	10	12	9	20	6	10	3	5	9	8	2	2	3	1	0	1	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1
0.03	south22_all	80	33643	10177	4884	3202	1418	990	1029	536	752	391	244	188	204	107	111	104	106	45	23	29	40	17	13	11	11	10	10	7	5	4	1	1	4	4	2	0	0	0	1	1	0	0	0	0	0	0	0	0	1
