label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93
0.03	north1_all	80	24223	3735	3338	1658	3343	842	648	554	608	609	314	384	236	278	250	367	115	99	113	83	132	87	104	67	72	73	70	36	36	30	24	25	18	13	26	13	13	8	6	13	7	4	11	6	12	6	14	2	2	2	0	5	2	3	2	17	0	3	1	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	21476	908	2292	517	2976	209	201	217	369	423	107	256	118	179	161	320	29	38	70	23	115	56	88	33	57	55	58	11	26	10	6	6	2	7	19	8	12	3	2	4	5	3	10	4	10	4	13	1	1	1	0	1	0	1	2	17	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	24648	3775	3252	1659	3316	831	677	563	578	640	317	383	250	296	233	393	119	87	119	96	142	77	101	56	76	66	72	36	34	27	25	20	21	12	29	10	13	8	8	17	6	5	13	8	15	3	3	1	3	3	2	6	2	3	1	19	0	3	0	0	1	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_active	80	21956	910	2231	525	2956	202	206	212	351	460	106	244	128	195	152	347	32	37	72	25	120	50	90	25	62	48	61	10	21	7	8	4	4	7	20	7	10	4	2	8	5	2	12	5	13	2	3	0	2	0	1	1	0	1	1	19	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	24785	3784	3252	1673	3240	843	673	589	575	631	332	374	237	282	222	396	115	93	112	86	148	67	110	49	59	72	52	39	35	26	23	21	19	11	33	11	16	7	6	15	8	7	19	5	15	5	2	3	2	4	4	3	1	1	1	4	0	2	1	0	1	1	1	0	1	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north3_active	80	22123	943	2228	524	2869	195	189	225	355	463	117	239	122	182	147	355	31	38	70	23	128	43	96	21	42	56	41	9	22	6	6	7	8	3	24	6	13	4	0	7	5	3	16	4	13	4	1	1	2	0	2	1	0	0	1	4	0	1	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	25139	3848	3232	1664	3170	871	711	593	581	607	327	365	263	259	217	458	118	100	116	88	145	81	112	44	51	64	49	37	45	26	29	22	22	10	30	11	14	8	7	15	7	6	17	5	9	13	2	2	8	4	5	3	0	0	1	4	1	1	2	0	0	2	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north4_active	80	22472	976	2205	511	2802	200	207	236	360	448	113	234	137	167	137	422	40	36	70	25	124	50	90	16	33	54	43	8	31	7	9	7	10	3	16	5	10	2	1	8	3	1	13	2	6	11	1	1	5	1	3	1	0	0	1	4	0	1	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	24835	3778	3213	1608	3201	857	727	585	605	591	337	364	271	254	236	462	125	106	105	81	134	90	104	46	54	58	61	40	38	26	30	22	21	8	27	10	14	6	7	10	13	6	16	5	6	16	3	2	10	3	4	3	0	1	1	5	1	0	3	0	1	2	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north5_active	80	22203	981	2205	497	2830	206	207	243	364	431	106	226	139	159	156	421	44	38	58	26	118	54	78	18	35	45	52	10	27	6	7	7	8	1	17	5	8	0	3	6	8	1	11	1	3	15	2	1	7	1	2	2	0	1	0	5	0	0	1	0	1	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
