label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90
0.03	north1_all	80	12386	2092	1685	1557	1427	896	575	378	317	265	358	378	194	150	134	203	217	65	48	76	85	86	124	30	27	31	19	15	21	17	25	19	10	5	15	5	20	9	9	5	7	21	4	3	9	2	1	4	3	1	2	2	1	1	0	1	0	1	1	0	0	0	1	2	0	0	0	0	5	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	8089	935	879	937	913	530	312	204	162	136	219	239	100	75	85	143	122	25	25	52	53	39	95	9	17	18	8	5	13	8	17	11	6	2	10	3	6	6	5	2	1	9	2	1	6	1	0	2	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	12209	2089	1667	1527	1438	881	579	377	317	256	324	347	174	157	128	214	224	64	54	73	80	79	120	26	32	30	14	13	20	15	23	23	13	6	14	5	23	7	15	7	8	14	3	2	7	3	2	2	2	0	6	2	1	0	0	2	0	2	1	0	1	0	1	2	0	0	0	0	5	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	7878	942	851	905	916	528	309	203	165	127	197	213	88	75	77	142	133	27	26	48	51	43	93	8	20	15	6	4	13	8	15	14	7	2	9	2	6	3	9	3	2	8	1	1	6	2	1	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	2	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	12419	2096	1702	1469	1446	890	589	375	325	252	310	335	178	150	126	182	234	69	57	63	77	64	132	22	33	24	22	14	20	14	22	24	14	11	13	6	21	7	16	8	7	14	3	6	4	4	3	2	2	0	8	0	2	0	0	1	0	3	1	0	1	1	0	2	0	1	0	0	4	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	8004	911	889	846	915	511	291	190	177	138	189	201	92	70	69	108	160	31	26	41	46	39	94	5	19	11	13	3	13	9	12	14	5	4	7	2	6	5	12	3	1	8	2	3	3	2	1	0	1	0	1	0	2	0	0	0	0	2	0	0	1	1	0	2	0	1	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	12321	2155	1665	1481	1413	904	624	370	331	257	303	340	161	158	124	185	229	63	60	52	72	70	112	25	31	22	26	14	19	10	44	22	11	11	17	4	29	6	14	5	7	7	3	7	5	3	3	5	1	0	9	0	1	0	0	1	0	2	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	7980	964	881	861	884	551	314	175	185	144	183	211	88	72	68	114	160	29	28	27	40	45	79	7	16	9	13	5	12	7	34	12	3	6	8	1	16	4	10	2	1	6	2	3	4	1	1	3	1	0	1	0	1	0	0	0	0	2	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	12414	2131	1599	1473	1357	937	640	370	310	269	295	326	166	144	124	173	237	62	63	62	68	59	98	24	25	24	33	16	15	10	47	16	7	14	18	4	29	8	13	6	4	4	5	6	5	3	3	3	1	4	5	1	1	0	2	0	0	1	2	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	8041	934	845	853	839	588	347	184	164	151	172	196	93	67	65	110	167	26	29	29	36	36	61	9	9	11	18	6	10	7	37	7	3	6	9	2	18	6	11	1	1	2	3	2	4	1	0	3	1	3	0	0	1	0	1	0	0	1	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
