label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85
0.03	north1_all	80	15640	4341	2475	3137	1222	1565	746	547	470	345	307	805	585	208	204	135	257	132	212	78	114	48	48	44	37	49	67	21	19	55	20	12	27	9	10	19	6	15	8	7	1	13	5	11	4	3	5	0	6	3	2	1	6	1	1	0	0	0	2	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north1_active	80	12458	2216	1186	2528	619	1213	406	173	212	115	80	725	498	64	132	60	219	71	180	18	91	24	18	18	18	32	60	4	10	48	11	2	21	3	8	13	5	11	4	5	0	10	4	7	2	3	2	0	3	3	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north2_all	80	15462	4314	2483	3194	1218	1455	750	514	478	341	312	800	553	212	206	129	297	121	221	74	122	51	45	44	34	41	63	17	24	58	21	14	28	9	8	18	9	15	8	13	2	14	1	4	2	5	4	1	6	2	1	1	1	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	5	1	0	0	0
0.03	north2_active	80	12264	2189	1116	2560	612	1130	394	161	208	121	86	720	477	69	137	56	255	59	173	17	93	23	13	21	16	28	53	3	12	47	12	5	20	3	7	12	6	12	4	11	1	10	1	2	0	4	0	1	3	2	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	5	0	0	0	0
0.03	north3_all	80	14639	4233	2463	3037	1202	1336	758	524	475	315	308	740	512	196	186	127	258	110	202	67	106	58	42	36	41	37	65	19	20	66	14	22	22	7	10	15	8	18	7	11	4	14	3	2	3	5	3	3	6	2	1	1	0	2	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	5	1	0	0	0
0.03	north3_active	80	11339	2067	1081	2396	558	979	367	153	191	96	88	666	440	62	106	57	219	55	164	15	79	16	13	20	17	22	53	3	11	51	8	13	15	1	8	10	4	15	2	8	1	10	2	1	1	4	0	2	2	2	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0
0.03	north4_all	80	13853	4090	2368	2848	1193	1264	773	532	456	303	281	737	414	190	171	135	221	95	184	71	96	61	46	41	40	32	50	22	16	40	15	28	21	9	9	11	10	15	8	10	4	11	4	2	2	6	3	3	3	1	0	1	1	3	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	5	1	0	0	0
0.03	north4_active	80	10441	1899	994	2205	542	900	361	157	186	88	79	659	345	50	95	51	182	50	137	21	67	17	12	21	14	19	41	4	8	25	11	14	16	0	7	10	5	14	4	7	1	9	2	1	1	5	0	2	1	1	0	1	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0
0.03	north5_all	80	13759	4018	2352	2835	1218	1315	735	541	447	320	285	684	444	185	179	133	209	95	157	74	96	53	52	48	39	34	55	21	18	49	20	24	15	10	13	9	7	13	8	7	7	14	4	2	4	2	2	2	1	1	0	1	3	3	1	1	2	2	1	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	5	0	0	0	0
0.03	north5_active	80	10266	1827	997	2218	561	935	343	153	188	96	76	610	376	50	106	47	171	50	122	24	70	13	13	25	16	23	44	4	8	35	14	10	14	1	8	8	3	11	5	4	2	11	2	1	4	2	0	1	0	1	0	1	2	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0
