label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86
0.03	north1_all	80	17183	3289	4340	1643	1286	961	886	1164	703	310	403	339	169	166	300	130	173	204	77	87	62	83	132	53	39	53	44	29	27	25	16	20	57	22	5	14	12	14	8	8	6	1	6	7	7	4	2	3	5	3	0	2	1	1	0	0	5	0	0	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	10946	1561	2711	817	710	490	523	784	428	143	247	191	77	72	192	89	110	125	41	45	31	52	82	22	31	26	17	18	14	13	6	14	46	14	4	10	6	9	2	6	1	1	2	6	3	2	0	3	4	1	0	1	0	0	0	0	5	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	17228	3368	4452	1617	1288	965	883	1169	757	291	408	357	170	166	313	138	177	192	79	97	59	78	108	51	40	47	45	28	27	31	13	20	51	26	11	12	10	15	9	4	7	3	5	5	7	4	6	2	7	1	0	2	0	0	1	0	4	1	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	10982	1596	2790	813	708	525	518	778	467	142	271	201	79	80	198	86	110	119	40	54	30	54	72	23	26	24	22	19	10	15	5	13	39	16	7	9	3	10	4	3	2	1	2	4	4	1	3	1	6	1	0	1	0	0	1	0	4	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	17337	3375	4425	1597	1317	947	929	1169	801	299	406	326	167	180	342	150	184	183	70	88	65	78	105	50	42	38	37	19	19	31	12	22	29	27	12	13	10	14	13	3	8	5	4	5	4	2	6	3	10	3	1	2	0	0	2	1	7	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	11187	1586	2749	814	678	523	535	768	508	148	260	177	73	96	221	83	111	109	32	46	38	56	71	22	26	18	22	15	5	13	4	14	18	14	7	7	2	8	3	2	3	2	3	3	3	0	3	2	3	3	1	1	0	0	1	0	4	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	17343	3414	4381	1615	1336	966	929	1124	775	306	377	325	182	166	340	163	178	194	72	73	67	70	99	51	44	45	48	20	21	25	13	23	22	27	9	14	8	18	8	2	9	5	3	2	4	3	6	6	11	3	3	3	1	0	2	1	4	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	11199	1591	2756	827	691	516	528	711	486	146	235	172	77	88	219	89	115	117	34	40	37	46	68	28	22	20	35	16	7	10	5	15	12	14	5	6	3	9	2	2	6	2	2	1	3	1	4	2	4	3	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	17406	3385	4431	1626	1357	975	943	1121	743	320	368	338	181	182	366	145	175	213	79	64	74	71	97	45	40	44	43	31	22	34	12	23	29	14	9	13	10	20	8	3	8	7	2	4	3	3	1	6	8	3	3	3	1	0	1	1	4	1	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	11285	1604	2828	837	698	525	546	715	454	150	210	183	77	97	234	78	110	127	40	36	39	42	70	24	18	19	34	23	9	17	6	16	17	7	5	5	6	12	3	2	6	4	1	3	2	1	1	2	2	3	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
