label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75
0.03	north1_all	80	3098	2981	957	548	1176	307	230	224	140	437	135	86	143	163	66	71	52	28	28	79	45	20	34	39	21	16	9	15	7	20	6	2	5	8	5	5	4	3	3	4	1	0	0	6	2	0	1	1	0	1	1	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north1_active	80	1464	1857	521	245	758	140	102	110	62	285	52	33	86	106	34	39	28	11	18	47	22	10	15	24	12	9	4	13	4	15	1	1	4	5	2	2	2	0	0	2	1	0	0	1	1	0	1	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north2_all	80	3136	2939	966	537	1204	332	231	217	161	401	133	83	117	167	61	70	50	22	25	67	45	24	24	31	21	18	8	14	8	9	6	3	3	10	4	6	2	1	2	2	0	0	1	7	2	0	0	2	0	2	0	2	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1503	1794	528	240	784	148	99	114	74	273	61	34	66	114	33	35	26	10	15	41	25	10	14	19	14	8	3	12	5	7	1	1	3	6	3	4	1	0	0	0	0	0	1	1	1	0	0	1	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	3103	2729	1014	547	1178	321	226	225	154	317	127	87	118	166	64	73	48	19	34	61	40	16	23	30	19	14	7	8	6	5	7	4	5	7	4	6	1	2	1	2	4	0	3	2	2	1	1	2	0	2	1	0	1	2	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_active	80	1477	1693	515	242	780	147	96	123	71	219	66	40	65	118	31	37	25	8	20	35	18	7	14	17	10	6	2	6	3	3	3	1	4	4	2	4	1	1	0	0	4	0	2	1	1	1	1	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	3019	2611	1007	534	1141	316	241	224	162	323	112	91	89	145	63	68	49	21	35	52	43	15	22	24	18	11	7	9	10	7	5	3	6	5	7	6	2	3	1	3	8	1	3	4	2	2	1	1	0	2	2	1	1	2	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_active	80	1408	1604	505	229	759	136	97	131	72	221	62	44	45	95	28	34	21	13	16	28	24	6	15	13	9	4	4	5	6	3	3	0	3	3	3	4	2	1	1	0	8	1	2	3	1	2	1	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	3021	2509	944	528	1102	281	240	216	155	330	100	91	104	116	62	59	47	22	32	46	50	18	26	21	17	9	9	11	12	8	8	1	8	5	8	4	2	7	3	4	8	1	3	4	1	3	1	2	0	1	3	1	6	2	2	0	0	0	0	2	1	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_active	80	1384	1529	475	230	713	120	95	122	68	223	62	42	57	79	33	33	19	13	15	21	29	11	19	10	8	3	4	6	6	5	6	0	5	4	4	3	2	5	1	0	8	1	2	3	0	3	1	1	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	3066	2589	946	542	1158	293	235	230	149	375	105	98	103	112	64	71	41	25	30	47	59	16	30	23	13	9	8	10	7	7	4	2	9	10	8	2	4	12	3	4	6	4	1	3	2	2	0	1	0	1	3	4	5	0	3	0	0	0	0	1	1	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0
0.03	north6_active	80	1428	1597	483	231	748	129	98	120	63	237	64	45	56	70	32	45	16	17	13	22	37	8	18	16	7	3	4	5	3	3	4	1	6	10	4	1	2	10	1	1	5	2	0	3	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0
0.03	north7_all	80	3148	2736	961	542	1270	294	219	226	157	382	109	92	116	104	73	74	35	27	27	59	50	18	29	26	18	7	12	9	6	8	9	3	10	11	7	2	13	17	4	2	5	4	0	0	1	3	1	1	1	1	1	5	5	0	1	0	1	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0
0.03	north7_active	80	1482	1713	499	231	815	131	93	111	66	232	59	40	66	67	37	48	17	19	8	31	26	11	18	16	7	1	6	3	3	4	7	1	8	10	3	0	9	16	2	1	3	2	0	0	0	3	0	0	0	0	0	1	5	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0
0.03	north8_all	80	3157	2931	982	540	1303	315	211	236	157	404	123	102	117	107	71	64	37	24	26	56	47	16	26	32	20	9	10	7	8	5	12	4	13	15	4	2	14	13	4	2	7	5	0	2	1	3	2	1	1	1	0	5	2	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0
0.03	north8_active	80	1491	1840	516	237	866	144	92	125	68	231	63	51	61	63	30	42	17	15	12	34	27	10	15	20	11	3	6	2	5	2	6	2	9	13	2	0	10	12	2	2	5	2	0	0	0	3	1	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0
0.03	north9_all	80	3097	2936	1017	549	1333	309	210	237	161	362	139	89	125	118	66	63	37	27	29	62	48	22	24	30	22	17	12	11	8	8	11	5	11	9	2	3	16	14	4	3	6	4	2	3	0	2	3	0	1	0	1	2	2	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0
0.03	north9_active	80	1441	1841	539	255	904	142	94	121	67	204	66	42	71	64	28	39	15	19	14	41	26	14	13	19	11	9	7	5	5	4	5	3	6	7	1	0	13	13	3	2	4	2	2	0	0	2	2	0	0	0	0	2	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
0.03	north10_all	80	3041	3003	1020	580	1348	329	227	252	150	403	128	92	130	124	57	58	39	25	30	54	62	17	22	25	22	22	8	9	8	5	8	7	9	7	4	5	8	4	3	4	9	3	2	4	1	3	2	0	2	0	1	3	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0
0.03	north10_active	80	1438	1890	519	286	943	166	100	136	66	238	63	41	83	72	30	34	15	16	12	39	41	11	13	20	9	12	5	5	4	3	2	5	4	4	3	0	6	3	2	2	9	0	2	0	1	3	2	0	1	0	0	3	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	north11_all	80	3108	2865	974	532	1246	294	250	269	156	356	146	75	126	155	81	82	45	32	33	71	42	17	22	32	17	17	14	12	5	19	2	3	6	7	7	3	7	14	1	1	7	1	0	1	1	10	1	0	1	9	0	0	0	0	1	0	0	2	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	1458	1819	515	226	853	143	116	147	78	209	71	36	68	100	38	51	26	14	13	54	30	7	14	18	10	9	6	8	4	13	1	1	4	6	5	2	4	5	1	1	6	1	0	0	0	8	1	0	0	4	0	0	0	0	1	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	3186	2941	945	524	1222	287	237	268	159	409	146	82	119	142	66	74	44	27	40	65	46	18	25	33	18	15	14	9	5	9	4	3	5	7	2	1	8	14	1	1	6	1	2	2	0	8	1	1	0	6	1	0	0	0	0	0	8	2	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0
