label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66
0.03	north1_all	80	6382	1746	1117	1139	1022	576	273	255	275	184	99	102	163	80	81	45	90	33	62	104	40	24	57	25	11	11	17	11	5	6	4	10	10	3	1	5	4	4	0	0	3	1	2	3	1	0	2	1	0	0	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	3811	856	593	670	645	326	121	138	149	103	44	48	101	38	45	25	44	12	45	80	24	15	43	17	7	5	8	4	1	4	2	5	4	1	1	3	3	1	0	0	2	1	2	0	1	0	2	0	0	0	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	6647	1825	1161	1183	1056	607	304	272	260	195	114	103	170	91	82	47	93	30	66	100	54	25	60	33	21	14	16	11	4	3	9	9	11	4	1	6	2	3	1	0	2	1	3	3	0	0	2	0	0	0	4	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0
0.03	north2_active	80	4013	909	606	714	671	350	149	148	133	112	51	47	102	42	45	26	43	10	53	70	40	18	47	23	12	5	7	8	2	2	3	4	5	1	1	3	2	1	0	0	2	1	2	0	0	0	1	0	0	0	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north3_all	80	6681	1800	1164	1165	1077	605	303	287	262	206	123	99	199	102	77	40	93	32	66	96	57	21	52	33	24	15	14	12	2	3	16	4	12	5	2	4	2	3	3	1	1	1	3	2	1	0	2	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0
0.03	north3_active	80	4025	919	625	700	675	374	149	157	141	123	56	46	116	52	38	21	47	9	50	62	39	14	41	26	15	7	5	8	2	2	9	1	7	1	1	2	1	1	0	1	1	1	2	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_all	80	6749	1839	1160	1163	1141	565	319	319	255	199	122	103	185	94	77	32	81	37	84	94	40	19	35	37	23	19	10	14	5	3	29	2	14	6	3	6	2	2	4	2	4	0	4	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0
0.03	north4_active	80	4091	931	605	683	735	350	158	182	144	116	53	52	107	46	42	15	51	14	59	58	30	12	21	31	13	10	4	8	4	1	17	0	7	2	2	1	1	1	0	1	4	0	3	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north5_all	80	6687	1864	1116	1075	1178	568	315	308	269	207	109	101	187	94	85	35	108	40	91	79	43	14	37	43	20	16	11	26	8	8	31	2	7	5	3	6	1	1	4	2	3	1	1	2	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north5_active	80	4071	947	573	633	778	351	154	179	160	115	47	51	127	43	43	18	77	18	60	49	35	5	21	37	11	9	7	20	4	3	17	2	2	2	1	1	0	1	0	1	3	0	1	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
