label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74
0.03	north1_all	80	12131	2681	3043	1005	752	2732	433	375	382	317	232	149	124	240	92	209	50	59	54	36	33	44	28	162	23	13	13	15	26	10	29	11	7	8	24	7	3	2	3	1	4	2	1	8	2	1	3	1	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north1_active	80	10043	1151	2393	318	200	2557	148	213	263	215	148	33	44	202	16	176	28	22	22	13	9	25	9	154	8	2	9	2	18	5	27	1	7	4	21	7	2	1	1	0	4	2	0	8	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north2_all	80	12205	2634	3084	1014	727	2600	404	383	360	335	231	162	125	218	87	182	60	63	52	31	38	38	25	133	26	14	18	15	35	7	17	9	16	4	32	3	3	3	3	1	4	3	1	6	3	0	2	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north2_active	80	10116	1138	2447	307	177	2429	131	217	239	229	147	40	46	190	22	155	31	23	19	13	10	23	9	125	8	1	13	4	30	5	16	0	16	2	29	3	1	2	1	0	2	3	0	6	2	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_all	80	12120	2577	3004	974	724	2471	412	364	370	341	226	143	120	228	90	219	74	57	47	38	36	43	23	144	24	16	16	11	31	4	16	10	22	4	25	2	6	3	2	1	4	3	1	3	2	0	1	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_active	80	10002	1121	2400	309	181	2298	142	206	235	232	144	36	37	205	21	190	33	23	16	14	8	26	5	138	7	0	10	6	28	3	15	1	20	1	22	1	2	2	1	0	2	3	0	3	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_all	80	12151	2600	2947	969	693	2503	411	381	346	322	222	146	110	226	101	187	87	47	54	44	36	40	29	126	18	18	18	14	40	5	16	6	23	2	26	4	4	3	1	1	6	4	1	0	4	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_active	80	10000	1128	2365	302	175	2338	136	209	226	222	138	32	35	198	25	157	42	19	19	15	5	26	6	122	5	4	10	7	39	4	15	1	21	1	24	3	1	2	1	0	4	4	1	0	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_all	80	12050	2565	2899	951	695	2593	429	396	329	313	214	143	126	254	94	197	83	44	52	44	35	39	29	111	19	18	20	12	15	8	24	9	16	6	19	8	6	2	2	2	5	3	1	0	3	1	2	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	9949	1129	2309	298	188	2436	150	213	209	224	130	28	44	223	21	167	35	14	16	16	10	19	5	109	4	4	12	5	14	4	23	1	13	5	17	7	2	1	2	1	4	3	1	0	3	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	12208	2579	2929	984	698	2650	435	406	307	322	226	145	121	251	92	165	69	40	48	37	30	37	28	99	18	17	25	11	21	12	15	9	10	6	12	7	4	8	4	3	5	3	2	0	4	1	2	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north6_active	80	10112	1128	2295	294	184	2488	157	221	207	227	144	32	40	218	22	142	33	16	16	11	8	17	5	95	3	5	12	3	19	7	15	0	4	5	11	7	1	6	3	1	4	3	2	0	3	0	2	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north7_all	80	12280	2556	2980	998	693	2691	429	406	323	332	218	150	130	247	81	154	55	44	45	35	30	32	25	137	18	15	24	7	29	12	29	9	15	5	16	6	2	8	3	3	5	4	2	1	4	2	2	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
