label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174
0.03	north1_all	80	3176	2442	1046	741	574	774	1053	791	398	641	386	483	279	389	322	146	110	138	91	88	92	97	59	68	73	46	55	56	49	42	100	49	35	24	120	24	24	69	13	31	65	13	12	16	16	21	52	12	29	13	18	9	20	10	11	22	8	6	23	4	8	4	1	10	12	9	11	1	6	12	15	17	1	4	9	3	2	2	1	2	7	12	1	4	1	3	6	1	4	0	0	1	7	2	0	0	0	1	0	1	2	1	0	0	0	0	0	1	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	4	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north1_active	80	1434	1440	508	307	254	490	697	503	230	433	227	289	169	230	207	74	58	75	40	47	50	57	25	28	41	22	34	31	32	20	67	30	14	14	94	13	6	40	3	16	45	5	5	5	11	9	22	5	14	12	12	6	17	4	8	14	4	2	19	1	8	1	0	4	7	3	7	1	4	8	8	8	0	2	6	0	0	0	0	2	7	11	1	3	0	1	4	0	2	0	0	1	6	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	4	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	3229	2342	1045	737	612	791	1065	864	405	625	375	476	288	413	354	159	123	149	96	92	89	104	62	74	68	42	56	47	52	47	104	57	29	22	139	26	21	69	11	18	63	19	11	16	13	20	39	17	20	10	17	10	22	13	8	28	8	10	23	6	8	7	2	9	11	16	3	2	4	9	17	16	2	3	6	3	2	6	3	2	6	10	3	2	1	1	6	0	3	1	2	0	6	0	0	2	0	1	0	3	1	1	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north2_active	80	1462	1378	521	305	259	497	733	546	232	410	222	292	169	246	217	83	61	91	41	54	53	63	24	30	39	17	38	26	32	22	71	37	10	11	110	15	4	42	2	11	42	9	5	5	11	8	17	7	8	9	12	5	16	5	5	19	5	4	22	2	4	1	0	3	7	11	3	2	3	6	12	7	0	2	5	0	0	1	0	1	6	10	3	1	0	0	4	0	1	1	0	0	5	0	0	1	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	3201	2313	1002	737	579	806	1062	893	398	572	404	478	275	436	403	163	124	139	92	92	82	88	73	66	78	40	57	46	56	44	94	58	24	22	112	26	17	75	9	15	53	20	13	15	16	20	39	15	15	10	21	14	13	11	7	28	7	7	24	6	10	5	2	11	7	18	3	2	5	2	15	11	3	1	10	4	2	4	2	2	3	10	3	1	2	2	4	0	3	1	2	0	1	0	0	2	0	0	0	2	2	1	0	0	0	1	0	2	1	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north3_active	80	1457	1302	481	314	256	505	709	558	226	388	250	295	156	274	253	90	58	95	33	59	44	51	36	28	47	16	39	27	34	25	57	43	3	13	84	14	7	49	2	8	32	9	7	7	13	9	18	6	6	7	14	7	9	5	5	21	4	3	21	2	6	1	1	5	5	11	3	1	3	1	12	4	1	1	5	0	1	1	0	1	3	10	3	0	0	0	2	0	1	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	3221	2277	1006	707	587	797	1056	910	406	622	378	499	260	448	454	150	129	142	89	87	75	88	73	74	85	45	55	44	46	49	86	57	23	31	97	28	14	78	8	12	39	15	17	18	21	12	20	15	13	12	21	10	12	11	10	32	4	11	27	8	13	6	2	12	7	18	7	3	7	3	15	4	2	1	9	4	4	7	2	1	3	9	3	0	2	3	2	5	2	1	2	0	0	0	1	3	0	1	0	2	1	0	0	0	0	1	0	1	1	1	0	1	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north4_active	80	1507	1266	483	318	259	490	713	578	222	419	227	319	148	303	285	88	71	90	37	57	37	47	34	36	57	24	33	27	30	32	51	42	7	14	78	18	7	59	3	4	22	8	11	7	14	7	14	6	8	5	14	6	4	4	5	27	4	6	23	4	6	3	1	8	4	15	6	2	3	2	12	4	1	1	5	0	3	2	0	0	3	7	3	0	1	1	0	5	1	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	3140	2345	987	695	588	759	1033	850	402	591	353	473	250	458	464	141	137	132	81	92	95	89	78	68	85	46	55	39	51	46	88	59	29	34	68	29	20	72	11	12	57	13	14	18	27	9	22	18	26	10	24	15	20	11	9	23	5	8	25	8	10	3	1	8	5	13	6	3	6	3	5	3	3	1	9	4	5	10	0	0	3	6	1	1	3	3	3	5	2	0	1	1	0	2	1	3	0	2	0	0	1	0	1	0	0	0	2	1	1	1	0	1	2	1	0	3	1	3	0	1	0	3	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1445	1315	457	314	279	473	706	534	214	401	205	299	143	293	293	89	71	84	38	60	40	46	42	36	53	24	31	22	32	30	48	41	12	16	53	18	10	56	3	2	37	6	9	6	16	5	13	9	15	2	15	13	13	5	4	19	4	3	20	4	6	2	1	6	4	9	4	2	2	1	2	2	2	1	5	1	5	3	0	0	3	4	1	0	1	1	0	5	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	3	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
