label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169
0.03	north1_all	80	2880	1354	813	616	465	423	372	255	204	195	920	144	427	131	135	207	214	91	71	58	61	57	50	285	33	38	37	32	32	258	31	70	30	47	55	15	24	115	12	30	84	18	15	29	10	17	80	7	11	21	18	8	20	36	8	9	12	11	5	3	21	3	11	10	4	14	15	9	4	0	2	4	15	0	5	5	1	2	2	6	5	1	3	3	1	4	2	0	0	5	3	0	2	1	2	2	0	0	0	0	4	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north1_active	80	1264	489	207	229	173	171	202	65	40	56	862	31	392	40	94	157	189	52	20	28	25	17	15	270	13	8	28	9	16	246	8	64	18	27	43	2	12	110	3	24	81	12	6	23	5	13	77	0	10	20	15	5	18	34	4	4	11	9	2	1	20	0	10	7	1	13	15	6	2	0	1	0	14	0	3	2	0	1	0	5	5	1	0	3	1	0	2	0	0	4	2	0	0	1	1	1	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	2792	1357	812	613	469	441	346	267	228	203	806	155	419	134	125	182	207	90	80	72	75	59	52	245	33	38	43	25	27	288	26	75	21	44	46	13	20	84	11	26	104	15	12	21	15	20	84	8	13	19	29	5	18	36	7	8	11	8	4	4	21	3	6	4	7	6	18	8	4	0	3	6	9	5	6	2	1	3	2	5	7	0	2	2	1	2	3	0	1	0	3	3	2	0	2	2	1	0	0	0	0	1	4	1	0	0	0	4	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1170	504	199	223	157	183	177	67	48	53	754	40	374	32	89	139	183	44	22	34	34	14	15	227	10	8	29	7	18	276	5	66	11	25	30	2	9	77	3	18	101	9	6	17	6	14	81	0	13	19	24	3	16	35	5	5	11	7	3	0	20	0	5	4	2	5	17	7	3	0	1	0	8	3	5	2	0	0	0	5	5	0	0	1	1	0	3	0	0	0	2	1	0	0	1	1	0	0	0	0	0	1	4	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	2802	1365	830	567	478	406	338	250	241	195	694	153	406	122	118	162	210	71	81	77	76	58	38	226	29	35	43	25	25	227	24	63	24	44	38	11	15	97	11	26	78	15	14	18	13	19	82	12	17	21	37	3	16	32	5	6	12	3	4	5	20	5	4	3	6	2	19	8	3	1	2	7	12	8	5	1	1	4	3	4	3	0	2	4	1	3	2	0	1	0	1	3	2	1	2	0	1	0	0	0	0	1	5	1	0	0	0	3	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1123	468	215	195	162	171	170	72	55	44	653	41	358	28	81	124	176	27	23	41	35	12	8	206	10	8	24	8	14	216	7	51	11	24	22	2	8	91	4	18	77	10	7	13	7	12	77	2	15	18	34	1	16	31	2	3	12	3	3	2	19	1	2	3	3	2	18	7	2	0	1	0	11	4	4	0	0	0	2	4	0	0	0	1	1	0	2	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	4	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	2834	1348	792	573	494	415	359	256	224	201	646	155	411	124	141	156	182	88	70	87	63	48	44	221	37	38	48	27	24	141	26	52	26	38	75	14	17	122	14	24	83	29	12	24	17	15	86	13	17	17	37	6	12	18	7	7	12	2	4	7	15	6	3	4	6	2	19	3	3	2	2	5	11	10	5	1	0	4	3	2	5	0	1	3	1	4	1	1	2	0	0	4	0	1	4	1	1	0	0	0	8	1	1	1	0	0	0	3	1	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1121	432	202	202	165	182	181	84	59	44	607	45	361	32	97	121	146	36	20	47	30	15	7	203	16	12	28	9	14	130	6	39	13	27	63	3	11	116	5	16	82	19	8	16	10	8	82	5	13	14	34	3	12	16	5	3	12	2	3	3	12	1	2	3	2	1	18	2	2	1	1	0	11	4	4	0	0	1	2	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	3	0	0	0	0	0	8	1	0	1	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	2877	1364	800	590	480	399	361	248	216	205	728	159	469	112	155	171	180	87	75	81	56	46	49	244	39	36	51	31	23	165	24	43	30	43	90	18	17	155	24	24	67	28	15	23	13	11	87	15	16	30	36	5	9	20	5	5	15	1	3	7	16	5	3	3	6	5	9	0	1	2	1	3	8	7	3	1	0	3	3	2	3	0	0	5	1	2	0	1	2	4	0	1	0	2	6	1	2	0	1	1	8	1	1	0	1	0	0	0	0	1	0	5	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1202	444	209	210	172	181	176	94	58	49	685	41	419	33	105	133	141	40	22	51	28	16	11	228	15	11	30	12	14	153	7	30	16	34	81	2	9	148	10	18	67	21	11	17	9	7	84	5	12	25	33	3	8	18	4	1	12	1	1	5	14	2	1	2	2	1	8	0	1	1	1	0	8	1	2	0	0	1	2	1	0	0	0	3	0	0	0	0	0	4	0	0	0	2	5	0	0	0	1	0	8	1	0	0	0	0	0	0	0	0	0	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
