label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183
0.03	north1_all	80	19929	3217	3446	1599	1305	1119	830	662	592	673	527	540	504	296	349	242	246	188	188	249	149	445	159	114	104	224	105	83	83	74	117	68	92	48	55	47	39	67	105	44	42	34	72	25	26	41	32	24	23	17	14	18	16	26	8	9	20	17	9	11	15	6	30	14	16	7	24	7	11	7	11	6	2	14	12	7	8	5	2	6	2	5	6	1	4	4	15	3	2	5	0	6	2	1	1	2	2	2	2	5	7	0	3	4	1	0	0	1	1	0	0	0	1	0	2	2	1	0	0	1	0	0	0	3	0	2	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
0.03	north1_active	80	17754	1347	2528	805	718	640	414	147	296	466	343	369	355	83	226	89	142	43	58	184	68	407	106	32	52	188	34	31	22	35	80	26	67	8	22	18	14	47	88	26	21	15	64	4	11	29	22	10	19	6	6	4	6	17	7	4	11	9	5	6	11	4	27	13	8	2	22	1	2	4	10	6	0	10	12	1	4	5	0	2	0	1	2	0	1	2	15	3	1	2	0	5	1	0	0	2	2	2	2	5	5	0	1	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	3	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north2_all	80	20198	3244	3436	1622	1269	1156	850	676	571	681	515	531	532	277	332	226	222	183	185	250	161	431	145	120	104	206	101	86	80	76	96	69	89	38	65	48	43	61	92	42	35	45	69	25	23	46	36	23	27	20	15	17	20	30	13	10	19	22	10	9	17	5	32	8	18	6	22	5	5	7	9	5	3	19	8	6	7	7	2	5	3	5	5	0	4	4	19	0	1	3	2	2	4	2	2	13	0	3	1	0	1	1	3	4	0	0	0	1	3	1	2	1	1	0	2	0	2	1	0	0	0	1	0	2	0	1	1	0	4	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	2	0	0
0.03	north2_active	80	18060	1362	2509	802	706	683	409	151	282	462	334	354	375	80	226	83	138	46	56	182	79	390	96	28	52	171	35	30	26	36	66	25	62	6	27	17	20	41	80	23	19	23	60	6	10	33	25	11	24	7	5	4	10	20	10	5	11	10	4	6	12	3	27	7	10	2	21	0	1	4	7	5	1	15	7	0	2	5	0	1	0	1	2	0	1	2	19	0	1	1	2	2	2	0	1	13	0	3	1	0	0	1	1	4	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	4	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0
0.03	north3_all	80	19891	3213	3278	1639	1253	1111	826	654	547	688	523	531	517	267	319	241	237	168	181	237	171	423	160	117	102	225	94	90	82	83	91	66	87	44	61	49	44	59	78	37	28	41	72	28	20	40	36	23	44	24	12	16	20	33	16	9	20	28	15	11	21	5	26	10	16	5	30	6	3	5	12	2	5	21	11	6	6	5	2	3	4	5	3	2	3	4	19	0	2	3	3	1	4	4	1	13	0	4	0	0	2	6	2	3	2	0	1	0	4	1	2	2	0	0	3	1	3	1	2	0	1	1	1	1	2	1	1	0	4	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	1	0	0	2	0	0
0.03	north3_active	80	17726	1351	2372	835	674	649	397	157	259	467	332	368	371	76	221	92	139	42	57	173	79	387	105	32	50	191	33	30	32	37	64	23	56	7	27	20	23	38	65	16	13	21	63	5	6	26	27	7	39	7	4	5	13	22	10	5	14	15	5	7	15	2	20	7	10	2	27	1	0	3	7	2	2	15	9	1	2	3	0	0	1	2	1	0	0	1	19	0	2	1	2	1	2	0	1	13	0	4	0	0	2	6	1	3	0	0	1	0	2	0	0	0	0	0	3	0	2	0	2	0	0	1	0	1	2	0	0	0	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0
0.03	north4_all	80	20036	3264	3181	1645	1230	1128	829	638	572	704	511	539	514	273	342	240	252	186	183	262	183	416	186	101	102	246	98	89	84	89	99	65	86	42	54	51	49	74	70	35	34	44	100	27	26	44	34	22	53	24	16	13	19	28	16	11	17	30	13	13	26	8	26	11	7	4	29	4	3	4	7	5	5	20	11	4	7	4	6	2	3	6	3	4	3	5	18	0	3	4	4	2	5	5	2	11	1	7	0	5	2	8	3	0	5	0	1	0	3	1	5	2	1	0	3	1	2	1	3	0	1	1	1	0	4	1	1	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	2	0	0
0.03	north4_active	80	17852	1389	2308	866	643	635	381	140	286	477	318	379	383	86	231	98	137	49	59	193	87	383	124	31	47	206	28	31	34	45	81	23	53	7	23	24	23	49	55	13	17	20	90	7	8	28	27	9	48	9	4	5	12	19	10	5	11	15	4	8	17	2	15	8	6	2	25	1	1	3	2	3	2	11	6	1	1	2	3	0	1	2	1	0	0	2	18	0	2	3	3	1	1	0	1	11	0	7	0	5	2	8	1	0	2	0	1	0	2	0	2	0	1	0	3	0	1	0	3	0	0	1	0	0	4	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0
0.03	north5_all	80	19800	3267	3154	1638	1272	1115	820	635	574	707	546	533	520	282	355	234	260	184	182	243	174	394	201	103	109	264	93	87	92	83	95	66	80	45	55	46	55	67	69	38	43	37	79	24	24	37	30	31	49	20	13	15	21	24	17	14	18	27	12	14	25	8	22	20	4	5	32	7	7	2	10	12	3	10	14	2	7	3	9	1	2	5	3	4	3	5	8	0	4	5	4	4	4	4	1	11	1	7	5	9	4	8	1	1	5	0	1	0	1	0	6	1	1	0	3	1	2	0	3	0	1	0	1	0	4	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_active	80	17609	1373	2319	855	664	620	394	151	293	478	333	395	407	85	232	100	133	47	60	169	84	356	146	37	48	230	28	33	33	44	74	24	51	13	20	21	25	44	52	17	22	13	70	4	7	23	27	14	39	7	3	6	12	15	11	5	11	15	5	9	16	3	14	17	2	2	28	2	2	1	3	8	1	4	9	1	3	1	4	1	2	2	1	0	1	2	7	0	3	5	3	2	1	0	0	11	0	7	5	9	4	8	0	1	2	0	1	0	1	0	2	0	1	0	3	0	1	0	3	0	0	0	0	0	4	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	19854	3265	3192	1707	1309	1160	842	640	588	707	532	508	464	310	380	228	277	192	174	238	154	462	197	99	107	279	88	84	90	82	92	58	89	44	48	46	51	59	66	38	44	34	79	25	25	42	35	25	50	17	16	18	16	26	28	17	15	24	15	13	21	10	22	17	6	6	25	8	7	2	10	14	5	6	11	0	8	4	9	1	4	5	4	4	5	3	11	2	2	6	7	5	4	3	1	1	1	5	5	9	5	2	4	1	5	1	2	0	1	0	4	1	1	0	0	7	0	0	3	0	0	0	0	0	5	1	0	0	0	1	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
