label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165
0.03	north1_all	80	4606	4049	1230	1043	795	1338	564	1018	326	536	309	689	237	173	125	167	134	133	163	97	145	90	81	154	162	70	65	77	130	60	88	44	31	34	51	44	75	42	22	54	63	21	18	31	15	32	24	19	17	23	13	26	12	5	5	14	11	19	13	9	8	10	12	2	6	7	7	8	8	9	8	6	3	15	8	2	2	5	18	1	2	2	4	7	5	4	6	0	2	3	0	3	1	0	0	2	0	0	1	1	5	0	1	11	0	1	3	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	2423	2608	592	552	387	862	295	676	152	335	161	478	123	84	45	79	65	72	83	55	80	32	39	79	104	39	29	39	84	29	52	19	15	13	35	23	50	27	11	31	42	12	7	16	3	23	9	6	6	14	8	18	7	2	2	9	3	12	7	6	5	3	10	0	5	6	4	3	4	4	5	1	1	7	5	2	1	4	12	1	1	2	3	6	4	4	1	0	1	2	0	1	0	0	0	0	0	0	0	0	4	0	1	11	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	4745	4097	1226	1028	777	1330	583	1011	325	571	283	664	232	181	127	147	136	144	144	94	146	87	79	137	152	71	63	75	124	53	88	38	31	26	45	53	85	36	23	53	57	21	17	34	17	30	22	18	15	23	16	20	18	7	8	11	10	10	16	9	7	13	11	3	3	5	6	6	21	8	7	4	2	8	4	2	2	5	16	1	2	3	3	7	3	9	1	1	2	3	1	4	0	0	0	3	2	0	1	1	2	1	1	11	0	1	3	0	1	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	2	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north2_active	80	2475	2615	568	543	384	860	303	676	153	354	150	457	119	83	52	80	76	71	74	53	80	33	42	70	96	40	29	38	76	26	56	17	15	11	27	24	60	21	11	32	42	13	8	20	7	25	10	6	6	14	7	12	11	1	3	6	4	7	8	6	4	5	8	1	3	2	3	2	10	3	4	0	1	3	2	1	1	4	11	1	1	3	3	6	2	8	0	0	2	2	0	3	0	0	0	0	0	0	0	0	2	1	1	11	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_all	80	4711	3996	1206	998	778	1298	563	960	319	581	280	620	232	176	142	156	144	128	138	102	140	82	82	130	144	69	71	65	150	60	76	33	27	32	32	48	77	30	22	57	42	20	18	41	16	33	13	12	13	33	14	20	20	10	5	9	11	8	8	10	9	11	10	6	7	4	6	7	22	9	6	4	4	8	3	4	1	4	10	1	3	3	6	7	2	9	0	1	2	3	2	3	0	0	1	2	3	0	1	1	1	1	2	12	0	0	2	0	0	1	0	3	0	1	0	0	1	2	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_active	80	2438	2532	562	529	396	856	303	633	155	359	150	432	124	82	64	88	77	68	62	51	75	44	45	68	96	36	38	33	100	28	50	14	15	19	16	27	49	18	6	35	28	12	9	25	8	26	6	4	7	17	6	12	11	4	3	5	5	4	2	8	7	5	7	2	2	1	4	4	12	5	4	0	2	2	3	2	0	3	7	1	1	2	6	5	2	8	0	0	2	2	0	3	0	0	0	0	1	0	0	0	0	1	2	11	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_all	80	4701	4051	1188	1008	777	1334	554	924	311	564	257	572	233	161	159	160	141	131	118	100	118	85	69	121	131	58	82	69	151	58	93	24	22	38	32	57	60	32	21	47	44	16	19	50	19	30	17	12	14	43	11	22	16	11	7	6	8	13	10	11	13	9	5	8	12	4	9	8	23	8	5	5	3	4	2	4	2	4	3	0	3	3	4	1	3	9	2	2	2	1	2	3	0	0	1	1	4	0	1	0	2	1	1	2	0	1	1	0	1	1	0	3	0	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_active	80	2462	2528	526	540	393	856	303	595	151	344	136	378	123	68	70	94	81	69	62	48	72	44	36	73	81	26	44	43	98	27	61	11	15	26	20	29	37	21	8	30	30	8	8	35	10	21	10	6	9	21	3	13	10	5	4	3	5	7	6	9	12	4	2	3	5	1	7	5	13	6	3	1	1	1	2	2	2	2	2	0	1	2	4	0	2	8	0	0	2	1	0	2	0	0	0	0	1	0	0	0	0	1	1	1	0	1	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_all	80	4606	4013	1185	1065	791	1368	545	931	292	500	279	570	235	167	147	173	160	137	129	114	115	90	71	110	131	58	76	78	163	51	89	33	25	38	36	40	47	30	18	53	56	11	18	53	13	23	18	13	19	51	8	22	18	11	6	10	6	15	12	11	13	9	4	9	12	7	13	8	25	9	3	5	2	7	3	5	2	5	4	0	5	2	5	1	2	10	2	3	1	1	1	2	0	0	1	1	2	0	0	1	2	2	2	3	0	2	2	0	1	0	0	3	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
0.03	north5_active	80	2445	2527	542	568	405	874	295	598	145	300	145	356	135	74	71	97	86	72	75	56	73	50	37	71	86	23	42	45	115	21	52	19	18	28	24	21	30	23	8	36	37	6	5	40	8	16	11	5	13	27	3	14	12	5	3	7	4	7	8	8	13	6	0	4	4	3	11	5	15	6	1	1	1	5	2	4	2	4	2	0	4	1	5	0	1	7	0	2	1	1	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
