label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106
0.03	north8_active	80	3551	1699	1331	2972	1873	300	600	268	215	341	150	476	64	78	132	112	45	76	36	29	46	147	32	49	61	48	22	60	18	45	35	64	23	59	16	9	15	16	5	21	5	4	9	2	6	8	1	8	3	4	2	3	1	2	2	1	2	3	0	2	1	1	0	0	0	0	2	1	5	0	0	2	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north9_all	80	9057	4245	2798	3574	2324	1037	1012	675	513	603	398	659	288	232	208	229	151	156	133	107	130	181	67	85	97	74	56	74	42	54	45	76	38	73	30	30	26	23	13	31	16	7	11	5	12	13	6	10	5	6	4	4	9	14	5	4	4	5	2	1	2	3	0	1	0	4	2	2	4	3	0	3	0	0	0	1	0	2	0	1	0	0	0	0	0	1	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	3604	1699	1366	2918	1849	305	601	252	211	369	144	512	75	96	120	114	42	88	32	37	67	151	29	49	66	47	24	57	14	40	37	64	24	62	16	11	12	15	4	24	9	5	7	1	7	10	2	9	2	5	1	1	0	13	3	1	1	3	0	1	1	1	0	0	0	3	2	2	3	3	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	8866	4297	2793	3513	2293	997	1007	660	526	587	398	661	301	236	223	205	150	154	114	109	127	191	73	77	79	62	58	77	37	45	46	72	45	87	23	28	25	23	14	30	17	11	16	4	11	17	9	12	6	7	5	4	7	14	4	4	5	3	2	0	4	4	0	1	0	5	2	3	0	3	1	4	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	3530	1739	1360	2833	1787	298	613	257	193	367	153	522	78	99	126	105	33	96	31	43	63	157	29	51	51	40	23	60	17	35	33	60	25	79	12	14	10	16	5	24	6	8	7	1	6	14	3	11	2	6	1	1	0	12	2	1	3	2	1	0	2	1	0	0	0	4	2	2	0	3	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	8836	4082	2672	3662	2255	1010	1036	681	565	566	408	585	252	250	250	192	157	164	133	101	102	215	86	73	92	75	61	64	42	58	47	65	19	100	14	18	25	31	15	36	10	9	8	10	5	15	9	8	3	1	6	3	4	20	4	2	1	5	1	1	4	2	0	1	1	5	2	1	2	4	0	0	0	0	0	1	1	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north11_active	80	3566	1682	1346	2978	1723	322	611	270	201	337	171	460	57	73	148	93	39	98	25	48	36	185	30	39	61	47	26	42	18	43	31	50	14	96	8	7	15	21	9	29	7	4	3	7	2	13	3	5	0	0	3	1	0	20	1	0	1	3	1	0	4	0	0	1	0	5	0	0	0	3	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	8904	4045	2663	3566	2252	987	1031	684	601	589	410	576	251	255	237	194	162	184	131	101	109	218	86	69	96	65	61	68	53	56	61	56	22	102	18	18	22	29	16	34	12	8	6	8	7	10	9	8	3	1	6	4	3	14	2	2	1	3	1	0	6	2	0	2	1	3	1	2	1	4	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north12_active	80	3548	1652	1344	2894	1712	298	585	276	210	360	162	458	56	74	124	86	42	111	27	54	42	188	28	37	66	42	25	46	24	40	49	44	14	97	10	8	12	20	8	29	6	3	4	4	1	9	3	6	0	0	2	3	0	13	1	0	1	3	1	0	6	0	0	1	0	3	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	8970	4087	2715	3616	2253	987	954	666	584	606	381	592	266	249	254	183	163	169	132	100	103	203	75	54	109	67	59	71	60	54	48	46	34	66	16	21	12	25	19	35	15	9	9	6	10	15	10	6	4	6	7	4	1	16	4	3	3	1	1	0	6	1	0	1	2	3	5	1	1	3	0	5	0	0	0	1	0	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	3581	1686	1336	2941	1739	293	551	260	215	365	140	463	66	74	140	78	35	101	28	51	45	174	30	33	71	46	22	50	29	40	40	36	21	63	10	6	4	17	8	28	6	3	3	1	1	13	2	5	0	5	4	3	0	15	1	1	2	1	1	0	4	0	0	0	0	3	4	0	0	2	0	5	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	9036	4081	2735	3524	2266	1009	969	659	561	601	389	611	265	255	252	182	161	172	121	106	114	203	79	63	108	63	53	69	51	47	55	35	39	65	15	26	13	22	18	22	11	9	10	5	8	12	8	10	4	9	8	4	1	22	5	3	2	3	1	2	7	1	1	1	1	0	4	4	2	1	0	5	0	0	1	1	2	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	3561	1657	1325	2855	1746	295	560	248	192	358	140	464	67	71	128	77	36	88	28	47	49	173	33	41	74	42	25	49	22	34	48	26	22	59	11	4	7	16	7	18	3	1	4	1	0	10	1	7	1	8	5	2	0	21	1	1	1	3	0	0	4	0	1	0	0	0	4	3	1	0	0	5	0	0	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	8901	4151	2767	3666	2286	1025	992	678	541	563	363	583	287	247	255	184	153	171	122	114	104	199	80	79	84	66	57	72	47	50	44	41	50	98	13	30	13	17	18	22	10	15	11	3	11	12	6	7	4	12	7	8	3	20	5	2	2	3	1	3	10	1	1	1	4	2	4	4	2	0	0	5	0	0	1	1	2	1	4	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3
0.03	north15_active	80	3470	1699	1329	2994	1748	296	580	252	185	320	132	431	75	76	139	77	33	94	31	49	48	170	32	47	58	44	27	48	18	34	39	31	30	92	12	3	9	10	5	18	2	8	4	0	3	7	1	5	2	11	5	4	0	20	1	1	1	3	0	1	7	0	1	0	3	2	4	3	1	0	0	5	0	0	1	1	1	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
