label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103
0.03	north6_all	80	10343	2668	2665	1536	977	1282	676	585	1024	341	256	239	162	181	130	105	192	110	109	97	204	134	102	86	33	27	25	31	80	48	16	44	30	13	12	51	17	20	8	11	13	9	6	3	1	10	11	4	5	11	2	10	6	4	3	8	3	0	2	3	2	1	1	0	2	0	1	0	1	1	1	1	0	1	9	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	6378	1346	1643	854	482	805	363	300	654	172	111	148	79	96	60	53	125	74	61	50	136	82	66	58	12	12	8	16	55	28	7	33	17	7	5	31	11	7	5	8	7	7	3	1	0	4	6	1	3	10	2	5	4	2	2	7	2	0	1	3	1	0	1	0	1	0	0	0	0	0	0	1	0	1	8	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	10375	2738	2675	1514	935	1319	657	619	1021	309	262	239	153	188	126	118	210	105	120	91	213	144	113	79	25	32	31	33	56	52	17	44	18	15	19	48	18	21	9	12	11	11	10	3	3	10	14	3	11	7	4	6	6	5	3	8	3	2	2	2	2	0	1	0	2	1	1	0	2	0	1	1	0	0	0	2	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north7_active	80	6342	1362	1654	829	483	800	347	319	653	165	124	134	75	104	59	51	143	66	65	48	145	90	76	47	11	16	12	17	31	29	10	33	10	7	10	31	12	9	6	8	7	10	8	1	0	4	8	1	6	5	2	5	3	2	3	8	2	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	9969	2719	2588	1493	909	1256	623	574	946	291	250	234	158	189	128	128	181	100	117	92	203	135	115	86	28	27	33	26	66	47	16	46	22	14	20	47	16	20	5	10	14	10	10	3	4	7	13	3	8	6	5	7	3	6	2	8	1	2	1	7	2	0	1	0	2	1	2	1	2	1	1	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north8_active	80	6073	1325	1592	803	471	772	321	291	603	155	120	123	69	114	63	52	112	62	66	43	127	78	82	57	14	14	12	15	36	24	9	35	14	7	10	30	8	8	3	5	8	10	7	1	0	4	8	0	5	3	1	5	1	2	2	8	0	1	0	4	1	0	1	0	1	0	1	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	9303	2730	2425	1414	880	1182	613	522	819	278	252	220	175	188	123	128	190	111	118	82	158	119	108	79	41	29	35	22	52	41	19	32	20	13	20	34	16	18	4	10	12	8	11	3	5	6	9	4	9	6	6	3	2	2	3	5	1	3	1	8	3	0	1	0	1	1	1	1	2	1	2	3	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north9_active	80	5564	1364	1459	755	459	699	315	265	525	148	131	111	76	118	66	53	120	65	61	37	108	72	77	56	19	15	11	11	23	21	9	21	11	9	10	21	7	11	2	6	7	6	8	1	0	3	8	1	5	3	0	1	1	0	3	5	0	2	0	4	2	0	1	0	0	0	1	0	1	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	8655	2597	2387	1306	857	1086	576	508	733	265	250	220	188	211	132	126	172	123	109	82	140	124	91	82	44	29	38	25	44	37	19	22	24	11	15	38	17	18	4	5	10	8	7	4	5	5	4	6	4	4	6	4	1	3	3	3	2	2	1	9	3	0	1	0	0	3	2	1	0	1	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	5062	1292	1440	688	454	614	288	255	483	130	131	110	83	132	70	51	102	72	59	34	93	78	62	59	18	14	14	11	30	21	7	10	13	9	8	27	7	11	2	3	5	5	3	2	0	1	4	3	3	2	0	2	1	1	2	3	0	1	0	6	2	0	1	0	0	2	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
